,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,O,1,-0.7102,1.8641,-0.58585,-0.86735,0.12435000000000007,0.1571499999999999,0.14075,0.13320407331072456
1,N,2,-0.35411,3.4832,-0.18185,-0.38177,0.17225999999999997,0.027660000000000018,0.09996,0.023445273100697717
2,C,3,-0.4644,3.9118,-0.52337,-0.45282,-0.05897000000000002,-0.01157999999999998,-0.035275,-0.00981548309855672
3,C,4,-0.25778,3.9782,-0.02414,-0.25952,0.23364000000000001,0.0017399999999999638,0.11768999999999999,0.0014748653360525362
4,C,5,0.12181,3.8911,0.0999,-0.14176,-0.02191,0.26356999999999997,0.12082999999999999,0.22340819346170976
5,C,6,-0.21963,3.9576,-0.06455,-0.34934,0.15508,0.12971,0.142395,0.10994527743642439
6,C,7,-0.05463,3.9065,-0.02167,-0.07988,0.03296,0.02525000000000001,0.029105000000000006,0.021402499847889268
7,C,8,0.53618,3.9004,0.53844,0.3518,0.0022600000000000398,0.18438,0.09332000000000001,0.15628486819619095
8,C,9,-0.42435,3.7954,-0.44309,-0.42078,-0.01873999999999998,-0.0035700000000000176,-0.011154999999999998,-0.003026016810176833
9,C,10,-0.73577,3.8484,-0.73918,-0.71641,-0.003409999999999913,-0.019360000000000044,-0.011384999999999978,-0.016409995922975724
10,H,11,0.22325,0.9524,0.3069,0.20068,0.08365,0.022570000000000007,0.053110000000000004,0.019130868180865773
11,H,12,0.22327,0.9524,0.30688,0.20071,0.08360999999999999,0.022559999999999997,0.05308499999999999,0.019122391943302244
12,H,13,0.24065,0.9445,0.26919,0.20613,0.028539999999999982,0.034519999999999995,0.03152999999999999,0.02925997206927276
13,H,14,0.23365,0.9463,0.26098,0.21298,0.027329999999999993,0.020669999999999994,0.023999999999999994,0.017520383043796866
14,H,15,0.23748,0.9447,0.26398,0.21669,0.026499999999999996,0.020790000000000003,0.023645,0.01762209789455912
15,H,16,0.23326,0.9463,0.25085,0.22332,0.017590000000000022,0.009940000000000004,0.013765000000000013,0.00842538013813938
16,H,17,0.21841,0.9538,0.25618,0.20339,0.037770000000000026,0.015020000000000006,0.026395000000000016,0.012731308820407794
17,H,18,0.2184,0.9538,0.25618,0.20337,0.03778000000000001,0.015030000000000016,0.026405000000000012,0.012739785057971324
18,H,19,0.24904,0.9389,0.26217,0.21697,0.013130000000000003,0.032070000000000015,0.02260000000000001,0.027183293866210254
19,H,20,0.23639,0.9455,0.24987,0.21663,0.01348000000000002,0.01976,0.01662000000000001,0.016749045425516505
20,H,21,0.24907,0.9389,0.2622,0.21695,0.013129999999999975,0.03212000000000001,0.022624999999999992,0.02722567505402785
