,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,C,1,-0.65386,3.8587,-0.67348,-0.64286,-0.01961999999999997,-0.01100000000000001,-0.01530999999999999,-0.009322766014004408
1,C,2,0.01579,4.0087,0.16406,-0.10323,0.14827,0.11902,0.133645,0.10087232827152762
2,C,3,-0.0729,3.9017,-0.01811,-0.0899,0.054790000000000005,0.016999999999999987,0.035894999999999996,0.014407911112552246
3,N,4,-0.33933,3.5007,-0.18139,-0.37499,0.15794000000000002,0.03565999999999997,0.0968,0.030222712369036057
4,C,5,-0.42486,3.7929,-0.44243,-0.42055,-0.017569999999999975,-0.004310000000000036,-0.010940000000000005,-0.003652829229123573
5,C,6,0.12198,3.8934,0.09651,-0.12535,-0.025470000000000007,0.24733,0.11093,0.2096181562039735
6,C,7,-0.24521,3.9857,-0.04349,-0.23467,0.20172,-0.010540000000000022,0.09559,-0.008932904889782416
7,C,8,0.34412,3.8661,0.36166,0.13684,0.01754,0.20728,0.11241,0.17567481267116655
8,O,9,-0.71073,1.8601,-0.57676,-0.87092,0.13396999999999992,0.16019000000000005,0.14708,0.13576489888939686
9,C,10,-0.46737,3.9161,-0.51987,-0.45589,-0.05250000000000005,-0.01147999999999999,-0.03199000000000002,-0.009729577621888221
10,H,11,0.22916,0.9493,0.25862,0.20937,0.029460000000000014,0.019790000000000002,0.024625000000000008,0.01677250358337701
11,H,12,0.22916,0.9493,0.2586,0.20938,0.029439999999999994,0.019779999999999992,0.024609999999999993,0.01676402834154609
12,H,13,0.23011,0.948,0.24459,0.22016,0.014479999999999993,0.009950000000000014,0.012215000000000004,0.008432865621758538
13,H,14,0.23475,0.9464,0.26177,0.21308,0.027020000000000016,0.021669999999999995,0.024345000000000006,0.018365849047588666
14,H,15,0.23372,0.9461,0.25056,0.22286,0.016839999999999994,0.010860000000000009,0.013850000000000001,0.009204112628371624
15,H,16,0.22058,0.9528,0.25621,0.20341,0.035629999999999995,0.01716999999999999,0.026399999999999993,0.014551990223677772
16,H,17,0.22054,0.9529,0.25622,0.20334,0.03567999999999999,0.01720000000000002,0.026440000000000005,0.014577415949170535
17,H,18,0.24173,0.9434,0.26902,0.20254,0.02728999999999998,0.03919,0.03323999999999999,0.03321447273534841
18,H,19,0.1397,0.9844,0.16741,0.09621,0.027710000000000012,0.04348999999999999,0.0356,0.03685882672264103
19,H,20,0.22646,0.952,0.30515,0.20058,0.07868999999999998,0.025879999999999986,0.052284999999999984,0.02193392585840307
20,H,21,0.22647,0.952,0.30513,0.20059,0.07866000000000001,0.025880000000000014,0.05227000000000001,0.02193392585840309
