,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,O,1,-0.69461,1.8779,-0.5615,-0.86268,0.13310999999999995,0.16807000000000005,0.15059,0.150338961409299
1,N,2,-0.35617,3.4896,-0.18758,-0.38895,0.16859,0.03278000000000003,0.10068500000000001,0.029321777562901316
2,C,3,-0.22537,3.8551,-0.24292,-0.21883,-0.01755000000000001,-0.00653999999999999,-0.012045,-0.005850043479602628
3,C,4,-0.42137,3.9208,-0.41388,-0.41968,0.007489999999999997,-0.0016900000000000248,0.002899999999999986,-0.001511708483261254
4,C,5,-0.41389,3.9242,-0.41608,-0.41291,-0.0021900000000000253,-0.0009799999999999809,-0.001585000000000003,-0.0008766120198792771
5,C,6,0.12935,3.8897,0.10488,-0.12224,-0.024469999999999992,0.25159,0.11356,0.22504777355248123
6,C,7,-0.05873,3.9068,-0.02274,-0.07601,0.035989999999999994,0.017279999999999997,0.026635,0.015456995615830816
7,C,8,-0.46054,3.9126,-0.51489,-0.45227,-0.054349999999999954,-0.00827,-0.03130999999999998,-0.007397532045307921
8,C,9,-0.27212,3.9771,-0.04377,-0.26011,0.22834999999999997,-0.012009999999999965,0.10817,-0.010742969753826829
9,C,10,-0.21644,3.9568,-0.06221,-0.3346,0.15422999999999998,0.11816000000000002,0.136195,0.10569436353973205
10,C,11,-0.63454,3.8701,-0.63501,-0.63496,-0.00046999999999997044,0.00041999999999997595,-2.4999999999997247e-05,0.0003756908656625331
11,C,12,0.36739,3.8545,0.37361,0.14687,0.006220000000000003,0.22052,0.11337,0.19725559451406321
12,H,13,0.22791,0.9495,0.2473,0.21516,0.01938999999999999,0.012750000000000011,0.01607,0.011404901279041847
13,H,14,0.22484,0.951,0.25463,0.21054,0.02979000000000001,0.014300000000000007,0.02204500000000001,0.012791379473748891
14,H,15,0.22199,0.9522,0.23918,0.21017,0.01719000000000001,0.011819999999999997,0.014505000000000004,0.010573014362217607
15,H,16,0.21865,0.9533,0.22814,0.21306,0.009489999999999998,0.005590000000000012,0.007540000000000005,0.005000266521556392
16,H,17,0.21522,0.955,0.22297,0.20913,0.007750000000000007,0.006089999999999984,0.006919999999999996,0.005447517552107028
17,H,18,0.20676,0.9594,0.20722,0.20802,0.0004599999999999882,-0.0012600000000000111,-0.00040000000000001146,-0.001127072596987674
18,H,19,0.24293,0.944,0.27166,0.20798,0.028730000000000006,0.03495000000000001,0.03184000000000001,0.03126284703549116
19,H,20,0.22022,0.9538,0.31185,0.19627,0.09163000000000002,0.02395,0.05779000000000001,0.021423324363376628
20,H,21,0.22902,0.9491,0.30056,0.20608,0.07153999999999999,0.022939999999999988,0.04723999999999999,0.020519877281664285
21,H,22,0.23938,0.9439,0.26591,0.21949,0.02652999999999997,0.01989000000000002,0.023209999999999995,0.017791645995305284
22,H,23,0.23472,0.9458,0.26185,0.21515,0.027130000000000015,0.019570000000000004,0.02335000000000001,0.017505405335752847
23,H,24,0.20981,0.9573,0.21228,0.20759,0.00247,0.0022199999999999998,0.002345,0.0019857945756449314
24,H,25,0.21127,0.9566,0.21204,0.21121,0.0007699999999999929,6.0000000000004494e-05,0.0004149999999999987,5.367012366608325e-05
25,H,26,0.21864,0.953,0.22131,0.21679,0.0026700000000000057,0.0018499999999999905,0.002259999999999998,0.0016548288130374346
26,H,27,0.13567,0.9852,0.16517,0.08973,0.0295,0.04594000000000001,0.037720000000000004,0.04109342468699467
