,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,C,1,-0.63457,3.8709,-0.63512,-0.63571,-0.0005500000000000504,0.0011400000000000299,0.0002949999999999897,0.0007547982566388071
1,C,2,-0.41365,3.9251,-0.4159,-0.4133,-0.0022499999999999742,-0.00035000000000001696,-0.0012999999999999956,-0.0002317363068627968
2,C,3,-0.42222,3.9242,-0.41352,-0.41956,0.008699999999999986,-0.0026599999999999957,0.003019999999999995,-0.0017611959321571675
3,C,4,-0.22213,3.8682,-0.24309,-0.21699,-0.020960000000000006,-0.005140000000000006,-0.013050000000000006,-0.0034032131922134834
4,N,5,-0.39018,3.4262,-0.19149,-0.39129,0.19869000000000003,0.0011099999999999999,0.09990000000000002,0.000734935144621977
5,C,6,-0.06154,3.9144,-0.03532,-0.13154,0.02622,0.06999999999999999,0.04811,0.04634726137255711
6,C,7,-0.032,4.009,0.13331,-0.16378,0.16531,0.13178,0.148545,0.08725203005250824
7,C,8,-0.65007,3.8637,-0.67083,-0.63818,-0.02076,-0.011890000000000067,-0.016325000000000034,-0.007872413395995818
8,C,9,-0.45605,3.9251,-0.51825,-0.43691,-0.06219999999999998,-0.01913999999999999,-0.040669999999999984,-0.012672665466724896
9,C,10,-0.25345,3.9873,-0.02499,-0.36656,0.22846,0.11310999999999999,0.170785,0.07489055334071335
10,C,11,0.71812,3.8955,0.69778,0.63719,-0.020340000000000025,0.08092999999999995,0.03029499999999996,0.05358405518401493
11,O,12,-0.85675,1.6907,-0.79581,-0.9434,0.060939999999999994,0.08665,0.073795,0.05737128854188677
12,O,13,-0.84419,1.7081,-0.79439,-0.93823,0.049799999999999955,0.09404000000000001,0.07191999999999998,0.06226423513536102
13,C,14,0.04717,3.9131,0.03034,-0.19506,-0.016829999999999998,0.24223,0.11270000000000001,0.16038138746106442
14,H,15,0.20853,0.9579,0.21123,0.20588,0.002700000000000008,0.0026499999999999857,0.002674999999999997,0.0017545748948182241
15,H,16,0.2114,0.9566,0.21222,0.21095,0.0008199999999999874,0.00045000000000000595,0.0006349999999999967,0.0002979466802521568
16,H,17,0.21767,0.9534,0.22064,0.21557,0.0029700000000000004,0.0020999999999999908,0.0025349999999999956,0.0013904178411767072
17,H,18,0.2123,0.9563,0.22082,0.20554,0.00852,0.006759999999999988,0.007639999999999994,0.0044758212411212224
18,H,19,0.20734,0.9592,0.20774,0.20924,0.00040000000000001146,-0.0019000000000000128,-0.0007500000000000007,-0.0012579970943979873
19,H,20,0.21626,0.9549,0.23571,0.20517,0.019449999999999995,0.011090000000000017,0.015270000000000006,0.007342730408880845
20,H,21,0.21488,0.955,0.22529,0.21027,0.010410000000000003,0.004609999999999975,0.007509999999999989,0.0030522982132498164
21,H,22,0.22095,0.9528,0.24255,0.20752,0.02159999999999998,0.013429999999999997,0.01751499999999999,0.008892053146192028
22,H,23,0.21501,0.9556,0.24805,0.20187,0.033039999999999986,0.013140000000000013,0.02309,0.008700043063362872
23,H,24,0.22567,0.9509,0.2552,0.20172,0.029529999999999973,0.02395,0.026739999999999986,0.015857384426753468
24,H,25,0.22541,0.9502,0.24038,0.21386,0.014970000000000011,0.011550000000000005,0.013260000000000008,0.007647298126471927
25,H,26,0.22194,0.9528,0.25156,0.20024,0.029620000000000007,0.021699999999999997,0.025660000000000002,0.014367651025492704
26,H,27,0.22098,0.9535,0.25286,0.19769,0.031879999999999964,0.023290000000000005,0.027584999999999985,0.015420395962383648
27,H,28,0.20744,0.961,0.29575,0.18219,0.08831,0.025250000000000022,0.05678000000000001,0.01671811928081526
28,H,29,0.21139,0.9588,0.29324,0.18713,0.08185,0.024260000000000004,0.053055000000000005,0.01606263658426051
29,H,30,0.23433,0.9473,0.26407,0.19847,0.029740000000000016,0.03586,0.03280000000000001,0.02374303989742712
