,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,H,1,0.22809,0.9489,0.25652,0.20446,0.02843000000000004,0.023629999999999984,0.02603000000000001,0.01671078634358825
1,C,2,-0.26759,3.9552,-0.08033,-0.41366,0.18725999999999998,0.14607000000000003,0.166665,0.10329854258180016
2,C,3,-0.04631,3.9152,-0.03018,-0.12223,0.01613,0.07592000000000002,0.046025,0.05368950060115197
3,N,4,-0.40311,3.4114,-0.19789,-0.3985,0.20522,-0.004610000000000003,0.100305,-0.0032601237851858627
4,C,5,-0.21898,3.8695,-0.24081,-0.21271,-0.02182999999999999,-0.006269999999999998,-0.014049999999999993,-0.004434051221933913
5,C,6,-0.42751,3.9203,-0.41717,-0.42519,0.010340000000000016,-0.0023199999999999887,0.0040100000000000136,-0.0016406696706358264
6,C,7,-0.45295,3.9221,-0.45709,-0.44888,-0.004139999999999977,-0.004070000000000018,-0.0041049999999999975,-0.0028782437756413254
7,C,8,-0.08575,3.8504,-0.08445,-0.08545,0.0013000000000000095,-0.0003000000000000086,0.0005000000000000004,-0.0002121555608580881
8,O,9,-0.78758,1.7434,-0.77897,-0.79849,0.008609999999999896,0.010910000000000086,0.009759999999999991,0.007715390563205644
9,C,10,0.03942,3.9132,0.02638,-0.1869,-0.013039999999999996,0.22632000000000002,0.10664000000000001,0.1600501551113371
10,C,11,-0.23748,3.9943,-0.01406,-0.3556,0.22342,0.11812000000000003,0.17077,0.08353271616185552
11,C,12,0.72829,3.889,0.70731,0.64699,-0.02098,0.08130000000000004,0.03016000000000002,0.057494156992540256
12,O,13,-0.84983,1.7104,-0.79184,-0.92978,0.057989999999999986,0.07995000000000008,0.06897000000000003,0.05653945696867892
13,O,14,-0.82235,1.7372,-0.76726,-0.91944,0.05508999999999997,0.09709000000000001,0.07608999999999999,0.06866061134570395
14,C,15,-0.46451,3.921,-0.52367,-0.45036,-0.05915999999999999,-0.014149999999999996,-0.03665499999999999,-0.010006670620472866
15,H,16,0.23123,0.9479,0.26035,0.20742,0.029120000000000035,0.023809999999999998,0.026465000000000016,0.016838079680103108
16,H,17,0.22066,0.9529,0.24816,0.20675,0.027499999999999997,0.013910000000000006,0.020705,0.009836946171786407
17,H,18,0.21678,0.9548,0.24302,0.19893,0.026240000000000013,0.017850000000000005,0.02204500000000001,0.012623255871055884
18,H,19,0.21378,0.9561,0.2253,0.20834,0.011520000000000002,0.00544,0.008480000000000001,0.0038470875035598877
19,H,20,0.22679,0.9498,0.2467,0.21734,0.01991000000000001,0.009449999999999986,0.014679999999999999,0.006682900167029574
20,H,21,0.21816,0.9536,0.22689,0.20788,0.008730000000000016,0.010279999999999984,0.009505,0.007269863885403599
21,H,22,0.21397,0.9565,0.21884,0.21257,0.004870000000000013,0.0013999999999999846,0.003134999999999999,0.0009900592840043718
22,H,23,0.17391,0.9734,0.16741,0.17851,-0.006500000000000006,-0.004599999999999993,-0.005549999999999999,-0.0032530519331572527
23,H,24,0.18215,0.9686,0.18966,0.17396,0.007509999999999989,0.008190000000000003,0.007849999999999996,0.005791846811425641
24,H,25,0.50345,0.7496,0.50073,0.50529,-0.0027199999999999447,-0.0018400000000000638,-0.0022800000000000042,-0.0013012207732629483
25,H,26,0.23793,0.9456,0.26928,0.19878,0.03135000000000002,0.03914999999999999,0.035250000000000004,0.027686300691979696
26,H,27,0.22196,0.9527,0.28981,0.19896,0.06785000000000002,0.022999999999999993,0.04542500000000001,0.016265259665786284
27,H,28,0.20741,0.9605,0.30734,0.18101,0.09992999999999999,0.026400000000000007,0.063165,0.018669689355511224
