,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,C,1,-0.65004,3.8635,-0.67132,-0.63942,-0.021280000000000077,-0.010619999999999963,-0.01595000000000002,-0.007302603755236115
1,C,2,-0.0308,4.0091,0.13678,-0.1478,0.16758,0.11699999999999999,0.14229,0.08045241425260155
2,C,3,-0.06311,3.9149,-0.03419,-0.12306,0.02892,0.05995,0.044435,0.041223266961055244
3,N,4,-0.39764,3.4035,-0.19561,-0.40096,0.20203,0.0033199999999999896,0.10267499999999999,0.0022829232078515928
4,C,5,-0.22551,3.8689,-0.24519,-0.21896,-0.019680000000000003,-0.00655,-0.013115000000000002,-0.004503959943201199
5,C,6,-0.42646,3.9208,-0.41641,-0.42348,0.010050000000000003,-0.0029799999999999827,0.0035350000000000104,-0.002049129867288472
6,C,7,-0.45209,3.9213,-0.45317,-0.44927,-0.0010800000000000254,-0.002819999999999989,-0.0019500000000000073,-0.0019391094717293633
7,C,8,-0.08905,3.8525,-0.09131,-0.0875,-0.002259999999999998,-0.0015500000000000097,-0.001905000000000004,-0.0010658225819789161
8,O,9,-0.78829,1.7401,-0.78187,-0.79827,0.006420000000000092,0.009979999999999989,0.00820000000000004,0.006862522172999681
9,C,10,0.04672,3.9145,0.02673,-0.1875,-0.019989999999999997,0.23421999999999998,0.107115,0.16105610654909688
10,C,11,-0.24681,3.9908,-0.0258,-0.36081,0.22101,0.11400000000000002,0.16750500000000001,0.07838953183586819
11,C,12,0.72903,3.8883,0.70982,0.63802,-0.01920999999999995,0.09100999999999992,0.03589999999999999,0.06258097624896805
12,O,13,-0.82574,1.7318,-0.77253,-0.92694,0.05320999999999998,0.10119999999999996,0.07720499999999997,0.0695879001911391
13,O,14,-0.85332,1.7074,-0.79943,-0.93442,0.05388999999999999,0.08110000000000006,0.06749500000000003,0.05576658799902556
14,C,15,-0.459,3.9229,-0.51891,-0.44238,-0.05990999999999996,-0.016620000000000024,-0.03826499999999999,-0.011428368588702904
15,H,16,0.22105,0.9534,0.25433,0.20086,0.033280000000000004,0.020189999999999986,0.026734999999999995,0.013883198664615593
16,H,17,0.22312,0.9521,0.25238,0.20256,0.02925999999999998,0.020560000000000023,0.02491,0.014137620829346068
17,H,18,0.22559,0.9502,0.24091,0.21476,0.01532,0.010830000000000006,0.013075000000000003,0.0074470055244074814
18,H,19,0.22567,0.9509,0.25571,0.203,0.030039999999999983,0.022669999999999996,0.02635499999999999,0.015588514795781855
19,H,20,0.21908,0.9537,0.24212,0.20111,0.023040000000000005,0.017969999999999986,0.020504999999999995,0.012356665676232895
20,H,21,0.2201,0.9531,0.24919,0.20507,0.029090000000000005,0.015029999999999988,0.022059999999999996,0.010335040907834192
21,H,22,0.22066,0.9529,0.24156,0.20829,0.020900000000000002,0.012369999999999992,0.016634999999999997,0.008505951831663937
22,H,23,0.21834,0.9536,0.22966,0.21235,0.011319999999999997,0.005989999999999995,0.008654999999999996,0.0041188885587442985
23,H,24,0.21863,0.9534,0.22998,0.2067,0.011349999999999999,0.011929999999999996,0.011639999999999998,0.008203395743876378
24,H,25,0.21891,0.955,0.21665,0.22139,-0.0022599999999999842,-0.00248000000000001,-0.002369999999999997,-0.001705316131166262
25,H,26,0.1705,0.9732,0.17169,0.16967,0.0011899999999999966,0.0008300000000000252,0.0010100000000000109,0.0005707308019629173
26,H,27,0.1839,0.968,0.18886,0.17737,0.004959999999999992,0.006530000000000008,0.005745,0.004490207393756314
27,H,28,0.50511,0.7478,0.50342,0.50576,-0.0016899999999999693,-0.0006500000000000394,-0.0011700000000000044,-0.00044695785695892466
28,H,29,0.23534,0.9467,0.26447,0.19731,0.02912999999999999,0.03802999999999998,0.033579999999999985,0.026150472769456715
29,H,30,0.2081,0.9609,0.30219,0.18251,0.09409000000000001,0.02559,0.059840000000000004,0.017596387014735676
30,H,31,0.21798,0.9555,0.28927,0.19405,0.07129000000000002,0.023930000000000007,0.04761000000000001,0.016454925410809878
