,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,H,1,0.23272,0.9467,0.26107,0.21086,0.028350000000000014,0.02186000000000002,0.025105000000000016,0.01790941373596106
1,C,2,-0.23786,3.9563,-0.06098,-0.37589,0.17687999999999998,0.13803,0.157455,0.1130849212248263
2,C,3,-0.05023,3.9088,-0.01598,-0.09006,0.034249999999999996,0.039830000000000004,0.037040000000000003,0.03263183664699581
3,N,4,-0.3666,3.464,-0.17904,-0.38172,0.18755999999999998,0.015120000000000022,0.10134,0.012387481047014244
4,C,5,-0.21516,3.8606,-0.234,-0.20931,-0.018840000000000023,-0.005849999999999994,-0.012345000000000009,-0.004792775405094785
5,C,6,-0.41546,3.9234,-0.40641,-0.41562,0.009050000000000002,0.00015999999999999348,0.004604999999999998,0.00013108445552395472
6,C,7,-0.40038,3.9275,-0.39866,-0.40081,0.0017199999999999993,0.00042999999999998595,0.0010749999999999926,0.0003522894742206311
7,C,8,-0.40331,3.9294,-0.40285,-0.40339,0.00046000000000001595,8.00000000000245e-05,0.0002700000000000202,6.55422277620001e-05
8,C,9,-0.3989,3.9299,-0.39847,-0.399,0.00042999999999998595,0.0001000000000000445,0.0002650000000000152,8.19277847025115e-05
9,C,10,-0.40056,3.931,-0.40039,-0.40062,0.00017000000000000348,5.999999999994898e-05,0.00011499999999997623,4.915667082144322e-05
10,C,11,-0.40864,3.929,-0.40864,-0.40866,0.0,2.0000000000020002e-05,1.0000000000010001e-05,1.6385556940511396e-05
11,C,12,-0.62489,3.8724,-0.62487,-0.62489,1.999999999990898e-05,0.0,9.99999999995449e-06,0.0
12,C,13,0.10051,3.9001,0.07849,-0.16262,-0.022019999999999998,0.26313,0.120555,0.21557657988762255
13,C,14,-0.25265,3.9786,-0.03389,-0.29936,0.21875999999999998,0.04671000000000003,0.132735,0.038268468234526114
14,C,15,0.74024,3.8567,0.73453,0.60123,-0.005709999999999993,0.13900999999999997,0.06664999999999999,0.11388781351491052
15,O,16,-0.70248,1.8928,-0.62638,-0.83196,0.07609999999999995,0.12948000000000004,0.10278999999999999,0.10608009563276471
16,O,17,-0.49182,2.1775,-0.46172,-0.53279,0.03009999999999996,0.040970000000000006,0.03553499999999998,0.033565813392604026
17,C,18,-0.29451,3.7557,-0.29567,-0.29085,-0.0011599999999999944,-0.0036599999999999966,-0.0024099999999999955,-0.0029985569201105835
18,C,19,-0.45608,3.9148,-0.51338,-0.44339,-0.05729999999999996,-0.012689999999999979,-0.03499499999999997,-0.010396635878744065
19,H,20,0.23649,0.9452,0.26494,0.21442,0.028450000000000003,0.022070000000000006,0.025260000000000005,0.018081462083836247
20,H,21,0.22194,0.9525,0.24554,0.20716,0.02360000000000001,0.014779999999999988,0.01919,0.0121089265790258
