,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,C,1,-0.62551,3.8722,-0.62547,-0.62553,4.0000000000040004e-05,2.0000000000020002e-05,3.0000000000030003e-05,1.5876384986602224e-05
1,C,2,-0.40146,3.9292,-0.40138,-0.40155,7.999999999996898e-05,9.00000000000345e-05,8.500000000000174e-05,7.144373243966594e-05
2,C,3,-0.39989,3.9317,-0.39985,-0.39987,4.0000000000040004e-05,-2.0000000000020002e-05,1.0000000000010001e-05,-1.5876384986602224e-05
3,C,4,-0.39822,3.9306,-0.39788,-0.39834,0.00034000000000000696,0.00012000000000000899,0.00023000000000000798,9.52583099195252e-05
4,C,5,-0.39623,3.9301,-0.39582,-0.39751,0.00041000000000002146,0.0012799999999999478,0.0008449999999999847,0.0010160886391414846
5,C,6,-0.40899,3.9272,-0.41184,-0.40798,-0.0028499999999999637,-0.0010100000000000109,-0.0019299999999999873,-0.000801757441822619
6,C,7,-0.41764,3.9221,-0.40928,-0.41603,0.008360000000000034,-0.0016100000000000003,0.003375000000000017,-0.001278048991420201
7,C,8,-0.21618,3.8602,-0.23491,-0.21007,-0.018729999999999997,-0.006110000000000004,-0.01242,-0.004850235613402132
8,N,9,-0.36094,3.4712,-0.18584,-0.38401,0.17509999999999998,0.023070000000000035,0.099085,0.018313410082027377
9,C,10,-0.068,3.9073,-0.02227,-0.09876,0.04573000000000001,0.030759999999999996,0.038245,0.024417880109369794
10,C,11,-0.00481,4.0091,0.15294,-0.1238,0.15775,0.11899,0.13837,0.09445655247769545
11,C,12,-0.65206,3.8604,-0.67258,-0.64105,-0.020519999999999983,-0.011009999999999964,-0.015764999999999973,-0.008739949935115754
12,C,13,-0.45223,3.9142,-0.51115,-0.43775,-0.05891999999999997,-0.014480000000000048,-0.03670000000000001,-0.011494502730288552
13,C,14,-0.26696,3.9725,-0.04457,-0.3075,0.22238999999999998,0.04054000000000002,0.131465,0.032181432367810535
14,C,15,0.74005,3.8571,0.7348,0.59621,-0.005249999999999977,0.14383999999999997,0.069295,0.11418296082352897
15,O,16,-0.71757,1.8761,-0.63354,-0.84456,0.08403000000000005,0.12698999999999994,0.10550999999999999,0.10080710647232995
16,O,17,-0.48818,2.1898,-0.46067,-0.53133,0.02750999999999998,0.043149999999999966,0.03532999999999997,0.034253300608560015
17,C,18,-0.29577,3.7563,-0.29672,-0.29182,-0.0009500000000000064,-0.0039499999999999535,-0.00244999999999998,-0.003135586034850766
18,C,19,0.10732,3.8984,0.07933,-0.14975,-0.02799,0.25707,0.11454,0.2040671144250876
19,H,20,0.21491,0.9546,0.21511,0.21475,0.00020000000000000573,0.00015999999999999348,0.0001799999999999996,0.00012701107989268557
20,H,21,0.20765,0.9582,0.20772,0.20757,6.999999999998674e-05,7.999999999999674e-05,7.499999999999174e-05,6.350553994634279e-05
21,H,22,0.20765,0.9582,0.20781,0.2075,0.00015999999999999348,0.00015000000000001124,0.00015500000000000236,0.00011907288739940651
22,H,23,0.19995,0.962,0.19997,0.19998,2.0000000000020002e-05,-3.0000000000002247e-05,-4.999999999991123e-06,-2.38145774798813e-05
23,H,24,0.19995,0.962,0.20014,0.19986,0.00019000000000002348,8.999999999997899e-05,0.00014000000000000123,7.144373243962187e-05
24,H,25,0.19879,0.9627,0.19934,0.19835,0.0005499999999999949,0.00043999999999999595,0.0004949999999999954,0.0003492804697048964
