,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,H,1,0.24016,0.9431,0.26592,0.21933,0.025759999999999977,0.020830000000000015,0.023294999999999996,0.01760481239043957
1,C,2,-0.22784,3.9543,-0.06569,-0.34584,0.16215,0.118,0.140075,0.09972961411770848
2,C,3,-0.04536,3.8968,-0.01813,-0.09193,0.027229999999999997,0.04657,0.0369,0.03935939092764139
3,N,4,-0.37884,3.4635,-0.20637,-0.37449,0.17247,-0.0043500000000000205,0.08406,-0.003676473062813847
4,C,5,0.14223,3.9639,0.11172,0.14446,-0.030509999999999995,-0.0022300000000000098,-0.016370000000000003,-0.0018847206735804311
5,C,6,-0.25266,3.9509,-0.20341,-0.27735,0.04924999999999999,0.02468999999999999,0.03696999999999999,0.020867154004798487
6,C,7,-0.21212,3.9553,-0.20871,-0.21637,0.0034099999999999964,0.004250000000000004,0.00383,0.0035919564406801815
7,C,8,-0.24491,3.9557,-0.17982,-0.27953,0.06508999999999998,0.03462000000000001,0.049855,0.029259654582670075
8,C,9,-0.21217,3.9554,-0.20893,-0.22127,0.003239999999999993,0.009099999999999997,0.006169999999999995,0.0076910126141622615
9,C,10,-0.2519,3.9505,-0.2021,-0.26881,0.04980000000000001,0.01690999999999998,0.033354999999999996,0.01429176080280041
10,C,11,0.10015,3.8926,0.08473,-0.16714,-0.015420000000000003,0.26729,0.12593500000000002,0.22590447930103646
11,C,12,-0.25158,3.9719,-0.06389,-0.35889,0.18769000000000002,0.10730999999999996,0.1475,0.09069478721162112
12,C,13,0.32377,3.9926,0.30377,0.26303,-0.020000000000000018,0.060740000000000016,0.02037,0.05133539628397978
13,N,14,-0.44915,2.992,-0.33372,-0.62338,0.11542999999999998,0.17423000000000005,0.14483000000000001,0.14725331074346062
14,C,15,-0.44567,3.9043,-0.49391,-0.43215,-0.048240000000000005,-0.013520000000000032,-0.03088000000000002,-0.011426647312469677
15,H,16,0.24471,0.9412,0.2697,0.22465,0.024989999999999984,0.020060000000000022,0.022525000000000003,0.01695403440001046
16,H,17,0.2454,0.9408,0.25722,0.2387,0.011819999999999997,0.0067000000000000115,0.009260000000000004,0.005662613682954644
17,H,18,0.23826,0.9441,0.24911,0.23193,0.010849999999999999,0.006330000000000002,0.00859,0.005349902181060126
18,H,19,0.23718,0.9445,0.24705,0.23077,0.00986999999999999,0.006409999999999999,0.008139999999999994,0.005417515478767045
19,H,20,0.23811,0.9442,0.24898,0.23197,0.010870000000000019,0.006139999999999979,0.008504999999999999,0.005189320599006169
20,H,21,0.24574,0.9407,0.25748,0.23906,0.01174,0.0066799999999999915,0.009209999999999996,0.005645710358527897
21,H,22,0.25414,0.9366,0.27954,0.21486,0.025400000000000034,0.03927999999999998,0.03234000000000001,0.033198129174098194
22,H,23,0.23115,0.9486,0.30481,0.20912,0.07366000000000003,0.022029999999999994,0.04784500000000001,0.018619011856043366
23,H,24,0.2312,0.9486,0.30467,0.20926,0.07347000000000001,0.021939999999999987,0.047705,0.018542946896123073
