,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,C,1,-0.65287,3.8581,-0.67086,-0.64579,-0.01799000000000006,-0.007079999999999975,-0.012535000000000018,-0.006432463607093373
1,C,2,0.01661,4.0081,0.15359,-0.06301,0.13698,0.07962,0.10830000000000001,0.07233795937807573
2,C,3,-0.07026,3.8929,-0.02306,-0.07595,0.047200000000000006,0.005690000000000001,0.026445000000000003,0.005169592927169693
3,N,4,-0.35593,3.4915,-0.20632,-0.37658,0.14961000000000002,0.02065,0.08513000000000001,0.01876135218735574
4,C,5,0.13922,3.9647,0.1102,0.14897,-0.029020000000000004,-0.009749999999999981,-0.019384999999999993,-0.008858265560615888
5,C,6,-0.24878,3.9503,-0.20585,-0.26949,0.042929999999999996,0.020710000000000006,0.03182,0.018815864590805687
6,C,7,-0.21289,3.9552,-0.20985,-0.21782,0.003039999999999987,0.004930000000000018,0.003985000000000002,0.004479102483470417
7,C,8,-0.2417,3.9557,-0.18675,-0.27349,0.05495,0.03179000000000001,0.043370000000000006,0.028882488427895356
8,C,9,-0.21292,3.9551,-0.20967,-0.21651,0.003250000000000003,0.00359000000000001,0.0034200000000000064,0.00326165880642166
9,C,10,-0.24846,3.9509,-0.20659,-0.27069,0.04186999999999999,0.02223,0.032049999999999995,0.020196845478204262
10,C,11,0.11789,3.886,0.09351,-0.13056,-0.02438,0.24845,0.112035,0.22572677728564325
11,C,12,-0.25019,3.9827,-0.05913,-0.24069,0.19106,-0.009500000000000036,0.09078,-0.008631130546241171
12,C,13,0.37712,3.8469,0.3831,0.15239,0.005979999999999985,0.22473,0.115355,0.20417620712176537
13,O,14,-0.67572,1.8983,-0.56832,-0.84866,0.10739999999999994,0.17293999999999998,0.14016999999999996,0.15712291754388866
14,C,15,-0.45955,3.9114,-0.50946,-0.45234,-0.04991000000000001,-0.007209999999999994,-0.028560000000000002,-0.006550573814568269
15,H,16,0.2294,0.9493,0.25687,0.21611,0.027469999999999994,0.013289999999999996,0.020379999999999995,0.0120744973641626
16,H,17,0.22989,0.9489,0.25735,0.21697,0.027460000000000012,0.012920000000000015,0.020190000000000013,0.011738337542887962
17,H,18,0.23077,0.9477,0.24431,0.22316,0.013539999999999996,0.007610000000000006,0.010575000000000001,0.006913989837567906
18,H,19,0.24015,0.9439,0.26501,0.22422,0.02486000000000002,0.01593,0.02039500000000001,0.01447304311596014
19,H,20,0.24643,0.9404,0.25662,0.24009,0.010190000000000005,0.006340000000000012,0.008265000000000008,0.005760143964544097
20,H,21,0.23834,0.944,0.24784,0.23277,0.009500000000000008,0.005569999999999992,0.007535,0.005060568120269796
21,H,22,0.23735,0.9444,0.24592,0.23168,0.008569999999999994,0.005670000000000008,0.007120000000000001,0.005151422126019718
22,H,23,0.23863,0.9439,0.24807,0.2329,0.009440000000000004,0.005730000000000013,0.007585000000000008,0.005205934529469667
23,H,24,0.24629,0.9404,0.25668,0.24032,0.01039000000000001,0.005970000000000003,0.008180000000000007,0.005423984143269434
24,H,25,0.24757,0.9413,0.27184,0.21519,0.024270000000000014,0.03238000000000002,0.028325000000000017,0.029418527061819813
25,H,26,0.13848,0.9843,0.16325,0.09192,0.024770000000000014,0.04655999999999999,0.035665,0.04230162507715656
26,H,27,0.22698,0.9509,0.3014,0.2069,0.07442000000000001,0.020079999999999987,0.04725,0.018243484354581258
27,H,28,0.22815,0.9503,0.30031,0.20799,0.07216000000000003,0.020159999999999983,0.04616000000000001,0.01831616755918118
