,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,O,1,-0.69308,1.8801,-0.58365,-0.85175,0.10943000000000003,0.15866999999999998,0.13405,0.13765518132614124
1,N,2,-0.36469,3.4682,-0.18647,-0.38749,0.17822000000000002,0.022799999999999987,0.10051,0.019780286974450233
2,C,3,-0.24566,3.8561,-0.26236,-0.24136,-0.016699999999999993,-0.004299999999999998,-0.010499999999999995,-0.0037304927188656152
3,C,4,-0.46285,3.916,-0.51918,-0.45238,-0.05632999999999999,-0.01046999999999998,-0.033399999999999985,-0.009083315992214635
4,C,5,-0.23279,3.9885,-0.01941,-0.23944,0.21338,0.006649999999999989,0.11001499999999999,0.005769250367547979
5,C,6,0.10522,3.8968,0.08269,-0.14169,-0.022529999999999994,0.24691000000000002,0.11219000000000001,0.2142083621430487
6,C,7,-0.0553,3.9052,-0.01543,-0.0779,0.03987,0.022599999999999995,0.031235,0.019606775685200677
7,C,8,-0.03882,4.013,-0.03967,-0.03466,-0.0008499999999999966,-0.004159999999999997,-0.002504999999999997,-0.0036090348163909194
8,C,9,-0.22403,3.9568,-0.0547,-0.3454,0.16933,0.12136999999999998,0.14534999999999998,0.10529532588109763
9,C,10,0.5345,3.8977,0.53939,0.34993,0.004890000000000061,0.18456999999999996,0.09473000000000001,0.1601248932839597
10,C,11,-0.23539,3.9549,-0.23214,-0.23685,0.003249999999999975,0.0014600000000000168,0.002354999999999996,0.0012666324115218285
11,C,12,-0.22671,3.9563,-0.21847,-0.23948,0.008239999999999997,0.012770000000000004,0.010505,0.011078695818584637
12,C,13,-0.22188,3.957,-0.21739,-0.23057,0.004489999999999994,0.008690000000000003,0.006589999999999999,0.00753906551789354
13,C,14,-0.2223,3.9566,-0.21785,-0.22614,0.0044500000000000095,0.00384000000000001,0.00414500000000001,0.003331416753591629
14,C,15,-0.7374,3.8457,-0.74097,-0.71894,-0.003569999999999962,-0.018460000000000032,-0.011014999999999997,-0.016015091997734744
15,C,16,-0.23862,3.9569,-0.2287,-0.2479,0.009920000000000012,0.00928000000000001,0.009600000000000011,0.008050923821179758
16,H,17,0.24587,0.9409,0.2643,0.23237,0.018429999999999974,0.013500000000000012,0.015964999999999993,0.01171201202434555
17,H,18,0.23725,0.9454,0.26663,0.22482,0.02937999999999999,0.012429999999999997,0.020904999999999993,0.010783726626860373
18,H,19,0.2225,0.9532,0.31086,0.19986,0.08836000000000002,0.022639999999999993,0.05550000000000001,0.01964147794305059
19,H,20,0.22603,0.9512,0.30618,0.20459,0.08015,0.021440000000000015,0.05079500000000001,0.018600410207553226
20,H,21,0.24408,0.942,0.2725,0.21096,0.02842000000000003,0.03311999999999998,0.030770000000000006,0.02873346949972771
21,H,22,0.23953,0.9438,0.26738,0.21983,0.027850000000000014,0.019699999999999995,0.023775000000000004,0.017090861991082007
22,H,23,0.23401,0.9462,0.26184,0.21428,0.02783000000000002,0.019729999999999998,0.02378000000000001,0.017116888684469443
23,H,24,0.23597,0.946,0.23583,0.23661,-0.00014000000000000123,-0.0006399999999999739,-0.0003899999999999876,-0.0005552361255985808
24,H,25,0.23429,0.9464,0.23933,0.23067,0.005039999999999989,0.003620000000000012,0.0043300000000000005,0.003140554335417111
25,H,26,0.23457,0.9459,0.23799,0.23175,0.0034200000000000064,0.002819999999999989,0.0031199999999999978,0.002446509178418837
26,H,27,0.23498,0.9457,0.23894,0.23208,0.003960000000000019,0.002899999999999986,0.0034300000000000025,0.0025159136941186595
27,H,28,0.24778,0.9392,0.26064,0.21587,0.012859999999999983,0.031909999999999994,0.022384999999999988,0.02768372619976786
28,H,29,0.23936,0.944,0.25232,0.2206,0.01296,0.01876,0.01586,0.01627535893160906
29,H,30,0.24874,0.9388,0.26182,0.21556,0.013080000000000008,0.03317999999999999,0.023129999999999998,0.028785522886502584
30,H,31,0.23482,0.9457,0.23773,0.23219,0.002909999999999996,0.0026299999999999935,0.0027699999999999947,0.002281673453631755
