,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,C,1,-0.65326,3.8586,-0.67356,-0.64277,-0.020300000000000096,-0.01049,-0.015395000000000048,-0.009080263338898836
1,C,2,0.01295,4.0084,0.16524,-0.10009,0.15229,0.11304,0.132665,0.09784870999324352
2,C,3,-0.07269,3.9008,-0.0141,-0.0863,0.05859,0.013609999999999997,0.0361,0.011780970833404493
3,N,4,-0.34559,3.4916,-0.18722,-0.37684,0.15837,0.03125,0.09481,0.027050355513878802
4,C,5,-0.24495,3.854,-0.26019,-0.24062,-0.015239999999999976,-0.0043300000000000005,-0.009784999999999988,-0.0037480972600030475
5,C,6,-0.03977,4.0132,-0.04202,-0.03539,-0.002250000000000002,-0.004380000000000002,-0.003315000000000002,-0.003791377828825255
6,C,7,-0.23259,3.955,-0.22968,-0.23422,0.002909999999999996,0.0016300000000000203,0.002270000000000008,0.001410946543603936
7,C,8,-0.22187,3.9569,-0.21782,-0.22976,0.004049999999999998,0.00788999999999998,0.005969999999999989,0.006829673760144103
8,C,9,-0.23713,3.9569,-0.2277,-0.24783,0.009429999999999994,0.010699999999999987,0.01006499999999999,0.009262041727952091
9,C,10,-0.22269,3.9566,-0.21883,-0.22578,0.0038600000000000023,0.0030900000000000094,0.003475000000000006,0.002674739153212344
10,C,11,-0.22581,3.9562,-0.21771,-0.23935,0.008100000000000024,0.013539999999999996,0.01082000000000001,0.011720378037053404
11,C,12,0.12036,3.8938,0.09477,-0.11996,-0.02559,0.24031999999999998,0.10736499999999999,0.2080237259870513
12,C,13,-0.24156,3.9879,-0.04381,-0.2349,0.19774999999999998,-0.006659999999999999,0.09554499999999999,-0.00576497176711785
13,C,14,0.35009,3.8626,0.36529,0.14615,0.015199999999999991,0.20394,0.10957,0.17653278411201417
14,O,15,-0.70305,1.8686,-0.57409,-0.8629,0.12895999999999996,0.15985000000000005,0.144405,0.1383679785245929
15,C,16,-0.4674,3.9151,-0.52003,-0.45651,-0.05263000000000001,-0.010889999999999955,-0.03175999999999998,-0.009426507889476446
16,H,17,0.22951,0.949,0.25919,0.21132,0.029679999999999984,0.018189999999999984,0.023934999999999984,0.01574547093751856
17,H,18,0.22903,0.9493,0.25993,0.20993,0.030899999999999983,0.019100000000000006,0.024999999999999994,0.01653317729008273
18,H,19,0.23022,0.9479,0.24501,0.22069,0.014789999999999998,0.00953000000000001,0.012160000000000004,0.008249276417512488
19,H,20,0.23742,0.9452,0.26527,0.21673,0.027850000000000014,0.020689999999999986,0.02427,0.017909499378628867
20,H,21,0.23605,0.9461,0.26572,0.22196,0.029670000000000002,0.01409000000000002,0.02188000000000001,0.012196464294097691
21,H,22,0.24713,0.9403,0.26348,0.23395,0.016350000000000003,0.013179999999999997,0.014765,0.011408757941533522
22,H,23,0.23609,0.9458,0.2365,0.23577,0.0004099999999999937,0.00031999999999998696,0.00036499999999999033,0.00027699564046210765
23,H,24,0.23481,0.9458,0.23797,0.23194,0.003159999999999996,0.0028699999999999837,0.00301499999999999,0.002484304650394615
24,H,25,0.23496,0.9456,0.23764,0.23224,0.002679999999999988,0.00272,0.002699999999999994,0.002354462943928011
25,H,26,0.23514,0.9456,0.23871,0.23212,0.0035700000000000176,0.003019999999999995,0.0032950000000000063,0.002614146356861243
26,H,27,0.23463,0.9462,0.23919,0.23078,0.0045600000000000085,0.0038499999999999923,0.004205,0.0033326037993098617
27,H,28,0.24449,0.9421,0.27189,0.20622,0.027400000000000008,0.038270000000000026,0.03283500000000002,0.03312694737651656
28,H,29,0.14038,0.9841,0.16728,0.09755,0.026900000000000007,0.04283000000000001,0.03486500000000001,0.037074135253101735
29,H,30,0.22832,0.9509,0.30523,0.20417,0.07691,0.024150000000000005,0.050530000000000005,0.020904514741125542
30,H,31,0.22678,0.9518,0.30847,0.20173,0.08169000000000001,0.025050000000000017,0.053370000000000015,0.02168356497992526
