,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,H,1,0.23302,0.9466,0.26148,0.21126,0.028459999999999985,0.02176,0.025109999999999993,0.01788099847660109
1,C,2,-0.23372,3.9566,-0.06429,-0.36446,0.16943000000000003,0.13074,0.150085,0.10743390353082842
2,C,3,-0.05186,3.9096,-0.01838,-0.09215,0.03348,0.04028999999999999,0.036885,0.0331077862418317
3,N,4,-0.38447,3.4384,-0.19804,-0.39645,0.18642999999999998,0.011980000000000046,0.09920500000000002,0.009844410006878763
4,C,5,-0.21322,3.8587,-0.23262,-0.20596,-0.0194,-0.007259999999999989,-0.013329999999999995,-0.005965811072615979
5,C,6,-0.45528,3.9123,-0.4428,-0.45519,0.012479999999999991,-9.00000000000345e-05,0.006194999999999978,-7.395633561097035e-05
6,C,7,-0.02004,4.0161,-0.03447,-0.0077,-0.014430000000000002,-0.012339999999999999,-0.013385000000000001,-0.010140235349322492
7,C,8,-0.23118,3.958,-0.22637,-0.23614,0.004810000000000009,0.004959999999999992,0.0048850000000000005,0.004075815829225242
8,C,9,-0.22723,3.9579,-0.22296,-0.23086,0.004269999999999996,0.003630000000000022,0.003950000000000009,0.0029829055363080124
9,C,10,-0.24014,3.9579,-0.2315,-0.25287,0.008639999999999981,0.012729999999999991,0.010684999999999986,0.010460712803636567
10,C,11,-0.2278,3.9579,-0.22513,-0.23112,0.0026700000000000057,0.0033199999999999896,0.0029949999999999977,0.0027281670469814076
11,C,12,-0.23027,3.959,-0.22751,-0.23312,0.0027600000000000124,0.0028499999999999914,0.002805000000000002,0.0023419506276798232
12,C,13,0.10869,3.8979,0.08246,-0.13582,-0.02622999999999999,0.24451,0.10914,0.20092292911368256
13,C,14,-0.25317,3.9819,-0.034,-0.30244,0.21917,0.04926999999999998,0.13422,0.04048698506167901
14,C,15,0.74484,3.8553,0.73691,0.60807,-0.007929999999999993,0.13676999999999995,0.06441999999999998,0.1123889780167615
15,O,16,-0.70363,1.892,-0.6272,-0.8327,0.07643,0.12907000000000002,0.10275000000000001,0.10606160263671428
16,O,17,-0.49308,2.178,-0.4633,-0.53311,0.02978000000000003,0.040029999999999955,0.03490499999999999,0.03289413460562228
17,C,18,-0.29516,3.7558,-0.29619,-0.29157,-0.0010300000000000309,-0.003589999999999982,-0.0023100000000000065,-0.0029500360538142274
18,C,19,-0.45887,3.9144,-0.51564,-0.44646,-0.05676999999999999,-0.012409999999999977,-0.03458999999999998,-0.01019775694368654
19,H,20,0.23579,0.9457,0.26479,0.21395,0.029000000000000026,0.02184,0.025420000000000012,0.017946737441588593
20,H,21,0.22626,0.9502,0.24832,0.2105,0.022060000000000024,0.015759999999999996,0.01891000000000001,0.012950576102538285
21,H,22,0.22812,0.9494,0.25677,0.21432,0.02865000000000001,0.013799999999999979,0.021224999999999994,0.011339971460344423
22,H,23,0.24116,0.9431,0.26032,0.23085,0.019159999999999983,0.010310000000000014,0.014734999999999998,0.00847210911276459
23,H,24,0.22907,0.9489,0.24001,0.223,0.010940000000000005,0.006069999999999992,0.008504999999999999,0.004987943968426859
24,H,25,0.23272,0.9471,0.23628,0.22836,0.00355999999999998,0.004360000000000003,0.003959999999999991,0.0035827735918189706
25,H,26,0.23378,0.9464,0.23644,0.23067,0.0026600000000000235,0.0031100000000000017,0.0028850000000000126,0.0025556022638892196
26,H,27,0.23425,0.9461,0.23667,0.23117,0.0024199999999999777,0.003080000000000027,0.0027500000000000024,0.0025309501520189267
27,H,28,0.234,0.9463,0.23677,0.23128,0.0027699999999999947,0.00272,0.0027449999999999974,0.0022351248095751363
28,H,29,0.23272,0.9474,0.23655,0.22893,0.00383,0.0037900000000000156,0.003810000000000008,0.003114383466283015
29,H,30,0.24769,0.9403,0.27729,0.2097,0.029599999999999987,0.037989999999999996,0.03379499999999999,0.03121779099844096
30,H,31,0.19962,0.9618,0.20804,0.18735,0.00842000000000001,0.012270000000000003,0.010345000000000007,0.01008271375495843
31,H,32,0.21078,0.9563,0.21726,0.20048,0.0064800000000000135,0.010300000000000004,0.008390000000000009,0.008463891742141143
32,H,33,0.19928,0.9622,0.20816,0.18713,0.008879999999999999,0.012150000000000022,0.01051500000000001,0.00998410530747719
33,H,34,0.22287,0.9525,0.30829,0.19993,0.08542,0.022940000000000016,0.054180000000000006,0.018850648210166788
34,H,35,0.22446,0.9522,0.30754,0.20117,0.08307999999999999,0.023290000000000005,0.053184999999999996,0.01913825618198711
