,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,C,1,-0.65018,3.8637,-0.67094,-0.6438,-0.02076,-0.006379999999999941,-0.013569999999999971,-0.004262950480301639
1,C,2,-0.03057,4.009,0.1339,-0.09755,0.16447,0.06698,0.115725,0.04475429830260289
2,C,3,-0.06185,3.9138,-0.03552,-0.09018,0.02633,0.028329999999999994,0.027329999999999997,0.018929371019897577
3,N,4,-0.39205,3.4246,-0.19327,-0.39504,0.19878,0.0029899999999999927,0.100885,0.001997840428856111
4,C,5,-0.22318,3.8676,-0.24456,-0.22126,-0.02138000000000001,-0.0019199999999999773,-0.011649999999999994,-0.0012828941884293302
5,C,6,-0.41673,3.9195,-0.40872,-0.41658,0.008009999999999962,-0.00014999999999998348,0.003929999999999989,-0.00010022610847103157
6,C,7,-0.44516,3.9174,-0.4474,-0.44226,-0.0022400000000000198,-0.0029000000000000137,-0.0025700000000000167,-0.0019377047637734995
7,C,8,-0.01672,4.0161,-0.02147,-0.01427,-0.004750000000000001,-0.002449999999999999,-0.0036,-0.0016370264383603619
8,C,9,-0.23206,3.9592,-0.23269,-0.28555,-0.0006300000000000194,0.05349000000000004,0.02643000000000001,0.035740630280773816
9,C,10,-0.22895,3.9581,-0.22718,-0.35831,0.0017699999999999938,0.12936000000000003,0.06556500000000001,0.08643499594542717
10,C,11,-0.24645,3.9576,-0.24345,-0.25733,0.0030000000000000027,0.01088,0.006940000000000002,0.007269733734432958
11,C,12,-0.22807,3.9581,-0.22602,-0.29693,0.0020499999999999963,0.06886000000000003,0.035455000000000014,0.04601046552877332
12,C,13,-0.23925,3.9579,-0.23731,-0.37042,0.0019399999999999973,0.13117000000000004,0.06655500000000002,0.08764439098764441
13,C,14,0.0502,3.9113,0.03141,-0.07097,-0.01879,0.12117,0.05119,0.08096265042290822
14,C,15,-0.25461,3.9873,-0.02479,-0.32133,0.22982,0.06672,0.14827,0.04458057304791975
15,C,16,0.71918,3.8952,0.6985,0.684,-0.02068000000000003,0.03517999999999999,0.007249999999999979,0.023506363306741853
16,O,17,-0.85582,1.6933,-0.79481,-0.89786,0.06101000000000001,0.042039999999999966,0.05152499999999999,0.02809003733415085
17,O,18,-0.84469,1.7074,-0.7945,-0.89212,0.05019000000000007,0.04742999999999997,0.04881000000000002,0.03169149549854365
18,C,19,-0.45616,3.9249,-0.51849,-0.44526,-0.062329999999999997,-0.01090000000000002,-0.03661500000000001,-0.007283097215562443
19,H,20,0.22115,0.9534,0.25297,0.20932,0.03181999999999996,0.011830000000000007,0.021824999999999983,0.0079044990880829
20,H,21,0.22543,0.9502,0.24045,0.21943,0.015020000000000006,0.006000000000000005,0.010510000000000005,0.004009044338841708
21,H,22,0.22203,0.9528,0.25169,0.21092,0.02966000000000002,0.011110000000000009,0.020385000000000014,0.007423413767421895
22,H,23,0.2259,0.9508,0.25557,0.21377,0.02967000000000003,0.012130000000000002,0.020900000000000016,0.00810495130502498
23,H,24,0.21556,0.9553,0.25022,0.20655,0.034659999999999996,0.00900999999999999,0.021834999999999993,0.006020248248827286
24,H,25,0.22289,0.9521,0.24372,0.21456,0.020829999999999987,0.008330000000000004,0.014579999999999996,0.005565889890425235
25,H,26,0.22108,0.9523,0.23146,0.21438,0.01038,0.0067000000000000115,0.008540000000000006,0.004476766178373244
26,H,27,0.22338,0.9514,0.24195,0.21591,0.018570000000000003,0.007470000000000004,0.013020000000000004,0.0049912602018579244
27,H,28,0.22443,0.9516,0.22542,0.21889,0.0009900000000000186,0.005539999999999989,0.003265000000000004,0.0037016842728638333
28,H,29,0.23514,0.9461,0.24296,0.21789,0.007820000000000021,0.017249999999999988,0.012535000000000004,0.011526002474169891
29,H,30,0.23258,0.9476,0.23295,0.21757,0.00036999999999998145,0.015009999999999996,0.0076899999999999885,0.010029292587668994
30,H,31,0.23297,0.9469,0.23399,0.21415,0.0010199999999999931,0.018820000000000003,0.009919999999999998,0.012575035742833482
31,H,32,0.23242,0.9468,0.23343,0.21768,0.0010100000000000109,0.014739999999999975,0.007874999999999993,0.009848885592421103
32,H,33,0.23165,0.9473,0.23274,0.21485,0.0010900000000000076,0.01679999999999998,0.008944999999999995,0.01122532414875676
33,H,34,0.23035,0.9483,0.23146,0.2125,0.0011099999999999999,0.017850000000000005,0.009480000000000002,0.011926906908054074
34,H,35,0.23702,0.946,0.26672,0.22156,0.029700000000000004,0.015460000000000002,0.022580000000000003,0.010329970913082126
35,H,36,0.21132,0.9589,0.29394,0.19851,0.08261999999999997,0.012810000000000016,0.047714999999999994,0.008559309663427049
36,H,37,0.20782,0.9608,0.29566,0.19456,0.08783999999999997,0.013259999999999994,0.050549999999999984,0.008859987988840162
