,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,H,1,0.23292,0.9466,0.26128,0.21048,0.028360000000000024,0.022439999999999988,0.025400000000000006,0.01835834128334919
1,C,2,-0.23217,3.9568,-0.06038,-0.37376,0.17179,0.14159,0.15669,0.11583589760737137
2,C,3,-0.05321,3.9088,-0.01928,-0.0969,0.03393,0.04369,0.03881,0.03574313416530867
3,N,4,-0.3761,3.4615,-0.19011,-0.38921,0.18599,0.01311000000000001,0.09955,0.010725394573293594
4,C,5,-0.22492,3.8574,-0.24524,-0.21886,-0.020320000000000005,-0.00606000000000001,-0.013190000000000007,-0.004957733875984686
5,C,6,-0.41861,3.9169,-0.411,-0.41594,0.007610000000000006,-0.0026700000000000057,0.00247,-0.002184348093874442
6,C,7,-0.4459,3.9165,-0.44895,-0.4431,-0.003049999999999997,-0.0028000000000000247,-0.002925000000000011,-0.002290702120917033
7,C,8,-0.01697,4.0161,-0.02275,-0.01121,-0.00578,-0.0057599999999999995,-0.00577,-0.004712301505886426
8,C,9,-0.2311,3.9594,-0.23234,-0.2266,-0.0012399999999999911,-0.004500000000000004,-0.0028699999999999976,-0.0036814855514737737
9,C,10,-0.22809,3.9582,-0.22625,-0.23514,0.0018399999999999805,0.007050000000000001,0.004444999999999991,0.005767660697308908
10,C,11,-0.24627,3.9574,-0.24291,-0.24986,0.003360000000000002,0.00359000000000001,0.003475000000000006,0.0029370073621757496
11,C,12,-0.22684,3.9579,-0.22439,-0.23202,0.0024500000000000077,0.00517999999999999,0.003814999999999999,0.004237798923696466
12,C,13,-0.24016,3.9572,-0.23822,-0.24735,0.001940000000000025,0.007189999999999974,0.004565,0.005882195803354737
13,C,14,0.10791,3.8964,0.08124,-0.13662,-0.02667,0.24453,0.10893,0.2000519248670847
14,C,15,-0.25898,3.9778,-0.03297,-0.30591,0.22601,0.04693000000000003,0.13647,0.03839380376236981
15,C,16,0.74191,3.8563,0.73507,0.60514,-0.006839999999999957,0.13676999999999995,0.064965,0.11189261752779275
16,O,17,-0.70586,1.8884,-0.62723,-0.83258,0.07863000000000009,0.12671999999999994,0.10267500000000002,0.10367063312950134
17,O,18,-0.49248,2.1793,-0.46181,-0.53192,0.030669999999999975,0.039439999999999975,0.035054999999999975,0.03226617558891676
18,C,19,-0.29515,3.756,-0.29633,-0.29182,-0.0011799999999999589,-0.0033299999999999996,-0.0022549999999999792,-0.00272429930809059
19,C,20,-0.45619,3.9146,-0.51386,-0.44324,-0.05767,-0.012949999999999962,-0.03530999999999998,-0.010594497309241153
20,H,21,0.23734,0.9449,0.26578,0.21479,0.02844000000000002,0.022549999999999987,0.025495000000000004,0.018448333152385216
21,H,22,0.22764,0.9498,0.24741,0.21542,0.019769999999999982,0.012220000000000009,0.015994999999999995,0.009997278542002113
22,H,23,0.22276,0.952,0.257,0.20868,0.03423999999999999,0.01408000000000001,0.02416,0.011518959236611273
23,H,24,0.22746,0.9494,0.2452,0.21618,0.017740000000000006,0.011279999999999984,0.014509999999999995,0.009228257115694239
24,H,25,0.22438,0.9508,0.23472,0.21878,0.010340000000000016,0.005599999999999994,0.007970000000000005,0.0045814042418340205
25,H,26,0.23832,0.9445,0.24597,0.23184,0.00764999999999999,0.0064800000000000135,0.007065000000000002,0.00530133919412224
26,H,27,0.22443,0.9516,0.2259,0.2239,0.001469999999999999,0.0005300000000000027,0.0010000000000000009,0.0004335971871735796
27,H,28,0.23166,0.9478,0.23248,0.22973,0.0008199999999999874,0.001930000000000015,0.0013750000000000012,0.0015789482476320962
28,H,29,0.23318,0.9468,0.23431,0.23134,0.0011299999999999921,0.0018400000000000083,0.0014850000000000002,0.0015053185366026153
29,H,30,0.23283,0.9467,0.23395,0.23113,0.0011199999999999821,0.001700000000000007,0.0014099999999999946,0.0013907834305567635
30,H,31,0.23218,0.947,0.2334,0.23035,0.0012199999999999989,0.0018299999999999983,0.0015249999999999986,0.001497137457599332
31,H,32,0.23134,0.9478,0.23261,0.22933,0.0012700000000000211,0.002009999999999984,0.0016400000000000026,0.0016443968796582711
32,H,33,0.24881,0.9398,0.27813,0.21241,0.029319999999999985,0.036400000000000016,0.03286,0.02977912757192118
33,H,34,0.2109,0.9564,0.21751,0.20085,0.006610000000000005,0.010050000000000003,0.008330000000000004,0.008221984398291424
34,H,35,0.19949,0.962,0.20847,0.1871,0.008979999999999988,0.012390000000000012,0.010685,0.010136356885057792
35,H,36,0.1995,0.9619,0.20833,0.18771,0.008829999999999977,0.011790000000000023,0.01031,0.009645492144861297
36,H,37,0.22072,0.9537,0.30871,0.19686,0.08798999999999998,0.023859999999999992,0.05592499999999999,0.019520054501814252
37,H,38,0.22334,0.9524,0.30656,0.20002,0.08321999999999999,0.023320000000000007,0.05327,0.019078276235637414
