,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,C,1,-0.65108,3.8595,-0.67234,-0.63867,-0.021260000000000057,-0.012410000000000032,-0.016835000000000044,-0.00974427664680792
1,C,2,-0.01047,4.0087,0.15356,-0.14354,0.16403,0.13307,0.14855000000000002,0.10448597045855976
2,C,3,-0.06338,3.9079,-0.02103,-0.11829,0.042350000000000006,0.05491,0.04863000000000001,0.043115087081081506
3,N,4,-0.36968,3.4512,-0.1859,-0.38315,0.18378,0.013469999999999982,0.09862499999999999,0.010576583918815646
4,C,5,-0.21607,3.8593,-0.23467,-0.20961,-0.018599999999999978,-0.006460000000000021,-0.01253,-0.005072363186009606
5,C,6,-0.42047,3.9211,-0.41039,-0.41879,0.010080000000000033,-0.0016800000000000148,0.004200000000000009,-0.0013191285065783569
6,C,7,-0.4213,3.9244,-0.42591,-0.41774,-0.004610000000000003,-0.0035600000000000076,-0.004085000000000005,-0.00279529612108269
7,C,8,-0.39004,3.9255,-0.38928,-0.39176,0.0007599999999999829,0.0017199999999999993,0.0012399999999999911,0.0013505363281635433
8,C,9,-0.4327,3.9202,-0.43227,-0.43289,0.00042999999999998595,0.00019000000000002348,0.0003100000000000047,0.00014918715252971223
9,C,10,-0.01162,4.0157,-0.01249,-0.01137,-0.0008699999999999992,-0.0002500000000000002,-0.0005599999999999997,-0.000196298884907492
10,C,11,-0.23881,3.9592,-0.23784,-0.2399,0.0009699999999999986,0.0010900000000000076,0.0010300000000000031,0.0008558631381966704
11,C,12,-0.22834,3.958,-0.22758,-0.22917,0.0007599999999999829,0.0008300000000000252,0.000795000000000004,0.0006517122978928927
12,C,13,-0.24733,3.9574,-0.24648,-0.24847,0.0008499999999999897,0.0011400000000000021,0.0009949999999999959,0.0008951229151781644
13,C,14,-0.23045,3.9575,-0.23025,-0.23089,0.00019999999999997797,0.0004400000000000237,0.00032000000000000084,0.00034548603743720426
14,C,15,-0.23644,3.959,-0.23685,-0.23624,-0.0004099999999999937,-0.00020000000000000573,-0.0003049999999999997,-0.00015703910792599796
15,C,16,0.10835,3.8992,0.08469,-0.15125,-0.02366,0.2596,0.11796999999999999,0.20383676208793952
16,C,17,-0.28752,3.9583,-0.07186,-0.37907,0.21566000000000002,0.09155000000000002,0.15360500000000002,0.07188465165312352
17,C,18,0.32696,3.9928,0.30511,0.25639,-0.02184999999999998,0.07056999999999997,0.024359999999999993,0.05541124923168677
18,N,19,-0.47263,2.9844,-0.33989,-0.65134,0.13273999999999997,0.17871000000000004,0.155725,0.1403222948872715
19,C,20,-0.43917,3.9095,-0.49508,-0.42184,-0.055910000000000015,-0.017330000000000012,-0.036620000000000014,-0.013607438701787343
20,H,21,0.2265,0.9507,0.2594,0.20369,0.03290000000000001,0.022809999999999997,0.027855000000000005,0.017910310258959554
21,H,22,0.22988,0.9481,0.24529,0.21808,0.015410000000000007,0.011800000000000005,0.013605000000000006,0.009265307367633618
22,H,23,0.22761,0.95,0.25782,0.20567,0.030209999999999987,0.021940000000000015,0.026075,0.017227190139481496
23,H,24,0.23375,0.947,0.26346,0.20933,0.029710000000000014,0.024420000000000025,0.02706500000000002,0.019174475077763823
24,H,25,0.22143,0.9525,0.25233,0.20688,0.03090000000000001,0.01454999999999998,0.022724999999999995,0.011424595101616008
25,H,26,0.22317,0.9517,0.24424,0.20778,0.021070000000000005,0.015390000000000015,0.01823000000000001,0.01208415935490521
26,H,27,0.21147,0.957,0.22204,0.20538,0.010569999999999996,0.006089999999999984,0.00832999999999999,0.0047818408363464885
27,H,28,0.22187,0.9523,0.24055,0.20862,0.018680000000000002,0.013250000000000012,0.015965000000000007,0.010403840900097076
28,H,29,0.21232,0.957,0.21731,0.20969,0.0049899999999999944,0.002630000000000021,0.003810000000000008,0.0020650642692268306
29,H,30,0.20933,0.9589,0.20958,0.20981,0.0002500000000000002,-0.0004800000000000082,-0.00011500000000000399,-0.00037689385902239076
30,H,31,0.21199,0.9567,0.21449,0.20933,0.0024999999999999745,0.0026600000000000235,0.002579999999999999,0.0020886201354157314
31,H,32,0.20567,0.9595,0.20867,0.20294,0.0030000000000000027,0.0027299999999999824,0.0028649999999999926,0.0021435838231897973
32,H,33,0.21893,0.9537,0.21947,0.21848,0.0005399999999999849,0.00045000000000000595,0.0004949999999999954,0.00035333799283348996
33,H,34,0.22668,0.95,0.22849,0.22521,0.001810000000000006,0.001469999999999999,0.0016400000000000026,0.0011542374432560512
34,H,35,0.22952,0.9486,0.23002,0.22894,0.0005000000000000004,0.0005799999999999972,0.0005399999999999988,0.00045541341298537886
35,H,36,0.23209,0.9471,0.23256,0.23152,0.0004699999999999982,0.0005699999999999872,0.0005199999999999927,0.0004475614575890713
36,H,37,0.23247,0.9468,0.23288,0.23197,0.0004099999999999937,0.0005000000000000004,0.0004549999999999971,0.000392597769814984
37,H,38,0.23331,0.947,0.23329,0.23227,-1.9999999999992246e-05,0.0010399999999999854,0.0005099999999999966,0.0008166033612151545
38,H,39,0.23088,0.9481,0.23031,0.23117,-0.0005700000000000149,-0.0002899999999999847,-0.0004299999999999998,-0.00022770670649267853
39,H,40,0.24717,0.9403,0.27664,0.20562,0.029469999999999996,0.041550000000000004,0.03551,0.03262487467162515
40,H,41,0.22527,0.9519,0.30121,0.20016,0.07593999999999998,0.025109999999999993,0.05052499999999999,0.019716260000108475
41,H,42,0.22085,0.9545,0.30669,0.19508,0.08584000000000003,0.025769999999999987,0.05580500000000001,0.020234489056264248
