,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,H,1,0.23458,0.9459,0.26187,0.21511,0.02728999999999998,0.019470000000000015,0.023379999999999998,0.01732343463621987
1,C,2,-0.21323,3.957,-0.06295,-0.3319,0.15028,0.11866999999999997,0.13447499999999998,0.10558664552029841
2,C,3,-0.05931,3.9058,-0.02655,-0.07475,0.03276,0.015439999999999995,0.024099999999999996,0.013737741694054163
3,N,4,-0.35559,3.4958,-0.18928,-0.38865,0.16631,0.03305999999999998,0.099685,0.029415138627294717
4,C,5,-0.22319,3.8546,-0.24134,-0.21707,-0.01815,-0.0061199999999999866,-0.012134999999999993,-0.0054452706714774165
5,C,6,-0.41854,3.9192,-0.41234,-0.41711,0.006200000000000039,-0.0014300000000000423,0.0023849999999999982,-0.0012723426568975414
6,C,7,-0.42001,3.9228,-0.4223,-0.4187,-0.0022900000000000142,-0.0013099999999999778,-0.001799999999999996,-0.0011655726437312598
7,C,8,-0.39925,3.9249,-0.39986,-0.40028,-0.0006099999999999994,0.0010300000000000309,0.00021000000000001573,0.0009164426130101176
8,C,9,-0.43357,3.9202,-0.43368,-0.43282,-0.00010999999999999899,-0.0007500000000000284,-0.0004300000000000137,-0.0006673125822889258
9,C,10,-0.01011,4.0157,-0.01057,-0.01245,-0.00046000000000000034,0.00234,0.0009399999999999999,0.00208201525674137
10,C,11,-0.23976,3.9587,-0.23845,-0.24175,0.0013100000000000056,0.0019899999999999918,0.0016499999999999987,0.0017706027183398755
11,C,12,-0.23009,3.9591,-0.22996,-0.23528,0.00012999999999999123,0.00519,0.0026599999999999957,0.004617803069439192
12,C,13,-0.24749,3.9584,-0.24687,-0.24978,0.0006199999999999817,0.0022900000000000142,0.001454999999999998,0.0020375277512554558
13,C,14,-0.22454,3.9593,-0.2272,-0.21982,-0.0026600000000000235,-0.004720000000000002,-0.0036900000000000127,-0.004199620517871483
14,C,15,-0.23889,3.96,-0.23717,-0.24461,0.0017199999999999993,0.005720000000000003,0.003720000000000001,0.0050893706275900175
15,C,16,0.13253,3.8888,0.1071,-0.11841,-0.025430000000000008,0.25094,0.112755,0.22327389253276894
16,C,17,-0.27368,3.9783,-0.03984,-0.25916,0.23384,-0.014519999999999977,0.10966000000000001,-0.012919171593113095
17,C,18,0.36987,3.8542,0.37401,0.16216,0.0041400000000000325,0.20770999999999998,0.105925,0.18480999528963668
18,O,19,-0.70313,1.8723,-0.56682,-0.86876,0.13631000000000004,0.16562999999999994,0.15097,0.14736931067268075
19,C,20,-0.46263,3.9114,-0.51809,-0.45453,-0.055460000000000065,-0.008099999999999996,-0.03178000000000003,-0.007206975888720123
20,H,21,0.23953,0.944,0.26632,0.21918,0.026790000000000008,0.02034999999999998,0.023569999999999994,0.01810641473277215
21,H,22,0.22159,0.9527,0.25613,0.20599,0.034540000000000015,0.015600000000000003,0.02507000000000001,0.013880101711609133
22,H,23,0.22838,0.9492,0.24625,0.21752,0.017869999999999997,0.010860000000000009,0.014365000000000003,0.009662686191543288
23,H,24,0.2186,0.9534,0.22794,0.2131,0.009340000000000015,0.005499999999999977,0.007419999999999996,0.004893625603451917
24,H,25,0.22341,0.9515,0.23933,0.21229,0.01591999999999999,0.011119999999999991,0.01351999999999999,0.009894021220070092
25,H,26,0.21284,0.9569,0.21178,0.21425,-0.0010600000000000054,-0.0014099999999999946,-0.001235,-0.0012545476547031283
26,H,27,0.21523,0.9552,0.22284,0.2102,0.007610000000000006,0.005030000000000007,0.006320000000000006,0.004475443051884232
27,H,28,0.21248,0.9564,0.21556,0.20948,0.0030799999999999994,0.0030000000000000027,0.003040000000000001,0.0026692503291556044
28,H,29,0.20882,0.9583,0.20889,0.20894,6.999999999998674e-05,-0.00011999999999998123,-2.4999999999997247e-05,-0.00010677001316620739
29,H,30,0.21932,0.9538,0.22085,0.21742,0.0015300000000000036,0.001899999999999985,0.0017149999999999943,0.0016905252084652015
30,H,31,0.22615,0.9502,0.22778,0.22442,0.0016300000000000203,0.0017299999999999816,0.001680000000000001,0.0015392676898130476
31,H,32,0.23089,0.948,0.2318,0.22926,0.0009099999999999941,0.0016300000000000203,0.0012700000000000072,0.0014502926788412286
32,H,33,0.2327,0.9469,0.2336,0.23113,0.0009000000000000119,0.001569999999999988,0.001235,0.001396907672258088
33,H,34,0.23296,0.9467,0.23399,0.23145,0.0010300000000000031,0.0015100000000000113,0.0012700000000000072,0.0013435226656749965
34,H,35,0.23321,0.9469,0.23445,0.23149,0.0012399999999999911,0.0017199999999999993,0.0014799999999999952,0.001530370188715878
35,H,36,0.22969,0.9486,0.23075,0.22841,0.0010600000000000054,0.0012800000000000034,0.0011700000000000044,0.0011388801404397266
36,H,37,0.24179,0.9445,0.27189,0.20738,0.030100000000000016,0.034409999999999996,0.032255000000000006,0.030616301275414756
37,H,38,0.13722,0.9848,0.16748,0.09145,0.03025999999999998,0.045770000000000005,0.03801499999999999,0.04072386252181731
38,H,39,0.22156,0.9536,0.31519,0.19903,0.09363000000000002,0.022529999999999994,0.05808000000000001,0.02004606997195857
39,H,40,0.22965,0.9488,0.29746,0.20618,0.06781000000000001,0.02346999999999999,0.04564,0.020882435075093988
