,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,O,1,-0.68438,1.9145,-0.65547,-0.69182,0.02890999999999999,0.007440000000000002,0.018174999999999997,0.005918589856176588
1,O,2,-0.75719,1.8014,-0.69583,-0.86464,0.06136000000000008,0.10744999999999993,0.08440500000000001,0.0854774838771739
2,N,3,-0.38078,3.4575,-0.21198,-0.37991,0.1688,-0.0008699999999999819,0.08396500000000001,-0.0006920931686657961
3,N,4,-0.79468,3.093,-0.76528,-0.85587,0.029400000000000093,0.06118999999999997,0.04529500000000003,0.04867721952949531
4,C,5,-0.47408,3.9096,-0.52475,-0.45947,-0.05067000000000005,-0.014610000000000012,-0.03264000000000003,-0.01162239217725
5,C,6,-0.2187,3.9874,-0.03038,-0.30142,0.18832000000000002,0.08272000000000002,0.13552,0.06580453668050099
6,C,7,0.10799,3.9619,0.08959,0.1165,-0.0184,-0.008510000000000004,-0.013455000000000002,-0.0067697849026966085
7,C,8,0.07993,3.8967,0.05978,-0.17869,-0.02015,0.25861999999999996,0.119235,0.20573463825327803
8,C,9,-0.04406,3.9007,-0.02544,-0.08796,0.01862,0.043899999999999995,0.031259999999999996,0.03492286218899894
9,C,10,-0.23458,3.9553,-0.07963,-0.35299,0.15495,0.11841000000000002,0.13668000000000002,0.09419626678358463
10,C,11,-0.22704,3.9509,-0.18342,-0.24204,0.04361999999999999,0.015000000000000013,0.029310000000000003,0.011932640839065709
11,C,12,-0.227,3.9515,-0.182,-0.24599,0.04500000000000001,0.01898999999999998,0.031994999999999996,0.015106723302257158
12,C,13,0.62045,3.9057,0.60725,0.5208,-0.01319999999999999,0.0996499999999999,0.04322499999999996,0.07927251064085972
13,C,14,-0.27573,3.9515,-0.26366,-0.28163,0.01206999999999997,0.005900000000000016,0.008984999999999993,0.004693505396699187
14,C,15,-0.28809,3.9497,-0.27604,-0.29198,0.012050000000000005,0.0038900000000000046,0.007970000000000005,0.0030945315242643747
15,C,16,0.27371,3.9301,0.32421,0.25315,0.05049999999999999,0.020560000000000023,0.035530000000000006,0.016355673043412736
16,H,17,0.22547,0.9516,0.29681,0.20386,0.07134000000000001,0.02160999999999999,0.046475,0.017190957902147308
17,H,18,0.22467,0.9521,0.29684,0.20303,0.07216999999999998,0.02164000000000002,0.046905,0.017214823183825462
18,H,19,0.2486,0.9401,0.2731,0.21297,0.024500000000000022,0.035629999999999995,0.03006500000000001,0.028343999539727383
19,H,20,0.2412,0.943,0.26516,0.22167,0.02396000000000001,0.019529999999999992,0.021745,0.015536298372463533
20,H,21,0.23519,0.9456,0.26011,0.21496,0.024919999999999998,0.020229999999999998,0.022574999999999998,0.01609315494495327
21,H,22,0.24608,0.9405,0.25896,0.24037,0.01288000000000003,0.005709999999999993,0.009295000000000012,0.00454235861273767
22,H,23,0.24636,0.9404,0.25923,0.2402,0.01287000000000002,0.006159999999999999,0.00951500000000001,0.004900337837909646
23,H,24,0.24538,0.941,0.25749,0.24038,0.01211000000000001,0.004999999999999977,0.008554999999999993,0.003977546946355214
24,H,25,0.24493,0.9412,0.25707,0.23955,0.012140000000000012,0.005379999999999996,0.008760000000000004,0.004279840514278227
25,H,26,0.42482,0.8206,0.42968,0.40869,0.004860000000000031,0.016129999999999978,0.010495000000000004,0.012831566448941963
26,H,27,0.42605,0.8202,0.43632,0.40506,0.010270000000000001,0.02099000000000001,0.015630000000000005,0.016697742080799275
27,H,28,0.51548,0.736,0.52226,0.51322,0.006779999999999897,0.0022600000000000398,0.0045199999999999685,0.0017978512197525968
