,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,C,1,-0.29467,3.7541,-0.29557,-0.29085,-0.0009000000000000119,-0.00381999999999999,-0.002360000000000001,-0.0031097780755884935
1,O,2,-0.48949,2.1817,-0.46454,-0.53173,0.024949999999999972,0.042240000000000055,0.033595000000000014,0.03438665599813049
2,C,3,0.7431,3.8558,0.73966,0.59971,-0.0034399999999999986,0.14339000000000002,0.06997500000000001,0.11673064875880505
3,O,4,-0.69706,1.8988,-0.63289,-0.82988,0.06417000000000006,0.13281999999999994,0.098495,0.10812584397896978
4,C,5,-0.23905,3.9818,-0.05465,-0.2869,0.1844,0.047849999999999976,0.11612499999999999,0.038953633747882126
5,C,6,0.09388,3.8937,0.06896,-0.16523,-0.02492000000000001,0.25911,0.11709499999999999,0.2109357584203499
6,N,7,-0.36532,3.4739,-0.20892,-0.37736,0.15639999999999998,0.012039999999999995,0.08421999999999999,0.009801499484315588
7,C,8,0.10568,3.9611,0.08695,0.11548,-0.018729999999999997,-0.009800000000000003,-0.014265,-0.00797796469653595
8,C,9,-0.22457,3.9514,-0.1837,-0.24492,0.04086999999999999,0.020350000000000007,0.03061,0.016566487915765975
9,C,10,-0.28852,3.9496,-0.27717,-0.29255,0.011349999999999971,0.004029999999999978,0.007689999999999975,0.003280734461942825
10,C,11,0.27611,3.9301,0.322,0.25238,0.045889999999999986,0.02373000000000003,0.03481000000000001,0.019318071658040635
11,O,12,-0.68335,1.9163,-0.65719,-0.69169,0.02615999999999996,0.008340000000000014,0.017249999999999988,0.006789410772358153
12,C,13,-0.27576,3.9513,-0.26475,-0.28094,0.01101000000000002,0.005180000000000018,0.008095000000000019,0.004216924196740443
13,C,14,-0.22426,3.9506,-0.18443,-0.24355,0.03982999999999998,0.01929,0.02955999999999999,0.015703565203691674
14,C,15,-0.06412,3.8964,-0.02735,-0.08524,0.03677,0.02112,0.028945,0.017193327999065224
15,C,16,0.00011,4.0087,0.14193,-0.09582,0.14182,0.09593,0.11887500000000001,0.07809450544272381
16,C,17,-0.65146,3.8593,-0.66974,-0.64281,-0.018279999999999963,-0.008650000000000047,-0.013465000000000005,-0.007041774961738399
17,C,18,-0.4545,3.9139,-0.50439,-0.44187,-0.04988999999999999,-0.01263000000000003,-0.03126000000000001,-0.01028180552216829
18,H,19,0.19983,0.9618,0.2071,0.18704,0.007269999999999999,0.012789999999999996,0.010029999999999997,0.010412058007009665
19,H,20,0.19989,0.9618,0.20709,0.18708,0.007199999999999984,0.012810000000000016,0.010005,0.010428339567614856
20,H,21,0.21107,0.9562,0.21646,0.2006,0.005390000000000006,0.010470000000000007,0.007930000000000006,0.008523396976809329
21,H,22,0.25072,0.9385,0.27452,0.21537,0.023799999999999988,0.03534999999999999,0.02957499999999999,0.028777658369647515
22,H,23,0.24686,0.9401,0.25891,0.24024,0.012049999999999977,0.006619999999999987,0.009334999999999982,0.005389196560313047
23,H,24,0.24533,0.941,0.25654,0.23952,0.011209999999999998,0.005809999999999982,0.00850999999999999,0.004729793355803439
24,H,25,0.51563,0.7358,0.5218,0.5131,0.006170000000000009,0.0025300000000000322,0.0043500000000000205,0.0020596174165547145
25,H,26,0.24581,0.9407,0.25703,0.24035,0.01121999999999998,0.005459999999999993,0.008339999999999986,0.004444866045212878
26,H,27,0.24693,0.9401,0.25881,0.24064,0.011879999999999974,0.006290000000000018,0.009084999999999996,0.005120550810327678
27,H,28,0.23786,0.945,0.2626,0.21954,0.024740000000000012,0.018319999999999975,0.021529999999999994,0.014913909514340646
28,H,29,0.22761,0.9501,0.25479,0.21135,0.02718000000000001,0.016259999999999997,0.021720000000000003,0.013236908772007597
29,H,30,0.22777,0.95,0.25534,0.2121,0.02757000000000001,0.01566999999999999,0.02162,0.012756602734154918
30,H,31,0.22972,0.9482,0.243,0.22075,0.013279999999999986,0.008970000000000006,0.011124999999999996,0.007302279931421172
31,H,32,0.22432,0.9527,0.29606,0.20334,0.07174,0.02098,0.04636,0.017079357074828994
32,H,33,0.2239,0.9529,0.29574,0.20275,0.07184000000000001,0.021149999999999974,0.046494999999999995,0.017217750339972963
