,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,C,1,-0.73586,3.8481,-0.7392,-0.71577,-0.0033400000000000096,-0.02008999999999994,-0.011714999999999975,-0.0166886573421152
1,C,2,0.53899,3.8983,0.54396,0.34315,0.00497000000000003,0.19583999999999996,0.100405,0.1626832580328447
2,O,3,-0.70753,1.8667,-0.59691,-0.87128,0.11061999999999994,0.16375000000000006,0.137185,0.13602626380146207
3,C,4,-0.2499,3.9812,-0.04461,-0.24862,0.20529000000000003,-0.0012800000000000034,0.10200500000000001,-0.0010632892681885304
4,C,5,0.11501,3.8965,0.08797,-0.14139,-0.027039999999999995,0.25639999999999996,0.11468,0.21299013153401442
5,N,6,-0.36207,3.4695,-0.19958,-0.39398,0.16249,0.031909999999999994,0.0972,0.02650746917804368
6,C,7,-0.21205,3.8575,-0.22913,-0.20377,-0.017080000000000012,-0.008279999999999982,-0.012679999999999997,-0.006878152453594523
7,C,8,-0.45366,3.9123,-0.44414,-0.45874,0.009520000000000028,0.005079999999999973,0.007300000000000001,0.004219929283123197
8,C,9,-0.00369,4.0154,-0.01808,0.00515,-0.014389999999999998,-0.00884,-0.011615,-0.00734334150842702
9,C,10,-0.23681,3.9577,-0.23129,-0.23947,0.005519999999999997,0.0026599999999999957,0.004089999999999996,0.0022096480104542805
10,C,11,-0.19612,3.9578,-0.19314,-0.20058,0.0029799999999999827,0.0044600000000000195,0.003720000000000001,0.0037048985438444173
11,C,12,-0.18271,4.0104,-0.17492,-0.18725,0.007790000000000019,0.0045399999999999885,0.006165000000000004,0.0037713541231061743
12,C,13,0.72947,3.8903,0.7287,0.72973,-0.0007699999999999374,-0.000260000000000038,-0.0005149999999999877,-0.00021598063260082622
13,O,14,-0.81811,1.7434,-0.81574,-0.81983,0.0023699999999999832,0.0017199999999999438,0.0020449999999999635,0.0014287949541282874
14,O,15,-0.81751,1.744,-0.81466,-0.81959,0.002849999999999908,0.002080000000000082,0.002464999999999995,0.0017278450608064254
15,C,16,-0.19575,3.9585,-0.19357,-0.19829,0.0021800000000000153,0.0025399999999999867,0.002360000000000001,0.0021099646415615983
16,C,17,-0.23547,3.9584,-0.2354,-0.23485,7.00000000000145e-05,-0.0006200000000000094,-0.00027499999999999747,-0.000515030739278826
17,C,18,-0.05803,3.9041,-0.01265,-0.06455,0.04538,0.006519999999999998,0.025949999999999997,0.005416129709835311
18,C,19,-0.00476,4.0098,0.15565,-0.10721,0.16041,0.10245,0.13143,0.08510467619212082
19,C,20,-0.6527,3.8609,-0.67409,-0.64325,-0.02139000000000002,-0.009449999999999958,-0.01541999999999999,-0.00785006530029808
20,C,21,-0.46255,3.9129,-0.52257,-0.45032,-0.06001999999999996,-0.012230000000000019,-0.03612499999999999,-0.010159396679645088
21,H,22,0.23649,0.9454,0.24892,0.21617,0.012429999999999997,0.020320000000000005,0.016375,0.01687971713249288
22,H,23,0.25022,0.9382,0.26225,0.2164,0.012029999999999985,0.03381999999999999,0.022924999999999987,0.028094096132918744
23,H,24,0.24906,0.9389,0.26109,0.21552,0.012029999999999985,0.033540000000000014,0.022785,0.027861501605502527
24,H,25,0.24032,0.9448,0.26853,0.20603,0.028209999999999985,0.034290000000000015,0.03125,0.02848452266108174
25,H,26,0.22587,0.9505,0.24688,0.21302,0.02101,0.01285,0.01693,0.01067442741892389
26,H,27,0.23008,0.9485,0.25579,0.21088,0.02571000000000001,0.019199999999999995,0.022455000000000003,0.01594933902282791
27,H,28,0.24046,0.9435,0.25853,0.23167,0.018069999999999975,0.00879000000000002,0.013429999999999997,0.007301806771388421
28,H,29,0.22911,0.9489,0.23909,0.22427,0.009979999999999989,0.004840000000000011,0.00741,0.004020562545337879
29,H,30,0.23205,0.9475,0.23532,0.22994,0.003269999999999995,0.0021100000000000008,0.002689999999999998,0.0017527659030295267
30,H,31,0.2382,0.9447,0.24061,0.23643,0.0024099999999999955,0.0017699999999999938,0.0020899999999999946,0.0014703296911669432
31,H,32,0.23846,0.9448,0.24083,0.23692,0.0023699999999999832,0.0015400000000000136,0.0019549999999999984,0.0012792699007893335
32,H,33,0.2329,0.9472,0.23613,0.2315,0.0032300000000000106,0.0013999999999999846,0.0023149999999999976,0.0011629726370811894
33,H,34,0.23387,0.9471,0.26373,0.21428,0.029860000000000025,0.019589999999999996,0.02472500000000001,0.016273309971729103
34,H,35,0.2249,0.9513,0.25658,0.20814,0.031679999999999986,0.016759999999999997,0.02421999999999999,0.013922443855343532
35,H,36,0.22902,0.9486,0.24415,0.22002,0.015130000000000005,0.009000000000000008,0.012065000000000006,0.007476252666950592
36,H,37,0.22754,0.9506,0.25838,0.21061,0.030840000000000006,0.01693,0.023885000000000003,0.014063661961274824
37,H,38,0.22232,0.9534,0.30116,0.20026,0.07884,0.022059999999999996,0.050449999999999995,0.018325125981436652
38,H,39,0.22095,0.9546,0.30543,0.19864,0.08447999999999997,0.022309999999999997,0.053394999999999984,0.018532799666629726
