,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,H,1,0.233,0.9466,0.26118,0.21445,0.02818000000000001,0.01855000000000001,0.02336500000000001,0.015245443752104017
1,C,2,-0.23603,3.9563,-0.06568,-0.34573,0.17035,0.10969999999999999,0.14002499999999998,0.0901576916229547
2,C,3,-0.05183,3.9091,-0.01856,-0.08143,0.03327,0.0296,0.031435000000000005,0.024326961458882947
3,N,4,-0.38224,3.4447,-0.19787,-0.39239,0.18437000000000003,0.010149999999999992,0.09726000000000001,0.008341846581339922
4,C,5,-0.21203,3.8583,-0.23181,-0.20619,-0.019779999999999992,-0.005839999999999984,-0.012809999999999988,-0.004799643747293109
5,C,6,-0.45602,3.9119,-0.44363,-0.45475,0.012389999999999957,-0.0012699999999999934,0.005559999999999982,-0.0010437581436750398
6,C,7,-0.00748,4.016,-0.02117,-0.02168,-0.01369,0.0142,0.000255,0.011670366645815469
7,C,8,-0.23701,3.9576,-0.23177,-0.25955,0.005239999999999995,0.022540000000000004,0.01389,0.01852465240821695
8,C,9,-0.19566,3.9576,-0.19174,-0.20142,0.003920000000000007,0.005759999999999987,0.004839999999999997,0.004733895202809644
9,C,10,-0.18088,4.0111,-0.1728,-0.21721,0.008080000000000004,0.03632999999999997,0.02220499999999999,0.029858057763554623
10,C,11,0.73164,3.8897,0.73069,0.72606,-0.0009500000000000064,0.005579999999999918,0.002314999999999956,0.0045859609777217855
11,O,12,-0.81828,1.7442,-0.81517,-0.83392,0.003110000000000057,0.015639999999999987,0.009375000000000022,0.01285384044651787
12,O,13,-0.81792,1.7447,-0.81537,-0.83249,0.002549999999999941,0.014569999999999972,0.008559999999999957,0.011974453664051482
13,C,14,-0.19452,3.9577,-0.19317,-0.21908,0.00134999999999999,0.02456,0.012954999999999994,0.020184803156424496
14,C,15,-0.23422,3.9584,-0.23208,-0.23486,0.002140000000000003,0.0006400000000000017,0.0013900000000000023,0.0005259883558677408
15,C,16,0.10785,3.897,0.08276,-0.10309,-0.02509,0.21094000000000002,0.09292500000000001,0.17336247466678273
16,C,17,-0.25455,3.9807,-0.03251,-0.29936,0.22204000000000002,0.044810000000000016,0.13342500000000002,0.0368274034788022
17,C,18,0.74468,3.8555,0.73639,0.62764,-0.00829000000000002,0.11704000000000003,0.05437500000000001,0.09619012057931287
18,O,19,-0.70345,1.8915,-0.627,-0.81452,0.07645000000000002,0.11107,0.09376000000000001,0.09128363544723408
19,O,20,-0.49289,2.1788,-0.46254,-0.52705,0.030349999999999988,0.034160000000000024,0.032255000000000006,0.028074628494440607
20,C,21,-0.29569,3.7554,-0.29675,-0.29259,-0.0010600000000000054,-0.0030999999999999917,-0.0020799999999999985,-0.0025477560987343557
21,C,22,-0.45767,3.9143,-0.51473,-0.44713,-0.05706,-0.010539999999999994,-0.0338,-0.008662370735696827
22,H,23,0.23633,0.9454,0.26465,0.21772,0.028319999999999984,0.018610000000000015,0.023465,0.015294755160466621
23,H,24,0.22654,0.9501,0.24899,0.21148,0.022449999999999998,0.01505999999999999,0.018754999999999994,0.012377163499012734
24,H,25,0.22913,0.9489,0.25705,0.21556,0.02792,0.013569999999999999,0.020745,0.01115259685800816
25,H,26,0.2414,0.9431,0.26023,0.23174,0.018830000000000013,0.009660000000000002,0.014245000000000008,0.007939136746378693
26,H,27,0.23004,0.9484,0.24073,0.2226,0.010690000000000005,0.007440000000000002,0.009065000000000004,0.006114614636962472
27,H,28,0.23251,0.9472,0.23579,0.22505,0.003280000000000005,0.007459999999999994,0.00537,0.006131051773083333
28,H,29,0.23852,0.9446,0.24103,0.23213,0.0025099999999999845,0.006390000000000007,0.004449999999999996,0.005251664990616966
29,H,30,0.23869,0.9446,0.24127,0.23247,0.002579999999999999,0.006220000000000003,0.004400000000000001,0.0051119493335895945
30,H,31,0.23289,0.9474,0.23663,0.22589,0.0037399999999999933,0.007000000000000006,0.00537,0.005752997642303404
31,H,32,0.24863,0.9399,0.27789,0.21535,0.029260000000000036,0.033279999999999976,0.031270000000000006,0.027351394505122428
32,H,33,0.20148,0.9619,0.21001,0.19095,0.00853000000000001,0.010529999999999984,0.009529999999999997,0.008654152167636386
33,H,34,0.19819,0.9624,0.20716,0.18718,0.008970000000000006,0.011009999999999992,0.009989999999999999,0.009048643434537196
34,H,35,0.21082,0.9566,0.21736,0.20197,0.00653999999999999,0.008849999999999997,0.0076949999999999935,0.007273432733483581
35,H,36,0.21975,0.9541,0.31014,0.19938,0.09039000000000003,0.02037,0.05538000000000001,0.016741223139102892
36,H,37,0.22627,0.951,0.30438,0.20683,0.07810999999999998,0.019439999999999985,0.048774999999999985,0.015976896309482572
