   GoodVibes v3.2 2024/04/17 11:10:30
   Citation: Luchini, G.; Alegre-Requena, J. V.; Funes-Ardoiz, I.; Paton, R. S. F1000Research, 2020, 9, 291.
   GoodVibes version 3.2 DOI: 10.12688/f1000research.22758.1

o  Requested: --spc spc_nbo -c 1 --csv 

   Temperature = 298.15 Kelvin   Concentration = 1.0 mol/L
   All energetic values below shown in Hartree unless otherwise specified.

   Using vibrational scale factor 1.0 for PBE1PBE/6-31+G(d) level of theory

   Caution! Implicit solvation (SMD/CPCM) detected. Enthalpic and entropic terms cannot be safely separated. Use them at your own risk!

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964

   Combining final single point energy with thermal corrections.

   Structure,E_SPC,E,ZPE,H_SPC,T.S,T.qh-S,G(T)_SPC,qh-G(T)_SPC,
   **********************************************************************************************************************************************
o  A1a_inactive_censo_ensemble_clustered_conf_02_opt,-457.613065,-457.457135,0.181346,-457.420973,0.042687,0.042204,-457.463660,-457.463177,
o  A1a_inactive_censo_ensemble_clustered_conf_03_opt,-457.612699,-457.456681,0.181199,-457.420691,0.043161,0.042380,-457.463852,-457.463071,
o  A1a_inactive_censo_ensemble_clustered_conf_04_opt,-457.613472,-457.457635,0.181198,-457.421477,0.043076,0.042334,-457.464553,-457.463811,
o  A1a_pyridinium_censo_ensemble_clustered_conf_01_opt,-456.431742,-456.276734,0.159247,-456.262420,0.041672,0.040966,-456.304092,-456.303386,
o  A1a_pyridinium_censo_ensemble_clustered_conf_02_opt,-456.431223,-456.276173,0.159114,-456.261975,0.041945,0.041101,-456.303920,-456.303077,
o  A1a_pyridinium_censo_ensemble_clustered_conf_03_opt,-456.431264,-456.276209,0.159103,-456.262032,0.041891,0.041082,-456.303922,-456.303113,
o  A1a_reduced_censo_ensemble_clustered_conf_01_opt,-457.163310,-457.008302,0.167377,-456.984862,0.044071,0.043041,-457.028933,-457.027904,
o  A1a_reduced_censo_ensemble_clustered_conf_03_opt,-457.160861,-457.005646,0.167481,-456.982345,0.044253,0.042929,-457.026597,-457.025274,
o  A1a_reduced_censo_ensemble_clustered_conf_04_opt,-457.160902,-457.005708,0.167592,-456.982349,0.043746,0.042725,-457.026095,-457.025074,
o  A1b_inactive_censo_ensemble_clustered_conf_01_opt,-496.895215,-496.727056,0.209071,-496.673832,0.046330,0.045533,-496.720162,-496.719365,
o  A1b_inactive_censo_ensemble_clustered_conf_02_opt,-496.895342,-496.727307,0.209908,-496.673318,0.045785,0.045041,-496.719103,-496.718359,
o  A1b_inactive_censo_ensemble_clustered_conf_03_opt,-496.894807,-496.726553,0.209137,-496.673338,0.046331,0.045597,-496.719669,-496.718935,
o  A1b_inactive_censo_ensemble_clustered_conf_04_opt,-496.894783,-496.726638,0.209596,-496.672946,0.046173,0.045333,-496.719118,-496.718279,
o  A1b_inactive_censo_ensemble_clustered_conf_05_opt,-496.894795,-496.726576,0.209792,-496.672828,0.046004,0.045157,-496.718832,-496.717986,
o  A1b_inactive_censo_ensemble_clustered_conf_06_opt,-496.894453,-496.726122,0.209087,-496.672964,0.046723,0.045775,-496.719687,-496.718739,
o  A1b_pyridinium_censo_ensemble_clustered_conf_01_opt,-495.718575,-495.551086,0.186270,-495.520349,0.045854,0.044984,-495.566203,-495.565333,
o  A1b_pyridinium_censo_ensemble_clustered_conf_03_opt,-495.718183,-495.550628,0.186456,-495.519758,0.045965,0.045014,-495.565723,-495.564772,
o  A1b_reduced_censo_ensemble_clustered_conf_01_opt,-496.450104,-496.282817,0.195159,-496.242250,0.047697,0.046467,-496.289946,-496.288716,
o  A1b_reduced_censo_ensemble_clustered_conf_03_opt,-496.447752,-496.280243,0.195639,-496.239653,0.047209,0.045853,-496.286861,-496.285505,
o  A2a_inactive_censo_ensemble_clustered_conf_01_opt,-381.171391,-381.048661,0.152610,-381.009449,0.039413,0.039267,-381.048862,-381.048715,
