   GoodVibes v3.2 2024/07/22 09:33:31
   Citation: Luchini, G.; Alegre-Requena, J. V.; Funes-Ardoiz, I.; Paton, R. S. F1000Research, 2020, 9, 291.
   GoodVibes version 3.2 DOI: 10.12688/f1000research.22758.1

o  Requested: -c 1 --csv --pes rxn.yaml 

   Temperature = 298.15 Kelvin   Concentration = 1.0 mol/L
   All energetic values below shown in Hartree unless otherwise specified.

   Using vibrational scale factor 1.0 for PBE1PBE/6-31+G(d) level of theory

   Caution! Implicit solvation (SMD/CPCM) detected. Enthalpic and entropic terms cannot be safely separated. Use them at your own risk!

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
   ********************************************************************************************************************************
o  bnah_reduced_conf_01_opt,-687.812462,0.249928,-687.547429,0.055887,0.052641,-687.603316,-687.600070,
o  bnah_reduced_conf_02_opt,-687.812462,0.249929,-687.547429,0.055896,0.052646,-687.603325,-687.600074,
o  bnah_reduced_conf_03_opt,-687.812462,0.249928,-687.547429,0.055888,0.052642,-687.603318,-687.600071,
o  bnah_reduced_conf_04_opt,-687.812462,0.249928,-687.547429,0.055893,0.052644,-687.603321,-687.600073,
o  bnah_reduced_conf_05_opt,-687.810005,0.249918,-687.544984,0.055407,0.052364,-687.600391,-687.597348,
o  bnah_reduced_conf_06_opt,-687.810005,0.249918,-687.544984,0.055405,0.052363,-687.600389,-687.597347,
o  bnah_reduced_conf_07_opt,-687.810005,0.249918,-687.544984,0.055405,0.052363,-687.600389,-687.597347,
o  bnah_reduced_conf_08_opt,-687.810001,0.250217,-687.544772,0.055128,0.052216,-687.599901,-687.596988,
o  bnah_reduced_conf_09_opt,-687.810001,0.250217,-687.544772,0.055125,0.052214,-687.599897,-687.596987,
o  bnah_reduced_conf_10_opt,-687.810001,0.250217,-687.544772,0.055128,0.052216,-687.599900,-687.596988,
o  bnah_ts1_conf_01_opt,-1331.093047,0.284409,-1330.787746,0.069180,0.064515,-1330.856926,-1330.852261,
o  bnah_ts1_conf_01a_opt,-1331.093047,0.284411,-1330.787744,0.069171,0.064511,-1330.856915,-1330.852255,
o  bnah_ts1_conf_03_opt,-1331.092853,0.284231,-1330.787632,0.069501,0.064763,-1330.857133,-1330.852395,
o  bnah_ts1_conf_03a_opt,-1331.092852,0.284235,-1330.787630,0.069495,0.064757,-1330.857125,-1330.852387,
o  bnah_ts1_conf_04a_opt,-1331.092904,0.284746,-1330.787482,0.067123,0.063439,-1330.854604,-1330.850921,
o  bnah_ts1_conf_05_opt,-1331.091655,0.284146,-1330.786518,0.068591,0.064532,-1330.855110,-1330.851050,
o  bnah_ts1_conf_05a_opt,-1331.091909,0.284471,-1330.786635,0.067965,0.064056,-1330.854600,-1330.850690,
o  bnah_ts1_conf_06a_opt,-1331.091655,0.284149,-1330.786517,0.068588,0.064528,-1330.855106,-1330.851046,
o  bnah_ts1_conf_08_opt,-1331.092904,0.284757,-1330.787477,0.067089,0.063421,-1330.854566,-1330.850898,
o  bnah_ts1_conf_08a_opt,-1331.090248,0.283926,-1330.784752,0.071528,0.065925,-1330.856280,-1330.850677,
o  bnah_ts2_conf_01a_opt,-1331.103916,0.290012,-1330.793026,0.069269,0.064361,-1330.862295,-1330.857387,
o  bnah_ts2_conf_02_opt,-1331.103023,0.289611,-1330.792321,0.069818,0.064897,-1330.862139,-1330.857218,
o  bnah_ts2_conf_02a_opt,-1331.103023,0.289610,-1330.792321,0.069813,0.064896,-1330.862135,-1330.857217,
o  bnah_ts2_conf_03a_opt,-1331.102871,0.289483,-1330.792203,0.071092,0.065555,-1330.863295,-1330.857758,
o  bnah_ts2_conf_04_opt,-1331.102039,0.289411,-1330.791530,0.069153,0.064697,-1330.860683,-1330.856227,
