,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,C,1,-0.73581,3.8471,-0.73979,-0.71659,-0.0039799999999999836,-0.019220000000000015,-0.0116,-0.015859823093264953
1,C,2,0.52553,3.9033,0.53556,0.33093,0.010029999999999983,0.19460000000000005,0.10231500000000002,0.16057864588706341
2,O,3,-0.70866,1.8628,-0.59426,-0.8693,0.11439999999999995,0.16064,0.13751999999999998,0.13255577428210616
3,C,4,-0.24452,3.9815,-0.03038,-0.23966,0.21414,-0.0048599999999999755,0.10464000000000001,-0.004010340282688201
4,C,5,0.10811,3.8957,0.08159,-0.1467,-0.026520000000000002,0.25481,0.114145,0.21026230605592297
5,N,6,-0.34575,3.4907,-0.18051,-0.38082,0.16524,0.03506999999999999,0.100155,0.02893881352137364
6,C,7,-0.42395,3.7959,-0.44231,-0.42037,-0.018359999999999987,-0.003579999999999972,-0.01096999999999998,-0.0029541189736674326
7,C,8,-0.07093,3.9035,-0.02166,-0.08638,0.04927000000000001,0.015449999999999992,0.03236,0.01274892126903971
8,C,9,0.00787,4.009,0.15839,-0.10353,0.15052000000000001,0.1114,0.13096,0.09192426080071356
9,C,10,-0.65322,3.8597,-0.6729,-0.64293,-0.01968000000000003,-0.010290000000000021,-0.014985000000000026,-0.008491029117049772
10,C,11,-0.45845,3.9191,-0.51525,-0.44621,-0.05679999999999996,-0.012240000000000029,-0.034519999999999995,-0.010100116267511101
11,H,12,0.23782,0.9448,0.25083,0.21872,0.013009999999999994,0.019100000000000006,0.016055,0.01576080234554425
12,H,13,0.24647,0.9399,0.25983,0.21194,0.01336000000000001,0.034530000000000005,0.023945000000000008,0.028493220156630517
13,H,14,0.24646,0.9399,0.25983,0.21194,0.013369999999999993,0.03452000000000002,0.023945000000000008,0.028484968427653808
14,H,15,0.24083,0.9434,0.26799,0.20751,0.027160000000000017,0.03331999999999999,0.030240000000000003,0.02749476095044681
15,H,16,0.21827,0.9539,0.25515,0.20234,0.036879999999999996,0.01593,0.026404999999999998,0.013145004259922504
16,H,17,0.21827,0.9539,0.25515,0.20233,0.036879999999999996,0.015939999999999982,0.02640999999999999,0.013153255988899213
17,H,18,0.23252,0.9466,0.24981,0.22243,0.01729,0.010090000000000016,0.013690000000000008,0.008325994537515272
18,H,19,0.233,0.9472,0.2605,0.21253,0.027499999999999997,0.020470000000000016,0.023985000000000006,0.016891289215355546
19,H,20,0.22767,0.9501,0.2572,0.20901,0.029529999999999973,0.01866000000000001,0.02409499999999999,0.015397726270568365
20,H,21,0.22919,0.9484,0.24379,0.21963,0.014600000000000002,0.009560000000000013,0.012080000000000007,0.007888652901748859
21,H,22,0.22766,0.9501,0.25718,0.20901,0.02952000000000002,0.01865,0.02408500000000001,0.015389474541591633
22,H,23,0.22082,0.9546,0.30212,0.19709,0.08130000000000001,0.02373,0.052515000000000006,0.0195813528617678
23,H,24,0.22082,0.9546,0.30212,0.19709,0.08130000000000001,0.02373,0.052515000000000006,0.0195813528617678
