,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,O,1,-0.70458,1.8674,-0.56758,-0.86278,0.137,0.1582,0.1476,0.1377631072516792
1,N,2,-0.35059,3.4925,-0.18108,-0.37817,0.16951000000000002,0.027579999999999993,0.09854500000000001,0.02401710807839008
2,C,3,-0.47068,3.9139,-0.5225,-0.4606,-0.05181999999999998,-0.010079999999999978,-0.030949999999999978,-0.00877782630276184
3,C,4,-0.24174,3.9884,-0.03356,-0.2375,0.20818,-0.0042400000000000215,0.10196999999999999,-0.0036922602702093724
4,C,5,0.12497,3.8927,0.10208,-0.1244,-0.022889999999999994,0.24936999999999998,0.11324000000000001,0.21715541122219492
5,C,6,-0.21264,3.9569,-0.05285,-0.35201,0.15979,0.13937,0.14958,0.1213656400611032
6,C,7,-0.05672,3.9041,-0.0158,-0.08504,0.04092,0.028320000000000005,0.03462,0.0246615119934738
7,C,8,-0.4252,3.792,-0.44344,-0.42115,-0.01823999999999998,-0.004049999999999998,-0.011144999999999988,-0.0035268052109311025
8,C,9,0.3471,3.8643,0.36222,0.14952,0.015119999999999967,0.19758000000000003,0.10635,0.17205584532735005
9,H,10,0.22853,0.9503,0.30926,0.2037,0.08072999999999997,0.02483000000000002,0.052779999999999994,0.02162236379936281
10,H,11,0.2285,0.9503,0.30931,0.20366,0.08080999999999997,0.02484,0.05282499999999998,0.02163107196037744
11,H,12,0.2422,0.9433,0.27011,0.20281,0.027910000000000018,0.03939000000000001,0.03365000000000001,0.03430144623668549
12,H,13,0.23542,0.9455,0.2622,0.21383,0.026779999999999998,0.021589999999999998,0.024184999999999998,0.01880091963061791
13,H,14,0.23936,0.9438,0.26572,0.21721,0.026360000000000022,0.022150000000000003,0.024255000000000013,0.019288576647438018
14,H,15,0.22102,0.9526,0.25811,0.20497,0.03709000000000001,0.01604999999999998,0.026569999999999996,0.01397659842850473
15,H,16,0.23424,0.9459,0.25163,0.2235,0.017390000000000017,0.01074,0.014065000000000008,0.00935256492972841
16,H,17,0.22093,0.9527,0.25815,0.20481,0.03722,0.016119999999999995,0.02667,0.014037555555607255
17,H,18,0.13989,0.9843,0.16802,0.09765,0.028130000000000016,0.042239999999999986,0.035185,0.03678327212585921
