,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,H,1,0.23304,0.9466,0.26055,0.21304,0.027510000000000007,0.01999999999999999,0.023755,0.016994156778346214
1,C,2,-0.2284,3.9571,-0.06523,-0.35212,0.16316999999999998,0.12372,0.143445,0.10512585383084973
2,C,3,-0.05287,3.9076,-0.02036,-0.07483,0.03251,0.021959999999999993,0.027234999999999995,0.01865958414262415
3,N,4,-0.35725,3.4796,-0.18096,-0.38334,0.17629,0.026090000000000002,0.10119,0.02216887751735265
4,C,5,-0.21602,3.8594,-0.23376,-0.20988,-0.017740000000000006,-0.006139999999999979,-0.011939999999999992,-0.005217206130952273
5,C,6,-0.41695,3.9237,-0.40902,-0.41739,0.007929999999999993,0.00043999999999999595,0.004184999999999994,0.0003738714491236135
6,C,7,-0.40442,3.9253,-0.40271,-0.40501,0.0017099999999999893,0.0005899999999999794,0.0011499999999999844,0.0005013276249611961
7,C,8,-0.62357,3.8702,-0.62302,-0.62375,0.0005499999999999394,0.000180000000000069,0.0003650000000000042,0.00015294741100517462
8,C,9,0.11846,3.8943,0.096,-0.144,-0.022459999999999994,0.26245999999999997,0.12,0.22301431940223745
9,C,10,-0.25324,3.9807,-0.02884,-0.25547,0.22440000000000002,0.0022299999999999542,0.11331499999999999,0.001894848480785565
10,C,11,0.53861,3.8987,0.54117,0.35028,0.0025600000000000067,0.18833000000000005,0.09544500000000003,0.16002547730329725
11,C,12,-0.73603,3.8481,-0.73935,-0.71632,-0.0033199999999999896,-0.019710000000000005,-0.011514999999999997,-0.01674774150506021
12,O,13,-0.70644,1.8684,-0.58744,-0.86656,0.119,0.16012000000000004,0.13956000000000002,0.1360552191674399
13,C,14,-0.46405,3.9118,-0.52275,-0.45297,-0.05870000000000003,-0.011080000000000034,-0.03489000000000003,-0.009414762855203837
14,H,15,0.23737,0.9448,0.2645,0.21732,0.027130000000000015,0.020049999999999985,0.02359,0.017036642170292077
15,H,16,0.21892,0.9541,0.24531,0.2059,0.026389999999999997,0.013020000000000004,0.019705,0.011063196062703395
16,H,17,0.22323,0.952,0.24574,0.20896,0.022509999999999974,0.014270000000000005,0.01838999999999999,0.012125330861350035
17,H,18,0.21058,0.9574,0.22053,0.20569,0.009950000000000014,0.004889999999999978,0.007419999999999996,0.004155071332305632
18,H,19,0.21111,0.9572,0.22102,0.20577,0.009910000000000002,0.005339999999999984,0.007624999999999993,0.004537439859818428
19,H,20,0.20498,0.9599,0.20952,0.20207,0.004540000000000016,0.002909999999999996,0.003725000000000006,0.002472649811249372
20,H,21,0.205,0.9599,0.20961,0.20269,0.004610000000000003,0.0023099999999999787,0.003459999999999991,0.0019628251078989706
21,H,22,0.21663,0.9538,0.22072,0.21468,0.00409000000000001,0.0019499999999999795,0.003019999999999995,0.0016569302858887394
22,H,23,0.20947,0.9574,0.21137,0.20868,0.0019000000000000128,0.0007899999999999852,0.001344999999999999,0.0006712691927446632
23,H,24,0.20936,0.9575,0.21128,0.20838,0.001920000000000005,0.0009799999999999809,0.001449999999999993,0.0008327136821389487
24,H,25,0.24092,0.9444,0.2692,0.20638,0.02828,0.03453999999999999,0.031409999999999993,0.029348908756203915
25,H,26,0.24887,0.939,0.26166,0.21687,0.012789999999999996,0.032,0.022394999999999998,0.027190650845353957
26,H,27,0.25014,0.9384,0.26278,0.21662,0.01264000000000004,0.033519999999999966,0.023080000000000003,0.028482206760508243
27,H,28,0.23676,0.9453,0.24986,0.21671,0.0131,0.020049999999999985,0.016574999999999993,0.017036642170292077
28,H,29,0.22483,0.9514,0.30402,0.20345,0.07919000000000001,0.02138000000000001,0.05028500000000001,0.01816675359605212
29,H,30,0.22095,0.9537,0.30862,0.19816,0.08767,0.022790000000000005,0.05523,0.019364841648925525
