,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,C,1,-0.62403,3.8706,-0.62323,-0.62448,0.0008000000000000229,0.00045000000000006146,0.0006250000000000422,0.00038235468133966145
1,C,2,-0.4118,3.9249,-0.41406,-0.41112,-0.0022599999999999842,-0.0006800000000000139,-0.001469999999999999,-0.0005777804073576436
2,C,3,-0.41628,3.923,-0.41084,-0.41873,0.00544,0.0024500000000000077,0.003945000000000004,0.0020817088206267678
3,C,4,-0.21855,3.8556,-0.23437,-0.2108,-0.01582,-0.007750000000000007,-0.011785000000000004,-0.00658499728973772
4,N,5,-0.34925,3.497,-0.18962,-0.38076,0.15963,0.03150999999999998,0.09556999999999999,0.026773324464469065
5,C,6,-0.06584,3.9018,-0.01254,-0.07779,0.05329999999999999,0.011950000000000002,0.032625,0.010153640982240735
6,C,7,0.00243,4.0086,0.16259,-0.11405,0.16016000000000002,0.11648,0.13832,0.09897038507208374
7,C,8,-0.6521,3.8594,-0.67348,-0.64137,-0.021379999999999955,-0.010730000000000017,-0.016054999999999986,-0.009117034957275585
8,C,9,-0.46609,3.9161,-0.51885,-0.45513,-0.05276000000000003,-0.010960000000000025,-0.03186000000000003,-0.009312460683293614
9,C,10,-0.24027,3.988,-0.05057,-0.23071,0.1897,-0.009560000000000013,0.09007,-0.008122912785792597
10,C,11,0.34676,3.8645,0.36513,0.13769,0.018369999999999997,0.20907,0.11372,0.17764198495038244
11,O,12,-0.70679,1.8644,-0.57983,-0.86886,0.12696000000000007,0.16206999999999994,0.144515,0.13770716267713431
12,C,13,0.11913,3.8969,0.09314,-0.12811,-0.02599,0.24724000000000002,0.110625,0.21007415869867774
13,H,14,0.20888,0.9577,0.21122,0.20719,0.002339999999999981,0.001689999999999997,0.002014999999999989,0.001435954247697641
14,H,15,0.21663,0.9538,0.2196,0.21477,0.0029700000000000004,0.0018600000000000005,0.0024150000000000005,0.0015803993495370518
15,H,16,0.20957,0.9574,0.21132,0.20861,0.0017500000000000016,0.0009600000000000164,0.001355000000000009,0.0008156899868578469
16,H,17,0.20788,0.9586,0.20859,0.20788,0.0007099999999999884,0.0,0.0003549999999999942,0.0
17,H,18,0.20522,0.9597,0.20996,0.20184,0.004739999999999994,0.003380000000000022,0.004060000000000008,0.0028719084953953058
18,H,19,0.21976,0.9534,0.23729,0.21003,0.01752999999999999,0.009730000000000016,0.013630000000000003,0.008267357887632009
19,H,20,0.21122,0.9572,0.22068,0.206,0.009459999999999996,0.005220000000000002,0.007339999999999999,0.004435314303539469
20,H,21,0.22334,0.9519,0.2449,0.20951,0.021559999999999996,0.013830000000000009,0.017695000000000002,0.011751033873170664
21,H,22,0.22696,0.9499,0.25229,0.20699,0.02533000000000002,0.019969999999999988,0.022650000000000003,0.0169680510807822
22,H,23,0.23534,0.9463,0.26389,0.21427,0.02855000000000002,0.021070000000000005,0.024810000000000013,0.01790269585739015
23,H,24,0.22772,0.95,0.25929,0.20833,0.031570000000000015,0.01939000000000002,0.025480000000000017,0.016475238380388956
24,H,25,0.22791,0.9499,0.2587,0.20922,0.030789999999999984,0.018690000000000012,0.024739999999999998,0.015880464431638448
25,H,26,0.22948,0.9483,0.2445,0.21981,0.015020000000000006,0.009669999999999984,0.012344999999999995,0.008216377263453367
26,H,27,0.2257,0.9523,0.30397,0.20079,0.07827,0.024910000000000015,0.05159000000000001,0.02116545580482149
27,H,28,0.22524,0.9526,0.30473,0.19987,0.07949,0.025370000000000004,0.052430000000000004,0.02155630725685753
28,H,29,0.13971,0.9843,0.16636,0.09607,0.026650000000000007,0.04364,0.035145,0.03707990731924566
29,H,30,0.24212,0.9433,0.26925,0.20306,0.027129999999999987,0.03906000000000001,0.033095,0.03318838634027809
