,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,H,1,0.23201,0.9471,0.26054,0.20946,0.02853,0.022549999999999987,0.025539999999999993,0.017651739898277848
1,C,2,-0.24656,3.9552,-0.06464,-0.39002,0.18192,0.14345999999999998,0.16269,0.11229794260784662
2,C,3,-0.0452,3.9107,-0.01795,-0.09889,0.027249999999999996,0.05369000000000001,0.040470000000000006,0.04202757938530104
3,N,4,-0.3751,3.4481,-0.17925,-0.38143,0.19585,0.006330000000000002,0.10109,0.00495501168763188
4,C,5,-0.21343,3.8629,-0.23338,-0.20798,-0.019949999999999996,-0.00545000000000001,-0.012700000000000003,-0.004266163301357628
5,C,6,-0.41929,3.9214,-0.40952,-0.41934,0.009770000000000001,4.999999999999449e-05,0.004909999999999998,3.9139112856487616e-05
6,C,7,-0.43517,3.9243,-0.43344,-0.43549,0.0017300000000000093,0.00031999999999998696,0.0010249999999999981,0.0002504903222815381
7,C,8,-0.07359,3.8457,-0.07323,-0.07376,0.0003599999999999992,0.00017000000000000348,0.00026500000000000135,0.00013307298371207526
8,O,9,-0.75431,1.7727,-0.75038,-0.75572,0.003929999999999989,0.0014099999999999113,0.00266999999999995,0.0011037229825530028
9,C,10,0.0861,3.9043,0.06724,-0.17507,-0.018860000000000002,0.26117,0.121155,0.20443924209459993
10,C,11,-0.23815,3.9814,-0.01505,-0.31242,0.2231,0.07426999999999997,0.14868499999999998,0.05813723823703309
11,C,12,0.61852,3.9063,0.60258,0.51558,-0.015939999999999954,0.10293999999999992,0.04349999999999998,0.08057960554894551
12,N,13,-0.7986,3.0873,-0.76374,-0.85913,0.03486,0.06052999999999997,0.04769499999999999,0.047381810024069104
13,O,14,-0.76531,1.7905,-0.69152,-0.87249,0.07379000000000002,0.10717999999999994,0.09048499999999998,0.08389860231917605
14,C,15,-0.47106,3.9123,-0.53138,-0.45541,-0.060319999999999985,-0.015649999999999997,-0.03798499999999999,-0.012250542324081971
15,H,16,0.23529,0.9458,0.26402,0.21258,0.028729999999999978,0.022710000000000008,0.025719999999999993,0.01777698505941864
16,H,17,0.21785,0.9545,0.24565,0.20535,0.02780000000000002,0.012499999999999983,0.02015,0.009784778214122969
17,H,18,0.22165,0.9527,0.24613,0.20708,0.024479999999999974,0.014570000000000027,0.019525,0.01140513748638177
18,H,19,0.21406,0.9559,0.22467,0.2093,0.010610000000000008,0.0047599999999999865,0.007684999999999997,0.0037260435439380206
19,H,20,0.21397,0.9562,0.22443,0.20913,0.010459999999999997,0.004839999999999983,0.00764999999999999,0.0037886661245084053
20,H,21,0.20914,0.9584,0.21412,0.2062,0.004980000000000012,0.002939999999999998,0.003960000000000005,0.002301379835961724
21,H,22,0.21102,0.9575,0.21608,0.20872,0.005059999999999981,0.0023000000000000242,0.0036800000000000027,0.0018003991913986476
22,H,23,0.18415,0.9681,0.18627,0.18337,0.002119999999999983,0.0007800000000000029,0.001449999999999993,0.0006105701605612764
23,H,24,0.16952,0.9734,0.17169,0.16858,0.0021700000000000053,0.0009399999999999964,0.0015550000000000008,0.0007358153217020453
24,H,25,0.4921,0.7601,0.49297,0.49171,0.0008700000000000374,0.00039000000000000146,0.0006300000000000194,0.0003052850802806382
25,H,26,0.24163,0.9436,0.27119,0.20486,0.029559999999999975,0.036770000000000025,0.033165,0.02878290359466418
26,H,27,0.4235,0.8217,0.42918,0.40753,0.005680000000000018,0.015969999999999984,0.010825000000000001,0.012501032646363508
27,H,28,0.42482,0.8213,0.43689,0.40381,0.012070000000000025,0.021009999999999973,0.01654,0.016446255222297885
28,H,29,0.22176,0.9532,0.30247,0.19901,0.08071,0.02275000000000002,0.05173000000000001,0.017808296349703844
29,H,30,0.2187,0.9551,0.30737,0.19488,0.08866999999999997,0.023820000000000008,0.05624499999999999,0.018645873364832758
