,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,C,1,-0.65329,3.859,-0.67336,-0.64245,-0.02006999999999992,-0.010840000000000072,-0.015454999999999997,-0.009203270681112196
1,C,2,0.01106,4.0087,0.16273,-0.10568,0.15167000000000003,0.11674,0.13420500000000002,0.09911345196614674
2,C,3,-0.07308,3.903,-0.01884,-0.08813,0.05424000000000001,0.015049999999999994,0.034645,0.012777603667042212
3,N,4,-0.34758,3.4981,-0.18835,-0.38183,0.15923,0.03425,0.09674,0.029078599707388436
4,C,5,-0.21721,3.8556,-0.23452,-0.21055,-0.01731000000000002,-0.006659999999999999,-0.01198500000000001,-0.005654408001495094
5,C,6,-0.42401,3.9191,-0.4167,-0.42295,0.007309999999999983,-0.0010600000000000054,0.003124999999999989,-0.0008999508230607853
6,C,7,-0.44492,3.9222,-0.44797,-0.44338,-0.003049999999999997,-0.0015399999999999858,-0.0022949999999999915,-0.0013074757240694242
7,C,8,-0.07639,3.8459,-0.07582,-0.07752,0.0005700000000000011,0.001130000000000006,0.0008500000000000035,0.0009593815377912148
8,O,9,-0.75776,1.7723,-0.75597,-0.75932,0.0017899999999999583,0.0015600000000000058,0.001674999999999982,0.0013244559282781351
9,C,10,0.12226,3.895,0.09502,-0.11931,-0.02724,0.24157,0.107165,0.2050953965347102
10,C,11,-0.24572,3.987,-0.04748,-0.23527,0.19824,-0.010449999999999987,0.093895,-0.008872156699042592
11,C,12,0.34626,3.8652,0.36355,0.13589,0.017289999999999972,0.21037,0.11382999999999999,0.1786062779691476
12,O,13,-0.70898,1.862,-0.57768,-0.87078,0.13130000000000008,0.16179999999999994,0.14655,0.1373698520483342
13,C,14,-0.46688,3.9159,-0.51955,-0.45564,-0.05266999999999994,-0.011240000000000028,-0.03195499999999998,-0.009542874765286037
14,H,15,0.22985,0.9481,0.24452,0.22003,0.014669999999999989,0.009819999999999995,0.012244999999999992,0.008337280266468738
15,H,16,0.22849,0.9496,0.259,0.20878,0.03051000000000001,0.019710000000000005,0.025110000000000007,0.016733991247667918
16,H,17,0.22891,0.9494,0.25828,0.2099,0.029370000000000007,0.01901,0.024190000000000003,0.016139684100363625
17,H,18,0.23565,0.9461,0.26337,0.21424,0.027719999999999995,0.021409999999999985,0.02456499999999999,0.018177308605406887
18,H,19,0.2265,0.9503,0.24548,0.21265,0.018979999999999997,0.013850000000000001,0.016415,0.01175879141452058
19,H,20,0.22394,0.9515,0.25365,0.20838,0.029709999999999986,0.01555999999999999,0.02263499999999999,0.013210598874363906
20,H,21,0.22687,0.9505,0.24252,0.21422,0.015650000000000025,0.012649999999999995,0.01415000000000001,0.010739979161998935
21,H,22,0.21546,0.9553,0.22451,0.20952,0.009049999999999975,0.005940000000000001,0.007494999999999988,0.005043120649982111
22,H,23,0.22272,0.952,0.22344,0.22324,0.0007199999999999984,-0.0005199999999999927,0.00010000000000000286,-0.0004414853094260372
23,H,24,0.21096,0.9576,0.21561,0.20775,0.0046499999999999875,0.0032100000000000184,0.003930000000000003,0.002725322775495399
24,H,25,0.18447,0.9681,0.18628,0.18296,0.001810000000000006,0.0015099999999999836,0.0016599999999999948,0.0012820054177563813
25,H,26,0.17583,0.9708,0.17869,0.17397,0.0028600000000000014,0.0018599999999999728,0.002359999999999987,0.0015791589914085167
26,H,27,0.49177,0.7604,0.4924,0.49128,0.0006300000000000194,0.0004899999999999904,0.0005600000000000049,0.0004160150031129943
27,H,28,0.24282,0.943,0.27032,0.20317,0.027499999999999997,0.03965000000000002,0.03357500000000001,0.03366325484373582
28,H,29,0.13948,0.9844,0.16674,0.09576,0.027260000000000006,0.043719999999999995,0.03549,0.03711872640020503
29,H,30,0.22575,0.9524,0.30598,0.19973,0.08022999999999997,0.026020000000000015,0.05312499999999999,0.022091245675510875
30,H,31,0.22678,0.9517,0.30414,0.20138,0.07736000000000001,0.025400000000000006,0.05138000000000001,0.021564859345041355
