,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,H,1,0.2355,0.9455,0.26281,0.21418,0.02731,0.021319999999999978,0.02431499999999999,0.01867790038305011
1,C,2,-0.21709,3.9565,-0.05303,-0.35033,0.16406,0.13323999999999997,0.14864999999999998,0.11672811665279542
2,C,3,-0.05702,3.9054,-0.01892,-0.08131,0.0381,0.024289999999999992,0.031194999999999997,0.021279840539600726
3,N,4,-0.3664,3.481,-0.19358,-0.39085,0.17282,0.024449999999999972,0.09863499999999999,0.02142001239988626
4,C,5,-0.21959,3.8567,-0.23835,-0.21203,-0.01876,-0.007560000000000011,-0.013160000000000005,-0.006623120398492457
5,C,6,-0.4207,3.9194,-0.41173,-0.41954,0.008970000000000034,-0.0011599999999999944,0.0039050000000000196,-0.0010162459870702648
6,C,7,-0.4172,3.924,-0.42151,-0.41369,-0.0043099999999999805,-0.003510000000000013,-0.003909999999999997,-0.003075020185014362
7,C,8,-0.40863,3.9276,-0.40551,-0.40998,0.0031200000000000117,0.0013500000000000179,0.0022350000000000148,0.0011827000711593812
8,C,9,-0.40225,3.9302,-0.40248,-0.40218,-0.00023000000000000798,-7.00000000000145e-05,-0.00015000000000001124,-6.132518887494276e-05
9,C,10,-0.40389,3.931,-0.40311,-0.40473,0.0007800000000000029,0.0008399999999999519,0.0008099999999999774,0.0007359022664991186
10,C,11,-0.40272,3.9295,-0.40255,-0.40322,0.00017000000000000348,0.0005000000000000004,0.00033500000000000196,0.000438037063392358
11,C,12,-0.62609,3.8723,-0.62586,-0.62655,0.0002300000000000635,0.00046000000000001595,0.0003450000000000397,0.00040299409832098297
12,C,13,0.12619,3.8932,0.09686,-0.11201,-0.029329999999999995,0.2382,0.104435,0.20868085700011915
13,C,14,-0.24045,3.9928,-0.03656,-0.23377,0.20389,-0.0066799999999999915,0.098605,-0.00585217516692189
14,C,15,0.35291,3.861,0.36607,0.1495,0.013160000000000005,0.20341,0.108285,0.17820223812927893
15,O,16,-0.70267,1.8716,-0.56952,-0.86644,0.13315,0.16376999999999997,0.14845999999999998,0.1434746597435328
16,C,17,-0.47386,3.9127,-0.52719,-0.46399,-0.053330000000000044,-0.00986999999999999,-0.03160000000000002,-0.00864685163136513
17,H,18,0.23996,0.9437,0.26753,0.21825,0.027569999999999983,0.021710000000000007,0.024639999999999995,0.019019569292496173
18,H,19,0.22437,0.9513,0.24556,0.20882,0.021189999999999987,0.015550000000000008,0.018369999999999997,0.013622952671502328
19,H,20,0.22448,0.9512,0.25335,0.20985,0.028870000000000007,0.014630000000000004,0.021750000000000005,0.012816964474860387
20,H,21,0.22785,0.9491,0.24539,0.21584,0.01754,0.012009999999999993,0.014774999999999996,0.010521650262684423
21,H,22,0.21378,0.9559,0.22403,0.20757,0.010250000000000009,0.006209999999999993,0.008230000000000001,0.005440420327333075
22,H,23,0.2055,0.9599,0.21028,0.20341,0.0047800000000000065,0.0020899999999999808,0.0034349999999999936,0.001830994924980038
23,H,24,0.21669,0.9543,0.22448,0.2093,0.007790000000000019,0.00738999999999998,0.0075899999999999995,0.006474187796939028
24,H,25,0.20625,0.959,0.21215,0.19986,0.005900000000000016,0.006389999999999979,0.006144999999999998,0.005598113670154311
25,H,26,0.20425,0.9614,0.19463,0.21245,-0.00961999999999999,-0.008200000000000013,-0.008910000000000001,-0.0071838078396346755
26,H,27,0.20024,0.9627,0.20091,0.19996,0.0006700000000000039,0.00028000000000000247,0.0004750000000000032,0.0002453007554997224
27,H,28,0.20222,0.9611,0.20558,0.19912,0.003360000000000002,0.0031000000000000194,0.0032300000000000106,0.0027158297930326343
28,H,29,0.20028,0.9619,0.20174,0.19854,0.001459999999999989,0.0017400000000000193,0.0016000000000000042,0.0015243689806054214
29,H,30,0.2016,0.9624,0.20062,0.2026,-0.0009800000000000086,-0.0010000000000000009,-0.0009900000000000048,-0.000876074126784716
30,H,31,0.20066,0.962,0.20058,0.20103,-7.999999999999674e-05,-0.00036999999999998145,-0.0002249999999999891,-0.0003241474269103284
31,H,32,0.2001,0.9618,0.20115,0.19899,0.0010499999999999954,0.0011099999999999999,0.0010799999999999976,0.0009724422807310337
32,H,33,0.21469,0.9547,0.21531,0.21411,0.0006200000000000094,0.0005799999999999972,0.0006000000000000033,0.0005081229935351324
33,H,34,0.20736,0.9583,0.20787,0.2066,0.0005100000000000104,0.0007599999999999829,0.0006349999999999967,0.0006658163363563686
34,H,35,0.20822,0.9585,0.20808,0.20795,-0.00014000000000000123,0.00026999999999999247,6.499999999999562e-05,0.0002365400142318665
35,H,36,0.24499,0.9423,0.27404,0.20475,0.029049999999999992,0.040240000000000026,0.03464500000000001,0.03525322286181696
36,H,37,0.14186,0.9838,0.16957,0.09873,0.027709999999999985,0.043130000000000016,0.03542,0.03778507708822478
37,H,38,0.22845,0.9503,0.31184,0.20359,0.08339000000000002,0.024859999999999993,0.054125000000000006,0.021779202791868013
38,H,39,0.23017,0.9499,0.30948,0.20562,0.07930999999999996,0.024550000000000016,0.05192999999999999,0.02150761981256477
