,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,C,1,-0.62564,3.8722,-0.62561,-0.62567,2.999999999997449e-05,2.999999999997449e-05,2.999999999997449e-05,2.3861729776015355e-05
1,C,2,-0.40109,3.9295,-0.40103,-0.40113,6.0000000000004494e-05,3.999999999998449e-05,4.999999999999449e-05,3.181563970136852e-05
2,C,3,-0.40957,3.9318,-0.40962,-0.4096,-4.999999999999449e-05,3.0000000000030003e-05,-9.999999999982245e-06,2.386172977605951e-05
3,C,4,-0.40674,3.9291,-0.40707,-0.40662,-0.00032999999999999696,-0.00012000000000000899,-0.00022500000000000298,-9.544691910414973e-05
4,C,5,-0.39734,3.9287,-0.3969,-0.39745,0.00044000000000005146,0.00010999999999999899,0.0002750000000000252,8.749300917879655e-05
5,C,6,-0.4091,3.9258,-0.40784,-0.40946,0.0012600000000000389,0.00035999999999997145,0.0008100000000000052,0.00028634075731240506
6,C,7,-0.42439,3.9233,-0.41594,-0.42501,0.008450000000000013,0.0006200000000000094,0.004535000000000011,0.0004931424153714108
7,C,8,-0.21459,3.8613,-0.23261,-0.20859,-0.018020000000000008,-0.006000000000000005,-0.012010000000000007,-0.004772345955207133
8,N,9,-0.35576,3.473,-0.1795,-0.37919,0.17626000000000003,0.023430000000000006,0.09984500000000002,0.018636010955083843
9,C,10,-0.06539,3.9066,-0.01827,-0.09313,0.04712,0.02774,0.037430000000000005,0.022064146132907626
10,C,11,-0.00776,4.0089,0.15465,-0.12543,0.16241,0.11767000000000001,0.14004,0.09359365809153715
11,C,12,-0.65164,3.8604,-0.6728,-0.64084,-0.021159999999999957,-0.010800000000000032,-0.015979999999999994,-0.008590222719372858
12,C,13,-0.45168,3.9165,-0.50966,-0.43759,-0.057979999999999976,-0.014090000000000047,-0.03603500000000001,-0.011207059084811444
13,C,14,-0.25928,3.9745,-0.04461,-0.29782,0.21467000000000003,0.03853999999999996,0.126605,0.030654368852280428
14,C,15,0.73859,3.8575,0.73512,0.59101,-0.003469999999999973,0.14757999999999993,0.07205499999999998,0.11738380267824464
15,O,16,-0.70737,1.887,-0.63133,-0.83978,0.07604000000000011,0.13240999999999992,0.10422500000000001,0.10531772132149593
16,O,17,-0.4934,2.1745,-0.46384,-0.53513,0.02956000000000003,0.04172999999999999,0.03564500000000001,0.03319166611846557
17,C,18,-0.29448,3.7568,-0.29568,-0.29059,-0.0011999999999999789,-0.0038900000000000046,-0.0025449999999999917,-0.003094070960959292
18,C,19,0.09999,3.9001,0.07444,-0.16445,-0.02554999999999999,0.26444,0.11944500000000001,0.21033319406582887
19,H,20,0.20767,0.9582,0.2075,0.20794,-0.00017000000000000348,-0.0002700000000000202,-0.00022000000000001185,-0.0002147555679843369
20,H,21,0.21495,0.9546,0.21517,0.21476,0.00021999999999999797,0.00018999999999999573,0.00020499999999999685,0.0001511242885815557
21,H,22,0.20757,0.9583,0.20782,0.20731,0.0002500000000000002,0.0002600000000000102,0.0002550000000000052,0.00020680165805898372
22,H,23,0.1995,0.9622,0.19993,0.19909,0.00042999999999998595,0.00041000000000002146,0.0004200000000000037,0.00032611030693917086
23,H,24,0.19991,0.962,0.19978,0.20015,-0.00012999999999999123,-0.00023999999999999022,-0.00018499999999999073,-0.0001908938382082774
24,H,25,0.20213,0.9613,0.20189,0.20253,-0.00024000000000001798,-0.0003999999999999837,-0.00032000000000000084,-0.00031815639701379564
25,H,26,0.19925,0.9626,0.19993,0.19871,0.0006799999999999862,0.0005400000000000127,0.0006099999999999994,0.0004295111359686517
26,H,27,0.20744,0.9587,0.20899,0.20645,0.0015499999999999958,0.0009900000000000186,0.0012700000000000072,0.0007874370826091911
27,H,28,0.20192,0.9612,0.20203,0.2021,0.00010999999999999899,-0.00018000000000001348,-3.500000000000725e-05,-0.0001431703786562246
28,H,29,0.20626,0.9591,0.2105,0.20422,0.004239999999999994,0.0020399999999999863,0.00313999999999999,0.0016225976247704129
29,H,30,0.20611,0.9591,0.20815,0.20506,0.002040000000000014,0.0010499999999999954,0.0015450000000000047,0.0008351605421612439
30,H,31,0.206,0.9595,0.2107,0.20353,0.00470000000000001,0.00247,0.003585000000000005,0.0019646157515602683
31,H,32,0.21116,0.957,0.21591,0.20791,0.004750000000000004,0.003249999999999975,0.00399999999999999,0.002585020725737175
32,H,33,0.21129,0.9572,0.22125,0.20574,0.009959999999999997,0.005549999999999999,0.007754999999999998,0.004414420008566594
33,H,34,0.21336,0.9562,0.22298,0.20809,0.009620000000000017,0.005269999999999997,0.007445000000000007,0.004191710530656926
34,H,35,0.2216,0.9527,0.24412,0.20642,0.022520000000000012,0.015179999999999999,0.018850000000000006,0.012074035266674036
35,H,36,0.21709,0.9549,0.244,0.20363,0.02690999999999999,0.01346,0.020184999999999995,0.010705962759514659
36,H,37,0.23217,0.9477,0.26125,0.21058,0.029079999999999995,0.021589999999999998,0.025334999999999996,0.01717249152882032
37,H,38,0.22571,0.9511,0.25784,0.20561,0.03213000000000002,0.020100000000000007,0.026115000000000013,0.015987358949943888
38,H,39,0.22868,0.9487,0.24392,0.21844,0.015240000000000004,0.010239999999999999,0.012740000000000001,0.008144803763553499
39,H,40,0.22641,0.9506,0.25681,0.20745,0.030399999999999983,0.018960000000000005,0.024679999999999994,0.015080613218454532
40,H,41,0.21775,0.9561,0.30385,0.19364,0.08610000000000001,0.024109999999999993,0.055105,0.01917687683000731
41,H,42,0.22111,0.9541,0.30094,0.19806,0.07982999999999998,0.023049999999999987,0.051439999999999986,0.018333762377920712
42,H,43,0.21012,0.9566,0.21645,0.19962,0.006330000000000002,0.01050000000000001,0.008415000000000006,0.008351605421612483
43,H,44,0.19861,0.9623,0.20709,0.18587,0.008479999999999988,0.012740000000000001,0.010609999999999994,0.010133281244889806
44,H,45,0.19866,0.9623,0.20712,0.18599,0.008459999999999995,0.012670000000000015,0.010565000000000005,0.0100776038754124
45,H,46,0.2442,0.9418,0.2722,0.20756,0.027999999999999997,0.036640000000000006,0.03232,0.029143125966464872
