,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,C,1,-0.65104,3.8597,-0.67065,-0.64411,-0.019610000000000016,-0.006929999999999992,-0.013270000000000004,-0.005556953368611883
1,C,2,-0.00381,4.0087,0.14846,-0.08245,0.15227000000000002,0.07864,0.115455,0.06305899176156407
2,C,3,-0.06312,3.8963,-0.02318,-0.08434,0.039939999999999996,0.021220000000000003,0.03058,0.017015663850208414
3,N,4,-0.37305,3.4651,-0.2053,-0.37334,0.16774999999999998,0.00029000000000001247,0.08402,0.00023254206015837188
4,C,5,0.14531,3.9662,0.11178,0.14148,-0.03352999999999999,0.00383,-0.014849999999999995,0.0030711589324362966
5,C,6,-0.25593,3.9509,-0.20662,-0.27386,0.04930999999999999,0.01793,0.03362,0.014377514271170445
6,C,7,-0.21264,3.9558,-0.20988,-0.22319,0.0027599999999999847,0.010550000000000004,0.006654999999999994,0.008459719774726617
7,C,8,-0.24994,3.9559,-0.18787,-0.28991,0.062069999999999986,0.039970000000000006,0.051019999999999996,0.03205071084320595
8,C,9,-0.21279,3.9558,-0.20981,-0.21681,0.0029800000000000104,0.004019999999999996,0.003500000000000003,0.0032235140752986686
9,C,10,-0.25713,3.9515,-0.20864,-0.28498,0.04849000000000003,0.027849999999999986,0.03817000000000001,0.02233205646693233
10,C,11,0.06686,3.9025,0.04598,-0.18264,-0.020880000000000003,0.2495,0.11431,0.2000663586534872
11,C,12,-0.20838,3.9904,-0.02204,-0.28155,0.18634,0.07317000000000001,0.129755,0.0586727673854736
12,C,13,0.62569,3.9025,0.61251,0.50979,-0.01317999999999997,0.1159,0.05136000000000002,0.09293663714604877
13,N,14,-0.80985,3.0539,-0.77697,-0.86738,0.03287999999999991,0.05753000000000008,0.045204999999999995,0.0461315335203813
14,O,15,-0.73489,1.8292,-0.68221,-0.85785,0.05268000000000006,0.12295999999999996,0.08782000000000001,0.0985978335071454
15,C,16,-0.45655,3.9156,-0.50922,-0.4437,-0.052669999999999995,-0.012850000000000028,-0.03276000000000001,-0.010304018872534335
16,H,17,0.22675,0.9505,0.25597,0.21314,0.029219999999999968,0.013610000000000011,0.02141499999999999,0.01091343944398382
17,H,18,0.22934,0.9483,0.24338,0.22122,0.014040000000000025,0.008119999999999988,0.011080000000000007,0.006511177684434124
18,H,19,0.22729,0.9502,0.25625,0.21398,0.028959999999999986,0.013309999999999989,0.021134999999999987,0.010672878692095841
19,H,20,0.2373,0.9453,0.26312,0.22089,0.02582000000000001,0.016410000000000008,0.02111500000000001,0.01315867312827145
20,H,21,0.24447,0.9413,0.25556,0.23743,0.011090000000000017,0.007039999999999991,0.009065000000000004,0.0056451589776374675
21,H,22,0.23713,0.9446,0.24748,0.23063,0.010349999999999998,0.006500000000000006,0.008425000000000002,0.00521214962423915
22,H,23,0.2364,0.9449,0.24591,0.22944,0.00950999999999999,0.006959999999999994,0.008234999999999992,0.005581009443800681
23,H,24,0.23735,0.9445,0.24771,0.23067,0.010360000000000008,0.006680000000000019,0.008520000000000014,0.005356486075371938
24,H,25,0.24425,0.9414,0.25556,0.23675,0.011310000000000014,0.007500000000000007,0.00940500000000001,0.00601401879719902
25,H,26,0.24046,0.9438,0.26464,0.20822,0.02417999999999998,0.03224000000000002,0.02821,0.025852262136226177
26,H,27,0.41979,0.8249,0.42651,0.40131,0.006720000000000004,0.018479999999999996,0.0126,0.014818542316298368
27,H,28,0.42256,0.8232,0.43355,0.40287,0.01099,0.019689999999999985,0.015339999999999993,0.0157888040155798
28,H,29,0.22486,0.9523,0.29609,0.20541,0.07123000000000002,0.019449999999999995,0.045340000000000005,0.01559635541406944
29,H,30,0.22332,0.9534,0.30192,0.20289,0.07860000000000003,0.020430000000000004,0.04951500000000002,0.01638218720357012
