,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,H,1,0.23651,0.9449,0.26238,0.2183,0.025870000000000004,0.018210000000000004,0.022040000000000004,0.01552870578368809
1,C,2,-0.22402,3.9561,-0.06528,-0.3236,0.15874,0.09958,0.12916,0.08491754650959142
2,C,3,-0.04998,3.8977,-0.01926,-0.07795,0.030719999999999997,0.02797000000000001,0.029345000000000003,0.02385161453979989
3,N,4,-0.37734,3.4672,-0.20785,-0.37865,0.16949,0.0013099999999999778,0.08539999999999999,0.0011171117285354779
4,C,5,0.14267,3.9651,0.1118,0.14567,-0.030869999999999995,-0.0030000000000000027,-0.016935,-0.002558271134050758
5,C,6,-0.25289,3.9506,-0.20387,-0.2703,0.04902000000000001,0.01740999999999998,0.033214999999999995,0.014846500147941203
6,C,7,-0.21261,3.9555,-0.20951,-0.22047,0.0030999999999999917,0.007860000000000006,0.005479999999999999,0.006702670371212985
7,C,8,-0.24603,3.9558,-0.18245,-0.27954,0.06358,0.03351000000000001,0.048545000000000005,0.02857588856734695
8,C,9,-0.21256,3.9555,-0.20933,-0.21648,0.0032300000000000106,0.003920000000000007,0.0035750000000000087,0.00334280761515966
9,C,10,-0.25288,3.951,-0.20444,-0.27668,0.04843999999999998,0.023799999999999988,0.036119999999999985,0.02029561766346932
10,C,11,0.09655,3.8921,0.07629,-0.16166,-0.02026,0.25821,0.118975,0.22019039650774855
11,C,12,-0.22935,3.9864,-0.03792,-0.29037,0.19143,0.06102000000000002,0.126225,0.05203523486659239
12,C,13,0.74722,3.8537,0.73971,0.61614,-0.007510000000000017,0.13107999999999997,0.06178499999999998,0.11177939341712434
13,O,14,-0.69989,1.8974,-0.62979,-0.82535,0.07010000000000005,0.12546000000000002,0.09778000000000003,0.10698689882600262
14,O,15,-0.48018,2.2033,-0.45711,-0.52417,0.02306999999999998,0.04399000000000003,0.033530000000000004,0.03751278239563094
15,C,16,-0.29669,3.7516,-0.29724,-0.29307,-0.0005499999999999949,-0.003620000000000012,-0.0020850000000000035,-0.003086980501754589
16,C,17,-0.46065,3.9094,-0.51167,-0.44963,-0.051019999999999954,-0.01102000000000003,-0.031019999999999992,-0.009397382632413135
17,H,18,0.24279,0.9422,0.26766,0.22529,0.024870000000000003,0.017500000000000016,0.02118500000000001,0.014923248281962755
18,H,19,0.24541,0.9409,0.25684,0.23901,0.011430000000000023,0.006399999999999989,0.008915000000000006,0.005457645085974936
19,H,20,0.23783,0.9443,0.24843,0.23201,0.010599999999999998,0.00582000000000002,0.008210000000000009,0.004963046000058483
20,H,21,0.23692,0.9446,0.24655,0.23085,0.00963,0.006069999999999992,0.007849999999999996,0.005176235261229355
21,H,22,0.23799,0.9442,0.24855,0.23199,0.010559999999999986,0.006000000000000005,0.008279999999999996,0.005116542268101516
22,H,23,0.2454,0.9409,0.25697,0.23891,0.01156999999999997,0.006489999999999996,0.009029999999999982,0.005534393219996465
23,H,24,0.25101,0.9387,0.27612,0.21567,0.025109999999999966,0.03534000000000001,0.030224999999999988,0.03013643395911791
24,H,25,0.20243,0.9607,0.20876,0.18785,0.006330000000000002,0.01458000000000001,0.010455000000000006,0.012433197711486682
25,H,26,0.21224,0.9557,0.2174,0.20122,0.005159999999999998,0.011020000000000002,0.00809,0.00939738263241311
26,H,27,0.20229,0.9608,0.20865,0.18745,0.0063600000000000045,0.014839999999999992,0.010599999999999998,0.012654914543104398
27,H,28,0.22883,0.9497,0.30452,0.20868,0.07569000000000001,0.02015,0.047920000000000004,0.017183054450374245
28,H,29,0.22898,0.9497,0.30508,0.20889,0.07610000000000003,0.020089999999999997,0.04809500000000001,0.017131889027693224
