,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,O,1,-0.76601,1.7894,-0.6932,-0.86648,0.07280999999999993,0.10047000000000006,0.08664,0.07818869734938898
1,N,2,-0.36811,3.4485,-0.18475,-0.37893,0.18336,0.010819999999999996,0.09709,0.008420440980595082
2,N,3,-0.79959,3.0849,-0.76489,-0.85609,0.034700000000000064,0.056499999999999995,0.04560000000000003,0.043969955212904095
3,C,4,-0.46814,3.913,-0.52962,-0.45115,-0.06147999999999998,-0.016990000000000005,-0.03923499999999999,-0.013222115735703378
4,C,5,-0.0105,4.0087,0.15415,-0.12695,0.16465000000000002,0.11645000000000001,0.14055,0.09062480149633066
5,C,6,-0.24462,3.8604,-0.26196,-0.24046,-0.017340000000000022,-0.004159999999999997,-0.01075000000000001,-0.003237433870543025
6,C,7,-0.24258,3.9787,-0.01927,-0.31114,0.22330999999999998,0.06856000000000004,0.145935,0.05335540052029569
7,C,8,-0.06141,3.9068,-0.01896,-0.10194,0.04245,0.040530000000000004,0.04149,0.031541633358920414
8,C,9,0.08479,3.9019,0.06197,-0.1539,-0.022820000000000007,0.23869,0.107935,0.18575555061536425
9,C,10,-0.03803,4.0131,-0.03883,-0.03665,-0.0008000000000000021,-0.0013799999999999993,-0.0010900000000000007,-0.0010739564282089844
10,C,11,-0.65101,3.8604,-0.67224,-0.64024,-0.02122999999999997,-0.010769999999999946,-0.01599999999999996,-0.008381529515804863
11,C,12,0.61941,3.9063,0.60388,0.52174,-0.015530000000000044,0.09767000000000003,0.041069999999999995,0.07600965532113885
12,C,13,-0.23594,3.955,-0.23272,-0.23763,0.0032200000000000006,0.001689999999999997,0.002454999999999999,0.0013152075099081026
13,C,14,-0.22801,3.9566,-0.21955,-0.25629,0.008459999999999995,0.028280000000000027,0.01837000000000001,0.022008324485326178
14,C,15,-0.22268,3.9572,-0.21791,-0.24526,0.0047699999999999965,0.022580000000000017,0.013675000000000007,0.01757241749924558
15,C,16,-0.22299,3.9568,-0.21835,-0.22898,0.004640000000000005,0.005989999999999995,0.005315,0.004661593481863634
16,C,17,-0.23992,3.957,-0.22986,-0.25485,0.010059999999999986,0.014930000000000027,0.012495000000000006,0.011618963386347953
17,H,18,0.21775,0.9563,0.30596,0.19495,0.08821000000000001,0.022799999999999987,0.055505,0.01774362794432235
18,H,19,0.22125,0.9542,0.30046,0.19963,0.07921,0.02162,0.050415,0.0168253173752741
19,H,20,0.23385,0.9471,0.26392,0.22062,0.030069999999999986,0.013229999999999992,0.02164999999999999,0.010295973583481785
20,H,21,0.24406,0.9418,0.26308,0.22793,0.01901999999999998,0.016130000000000005,0.017574999999999993,0.012552838541312271
21,H,22,0.23357,0.947,0.26316,0.21285,0.029590000000000005,0.02071999999999999,0.025154999999999997,0.01612491100905084
22,H,23,0.24408,0.9423,0.27318,0.21089,0.029099999999999987,0.03319,0.031144999999999992,0.025829430327721892
23,H,24,0.2261,0.9507,0.25658,0.20723,0.03047999999999998,0.018869999999999998,0.02467499999999999,0.014685186811814164
24,H,25,0.2252,0.9513,0.25773,0.20528,0.03253,0.01992000000000002,0.026225000000000012,0.015502327572407973
25,H,26,0.22904,0.9485,0.24442,0.2189,0.015380000000000005,0.010139999999999982,0.012759999999999994,0.007891245059448616
26,H,27,0.23594,0.9461,0.23569,0.23566,-0.0002500000000000002,0.00028000000000000247,1.5000000000001124e-05,0.00021790420282501337
27,H,28,0.23364,0.9467,0.23886,0.22832,0.005220000000000002,0.005319999999999991,0.005269999999999997,0.004140179853675211
28,H,29,0.23411,0.9461,0.23762,0.22944,0.0035099999999999854,0.0046700000000000075,0.004089999999999996,0.0036343308114028753
29,H,30,0.23454,0.9459,0.23863,0.23017,0.00409000000000001,0.004369999999999985,0.004229999999999998,0.003400862022661774
30,H,31,0.23445,0.9458,0.23744,0.23016,0.0029900000000000204,0.004289999999999988,0.0036400000000000043,0.003338603678997488
31,H,32,0.42455,0.8215,0.43649,0.40495,0.011940000000000006,0.019600000000000006,0.015770000000000006,0.015253294197750806
32,H,33,0.42319,0.822,0.42887,0.40822,0.005679999999999963,0.014969999999999983,0.010324999999999973,0.011650092558180064
