,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,O,1,-0.48434,2.1966,-0.45712,-0.52536,0.027219999999999966,0.041020000000000056,0.03412000000000001,0.034448253747875905
1,O,2,-0.70974,1.8856,-0.62612,-0.82843,0.08362000000000003,0.11868999999999996,0.101155,0.09967487170490942
2,N,3,-0.37012,3.455,-0.18543,-0.38272,0.18469,0.0126,0.098645,0.010581374871361186
3,C,4,-0.24525,3.8572,-0.26248,-0.24103,-0.017229999999999995,-0.0042200000000000015,-0.010724999999999998,-0.0035439207902495415
4,C,5,-0.45772,3.9117,-0.51586,-0.44466,-0.05813999999999997,-0.013060000000000016,-0.03559999999999999,-0.010967679033331528
5,C,6,-0.25278,3.9789,-0.02805,-0.3061,0.22473,0.05331999999999998,0.13902499999999998,0.04477769112229986
6,C,7,0.10329,3.8974,0.08244,-0.14674,-0.020850000000000007,0.25003000000000003,0.11459,0.20997310786400297
7,C,8,-0.03872,4.013,-0.03941,-0.03496,-0.0006900000000000031,-0.0037599999999999995,-0.0022250000000000013,-0.0031576166282792106
8,C,9,-0.0522,3.9068,-0.01451,-0.09272,0.03769,0.040519999999999994,0.039105,0.034028357919647235
9,C,10,-0.23113,3.9565,-0.0584,-0.36512,0.17273,0.13399,0.15336,0.11252368404870518
10,C,11,-0.22709,3.9564,-0.21858,-0.24438,0.00850999999999999,0.01729,0.012899999999999995,0.014519997740145627
11,C,12,-0.2357,3.955,-0.23232,-0.23688,0.003379999999999994,0.0011800000000000144,0.0022800000000000042,0.0009909541546195516
12,C,13,0.74372,3.8552,0.73479,0.61783,-0.008929999999999993,0.12589000000000006,0.05848000000000003,0.1057213716314016
13,C,14,-0.22252,3.9567,-0.21787,-0.22711,0.0046499999999999875,0.004590000000000011,0.004619999999999999,0.0038546437031387265
14,C,15,-0.22209,3.9571,-0.21737,-0.23485,0.004720000000000002,0.012759999999999994,0.008739999999999998,0.010715741536394338
15,C,16,-0.23913,3.9569,-0.22887,-0.25011,0.010260000000000019,0.01097999999999999,0.010620000000000004,0.009220912387900453
16,C,17,-0.29628,3.7541,-0.29703,-0.29287,-0.0007500000000000284,-0.0034099999999999686,-0.0020799999999999985,-0.0028636895485191515
17,H,18,0.24557,0.9411,0.26464,0.23112,0.019069999999999976,0.014450000000000018,0.016759999999999997,0.012134989435807089
18,H,19,0.23619,0.9459,0.26623,0.22358,0.03004000000000001,0.01261000000000001,0.02132500000000001,0.010589772787925767
19,H,20,0.22222,0.953,0.31256,0.19931,0.09034,0.022910000000000014,0.05662500000000001,0.01923962684943531
20,H,21,0.22663,0.9506,0.30797,0.20487,0.08134000000000002,0.02176,0.05155000000000001,0.018273866444509478
21,H,22,0.24649,0.941,0.27625,0.21114,0.02976000000000001,0.03534999999999999,0.032555,0.02968663505576332
22,H,23,0.23896,0.944,0.26761,0.21777,0.02865000000000001,0.021190000000000014,0.02492000000000001,0.017795185200328863
23,H,24,0.2342,0.946,0.2627,0.21279,0.028499999999999998,0.021409999999999985,0.02495499999999999,0.01797993936474943
24,H,25,0.23405,0.9465,0.23929,0.22998,0.005239999999999995,0.004070000000000018,0.004655000000000006,0.0034179520417809695
25,H,26,0.23582,0.9461,0.23562,0.23644,-0.00020000000000000573,-0.0006200000000000094,-0.0004100000000000076,-0.0005206708270034949
26,H,27,0.23482,0.9458,0.23894,0.2315,0.0041200000000000125,0.0033199999999999896,0.003720000000000001,0.002788108299438018
27,H,28,0.2344,0.946,0.23794,0.23102,0.0035400000000000154,0.003379999999999994,0.0034600000000000047,0.002838495798825456
28,H,29,0.23469,0.9457,0.23771,0.23155,0.003019999999999995,0.003140000000000004,0.0030799999999999994,0.0026369458012757275
29,H,30,0.21133,0.956,0.21737,0.20086,0.006040000000000018,0.01046999999999998,0.008254999999999998,0.008792618643107254
30,H,31,0.20122,0.9612,0.20865,0.18715,0.007429999999999992,0.01407,0.010749999999999996,0.011815868606353324
31,H,32,0.20118,0.9612,0.2087,0.18712,0.007519999999999999,0.01405999999999999,0.010789999999999994,0.011807470689788742
