,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,O,1,-0.76421,1.792,-0.69031,-0.87041,0.07389999999999997,0.10620000000000007,0.09005000000000002,0.0837239077754354
1,N,2,-0.3748,3.4459,-0.17893,-0.3809,0.19587000000000002,0.006099999999999994,0.100985,0.004809000352449671
2,N,3,-0.79846,3.0872,-0.76365,-0.85835,0.0348099999999999,0.05989,0.04734999999999995,0.04721492313249362
3,C,4,-0.21906,3.8605,-0.23892,-0.21382,-0.01985999999999999,-0.005239999999999995,-0.012549999999999992,-0.004131010138825619
4,C,5,-0.45017,3.9153,-0.4401,-0.45116,0.010070000000000023,0.0009899999999999909,0.005530000000000007,0.0007804771063811697
5,C,6,-0.47137,3.912,-0.53188,-0.45581,-0.06051000000000001,-0.015560000000000018,-0.03803500000000001,-0.012266892702314269
6,C,7,0.08517,3.904,0.06686,-0.17366,-0.018309999999999993,0.25883,0.12026,0.20405140347943437
7,C,8,-0.23653,3.9819,-0.0133,-0.31128,0.22322999999999998,0.07475000000000001,0.14899,0.05892996333534645
8,C,9,-0.01384,4.0129,-0.01671,-0.0139,-0.0028699999999999993,5.999999999999929e-05,-0.001405,4.730164281097986e-05
9,C,10,-0.04623,3.91,-0.01805,-0.0986,0.02818,0.05236999999999999,0.040275,0.041286450566850735
10,C,11,-0.24549,3.9551,-0.06315,-0.38668,0.18234,0.14119,0.16176500000000002,0.11130864914137209
11,C,12,-0.22742,3.9584,-0.22424,-0.23014,0.003180000000000016,0.00272,0.002950000000000008,0.002144341140764446
12,C,13,-0.24402,3.956,-0.24087,-0.24756,0.003149999999999986,0.0035400000000000154,0.0033450000000000008,0.0027907969258478566
13,C,14,0.61899,3.9061,0.60276,0.5177,-0.016230000000000078,0.10128999999999999,0.04252999999999996,0.0798530566720701
14,C,15,-0.22595,3.9574,-0.22382,-0.2275,0.0021300000000000208,0.0015499999999999958,0.0018400000000000083,0.0012219591059503241
15,C,16,-0.22473,3.9581,-0.22281,-0.22564,0.001920000000000005,0.0009099999999999941,0.0014149999999999996,0.000717408249299865
16,C,17,-0.24527,3.9572,-0.24061,-0.25086,0.0046599999999999975,0.005590000000000039,0.005125000000000018,0.004406936388556373
17,H,18,0.22738,0.9498,0.25147,0.21333,0.024090000000000028,0.014050000000000007,0.019070000000000017,0.011076468024904586
18,H,19,0.22365,0.9517,0.25123,0.21128,0.02758000000000002,0.012369999999999992,0.019975000000000007,0.009752022026197123
19,H,20,0.2355,0.946,0.24508,0.23053,0.009580000000000005,0.0049699999999999744,0.00727499999999999,0.003918152746176191
20,H,21,0.23385,0.9468,0.24334,0.22968,0.009489999999999998,0.004170000000000007,0.006830000000000003,0.0032874641753631445
21,H,22,0.21888,0.955,0.30848,0.19524,0.08959999999999999,0.023639999999999994,0.05661999999999999,0.01863684726752628
22,H,23,0.22254,0.9529,0.30313,0.2001,0.08059000000000002,0.022439999999999988,0.051515000000000005,0.017690814411306665
23,H,24,0.24229,0.9433,0.27205,0.20605,0.02976000000000001,0.036239999999999994,0.033,0.028570192257832167
24,H,25,0.23604,0.9455,0.26503,0.21361,0.028989999999999988,0.022430000000000005,0.025709999999999997,0.017682930804171517
25,H,26,0.23243,0.9469,0.26119,0.2101,0.02875999999999998,0.02232999999999999,0.025544999999999984,0.01760409473281987
26,H,27,0.23051,0.948,0.23278,0.22921,0.0022699999999999942,0.0012999999999999956,0.001784999999999995,0.001024868927571239
27,H,28,0.2327,0.9472,0.23361,0.23201,0.0009100000000000219,0.0006899999999999962,0.000800000000000009,0.0005439688923262718
28,H,29,0.23327,0.9465,0.23519,0.23205,0.001920000000000005,0.0012199999999999989,0.001570000000000002,0.0009618000704899343
29,H,30,0.23265,0.9468,0.23425,0.23151,0.001600000000000018,0.0011400000000000021,0.00137000000000001,0.0008987312134086296
30,H,31,0.23338,0.9464,0.2348,0.23222,0.0014200000000000046,0.0011599999999999944,0.0012899999999999995,0.0009144984276789503
31,H,32,0.42477,0.8214,0.43684,0.40396,0.012070000000000025,0.020809999999999995,0.01644000000000001,0.016405786448275037
32,H,33,0.42356,0.8217,0.42925,0.40771,0.005690000000000028,0.015849999999999975,0.010770000000000002,0.012495517309233975
