,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,C,1,-0.7363,3.8466,-0.73994,-0.71684,-0.0036400000000000876,-0.019459999999999922,-0.011550000000000005,-0.016195043631408768
1,C,2,0.53036,3.9,0.54041,0.33221,0.010049999999999892,0.19815000000000005,0.10409999999999997,0.16490482505465887
2,O,3,-0.70056,1.8715,-0.59675,-0.86486,0.10380999999999996,0.1643,0.13405499999999998,0.13673410424668406
3,C,4,-0.23477,3.9863,-0.0408,-0.23243,0.19397,-0.0023400000000000087,0.095815,-0.001947399902235191
4,C,5,0.10433,3.8991,0.07699,-0.14751,-0.027340000000000003,0.25184,0.11225,0.20958683392261054
5,N,6,-0.36191,3.4752,-0.19756,-0.39218,0.16435,0.030269999999999964,0.09730999999999998,0.025191365401991
6,C,7,-0.21213,3.857,-0.22958,-0.20424,-0.017449999999999993,-0.007890000000000008,-0.01267,-0.006566233003690434
7,C,8,-0.45009,3.9133,-0.44163,-0.45504,0.008459999999999968,0.00495000000000001,0.006704999999999989,0.00411949979318982
8,C,9,-0.0196,4.0157,-0.03218,-0.01152,-0.012580000000000001,-0.008079999999999999,-0.010329999999999999,-0.006724355217974479
9,C,10,-0.23057,3.9588,-0.22928,-0.2304,0.0012899999999999856,-0.00017000000000000348,0.0005599999999999911,-0.00014147777067520853
10,C,11,-0.22792,3.9576,-0.22594,-0.22979,0.0019800000000000095,0.0018699999999999828,0.0019249999999999962,0.0015562554774272478
11,C,12,-0.24215,3.9575,-0.23429,-0.24627,0.007860000000000006,0.004119999999999985,0.005989999999999995,0.0034287553834226182
12,C,13,-0.22755,3.9576,-0.22468,-0.23027,0.0028700000000000114,0.00272,0.002795000000000006,0.0022636443308032906
13,C,14,-0.23263,3.9583,-0.22648,-0.23601,0.0061500000000000166,0.003379999999999994,0.004765000000000005,0.0028129109698952605
14,C,15,-0.05958,3.9033,-0.00965,-0.0688,0.04993,0.009219999999999999,0.029575,0.0076730885036788
15,C,16,-0.00763,4.0088,0.15929,-0.11267,0.16691999999999999,0.10504000000000001,0.13598,0.08741661783366825
16,C,17,-0.65141,3.8608,-0.67384,-0.64167,-0.02242999999999995,-0.009740000000000082,-0.016085000000000016,-0.00810584403750891
17,C,18,-0.45879,3.9191,-0.51575,-0.44726,-0.056960000000000066,-0.011529999999999985,-0.034245000000000025,-0.0095955217405007
18,H,19,0.24744,0.9394,0.25993,0.21258,0.012490000000000001,0.03486,0.023675,0.029011265210221585
19,H,20,0.24708,0.9396,0.25944,0.2125,0.01236000000000001,0.03458,0.023470000000000005,0.028778242999697713
20,H,21,0.23848,0.9445,0.25064,0.21919,0.012159999999999976,0.01929,0.01572499999999999,0.01605356586073363
21,H,22,0.24193,0.943,0.26899,0.2084,0.02706,0.033530000000000004,0.030295000000000002,0.02790440971023321
22,H,23,0.22931,0.9488,0.25587,0.21008,0.026559999999999973,0.019230000000000025,0.022895,0.016003632529907108
23,H,24,0.22662,0.9501,0.24747,0.21396,0.020850000000000007,0.012659999999999977,0.016754999999999992,0.010535932804400589
24,H,25,0.22888,0.949,0.23875,0.22406,0.00986999999999999,0.004819999999999991,0.00734499999999999,0.0040113109097322935
25,H,26,0.23965,0.9439,0.2576,0.23099,0.017949999999999994,0.008660000000000001,0.013304999999999997,0.007207044082631065
26,H,27,0.23227,0.9476,0.23508,0.23094,0.002810000000000007,0.0013299999999999979,0.0020700000000000024,0.0011068554999883718
27,H,28,0.2336,0.9464,0.23566,0.23238,0.0020600000000000063,0.0012199999999999989,0.0016400000000000026,0.0010153110601397101
28,H,29,0.23361,0.9463,0.23552,0.23234,0.001909999999999995,0.0012700000000000211,0.001590000000000008,0.001056922169161848
29,H,30,0.23331,0.9465,0.2354,0.23192,0.0020900000000000085,0.0013900000000000023,0.0017400000000000054,0.0011567888308149188
30,H,31,0.23164,0.9476,0.23441,0.22998,0.0027699999999999947,0.0016600000000000226,0.0022150000000000086,0.0013814888195343798
31,H,32,0.23388,0.9471,0.2636,0.21432,0.029719999999999996,0.019559999999999994,0.024639999999999995,0.016278265849453067
32,H,33,0.22852,0.9488,0.2439,0.2194,0.015380000000000005,0.00911999999999999,0.012249999999999997,0.007589866285634553
33,H,34,0.2256,0.951,0.25841,0.20792,0.03280999999999998,0.01768,0.02524499999999999,0.014713688150221388
34,H,35,0.22638,0.9507,0.25781,0.2093,0.031429999999999986,0.017079999999999984,0.024254999999999985,0.014214354841955943
35,H,36,0.22065,0.9547,0.30116,0.19823,0.08050999999999997,0.022420000000000023,0.051465,0.01865842128551832
36,H,37,0.22005,0.955,0.30201,0.19707,0.08196,0.02298,0.05247,0.019124465706566035
