,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,C,1,-0.65384,3.8595,-0.67397,-0.643,-0.02012999999999998,-0.01083999999999996,-0.015484999999999971,-0.009137575053382155
1,C,2,0.01254,4.009,0.16394,-0.10273,0.1514,0.11527,0.133335,0.09716681516636207
2,C,3,-0.06859,3.9028,-0.01928,-0.08171,0.04931,0.013120000000000007,0.031215000000000003,0.011059500433613872
3,N,4,-0.35279,3.4951,-0.1923,-0.38377,0.16049,0.030980000000000008,0.095735,0.026114582578762018
4,C,5,-0.22315,3.8565,-0.24131,-0.21651,-0.01816000000000001,-0.006639999999999979,-0.012399999999999994,-0.005597186195060659
5,C,6,-0.41516,3.9168,-0.40912,-0.41296,0.00603999999999999,-0.0021999999999999797,0.001920000000000005,-0.001854489401977918
6,C,7,-0.44163,3.9191,-0.4429,-0.441,-0.0012699999999999934,-0.0006300000000000194,-0.0009500000000000064,-0.0005310583287482432
7,C,8,-0.01337,4.0165,-0.0224,-0.00188,-0.00903,-0.01149,-0.01026,-0.009685492376693852
8,C,9,-0.23584,3.9601,-0.2332,-0.23995,0.0026400000000000035,0.0041100000000000025,0.003375000000000003,0.0034645233827860535
9,C,10,-0.22807,3.9587,-0.2266,-0.23811,0.001469999999999999,0.010039999999999993,0.005754999999999996,0.008463215270844753
10,C,11,-0.24861,3.9585,-0.2403,-0.25404,0.008309999999999984,0.00542999999999999,0.006869999999999987,0.004577217023972804
11,C,12,-0.22589,3.9588,-0.22381,-0.23457,0.0020799999999999985,0.008679999999999993,0.005379999999999996,0.00731680364053112
12,C,13,-0.23773,3.9581,-0.23873,-0.24688,-0.0010000000000000009,0.009149999999999991,0.004074999999999995,0.0077129900127718585
13,C,14,0.13472,3.8918,0.10227,-0.09363,-0.03245000000000001,0.22835,0.09795000000000001,0.19248757042802792
14,C,15,-0.24797,3.9886,-0.04989,-0.23686,0.19808,-0.011110000000000009,0.093485,-0.009365171479988579
15,C,16,0.34976,3.8642,0.3654,0.14775,0.015639999999999987,0.20201000000000002,0.108825,0.17028427458798304
16,O,17,-0.71344,1.8585,-0.58363,-0.87064,0.12980999999999998,0.1572,0.143505,0.13251169726860518
17,C,18,-0.46963,3.9159,-0.5233,-0.45798,-0.053669999999999995,-0.011649999999999994,-0.032659999999999995,-0.009820364333201331
18,H,19,0.22831,0.9496,0.25837,0.20893,0.030059999999999976,0.01938000000000001,0.024719999999999992,0.01633636573196927
19,H,20,0.2296,0.9482,0.24422,0.21988,0.014619999999999994,0.009720000000000006,0.01217,0.008193471357829791
20,H,21,0.22864,0.9495,0.25794,0.20986,0.029299999999999993,0.01878000000000002,0.024040000000000006,0.015830595895066205
21,H,22,0.2355,0.9462,0.26335,0.21461,0.027849999999999986,0.020889999999999992,0.02436999999999999,0.01760921982150866
22,H,23,0.22369,0.9517,0.25483,0.20834,0.03114,0.015350000000000003,0.023245000000000002,0.012939278327436956
23,H,24,0.22723,0.95,0.24616,0.21438,0.018930000000000002,0.01285,0.01589,0.010831904007007483
24,H,25,0.21957,0.9531,0.22821,0.21409,0.008640000000000009,0.005479999999999985,0.007059999999999997,0.004619364510381389
25,H,26,0.23286,0.9468,0.24879,0.22055,0.01593,0.012310000000000015,0.014120000000000008,0.01037671115379473
26,H,27,0.23515,0.9461,0.24109,0.23003,0.005940000000000001,0.005119999999999986,0.005529999999999993,0.0043159026082395455
27,H,28,0.22242,0.9523,0.22705,0.21892,0.004629999999999995,0.003500000000000003,0.004064999999999999,0.0029503240486012626
28,H,29,0.22939,0.9487,0.23185,0.22617,0.00245999999999999,0.0032200000000000006,0.0028399999999999953,0.00271429812471316
29,H,30,0.23279,0.9468,0.23492,0.23028,0.002129999999999993,0.0025099999999999845,0.0023199999999999887,0.0021158038177111764
30,H,31,0.23297,0.9467,0.235,0.23022,0.0020299999999999763,0.0027500000000000024,0.0023899999999999894,0.0023181117524724206
31,H,32,0.23232,0.9472,0.23432,0.22935,0.0020000000000000018,0.0029700000000000004,0.002485000000000001,0.0025035606926702126
32,H,33,0.23176,0.9478,0.23405,0.22794,0.0022900000000000142,0.00381999999999999,0.003055000000000002,0.0032200679616162242
33,H,34,0.24341,0.9428,0.27161,0.2047,0.02820000000000003,0.038709999999999994,0.03345500000000001,0.03263058397752993
34,H,35,0.13988,0.9843,0.16729,0.09763,0.02740999999999999,0.04225000000000001,0.03483,0.035614626015258076
35,H,36,0.22705,0.9522,0.3057,0.20221,0.07865000000000003,0.02484,0.05174500000000001,0.02093887124778723
36,H,37,0.22619,0.9519,0.30437,0.20039,0.07817999999999997,0.02579999999999999,0.05198999999999998,0.02174810298683214
