,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,H,1,0.23255,0.9469,0.26087,0.21106,0.028319999999999984,0.02149000000000001,0.024904999999999997,0.01744752151348667
1,C,2,-0.2331,3.9571,-0.06225,-0.37052,0.17085,0.13742000000000001,0.15413500000000002,0.11156995841709341
2,C,3,-0.04897,3.9085,-0.01877,-0.09026,0.0302,0.04129000000000001,0.035745000000000006,0.033522948501250094
3,N,4,-0.37658,3.4619,-0.19071,-0.38856,0.18587000000000004,0.01197999999999999,0.09892500000000001,0.00972644521784877
4,C,5,-0.22229,3.8599,-0.24294,-0.21639,-0.02065,-0.005899999999999989,-0.013274999999999995,-0.004790152486252727
5,C,6,-0.41568,3.918,-0.40851,-0.413,0.00717000000000001,-0.0026800000000000157,0.002244999999999997,-0.0021758658751114255
6,C,7,-0.44208,3.9195,-0.44341,-0.44178,-0.0013300000000000534,-0.00029999999999996696,-0.0008150000000000102,-0.00024356707557214623
7,C,8,-0.01138,4.0164,-0.02129,-0.00059,-0.00991,-0.01079,-0.01035,-0.008760295818079156
8,C,9,-0.23486,3.9598,-0.23271,-0.24243,0.002150000000000013,0.007569999999999993,0.004860000000000003,0.006146009206937828
9,C,10,-0.22744,3.959,-0.22648,-0.2354,0.0009600000000000164,0.007959999999999995,0.004460000000000006,0.0064626464051816546
10,C,11,-0.24969,3.9584,-0.24313,-0.25333,0.0065599999999999825,0.0036400000000000043,0.005099999999999993,0.00295528051694237
11,C,12,-0.22566,3.959,-0.22314,-0.24224,0.0025199999999999945,0.01658000000000001,0.009550000000000003,0.013461140376622107
12,C,13,-0.23922,3.9583,-0.24063,-0.24924,-0.0014100000000000223,0.010020000000000001,0.004304999999999989,0.008135140324110581
13,C,14,0.12063,3.8947,0.09139,-0.1177,-0.029240000000000002,0.23833,0.104545,0.19349780373705333
14,C,15,-0.26361,3.978,-0.03552,-0.30828,0.22809000000000001,0.04466999999999999,0.13638,0.03626713755269656
15,C,16,0.74765,3.8543,0.73853,0.6195,-0.009120000000000017,0.12815,0.059514999999999985,0.10404373578191324
16,O,17,-0.71793,1.8785,-0.63201,-0.83601,0.08592,0.11808000000000007,0.10200000000000004,0.09586800094520738
17,O,18,-0.48931,2.1911,-0.46159,-0.52933,0.027720000000000022,0.040019999999999945,0.03386999999999998,0.03249184788132784
18,C,19,-0.29597,3.756,-0.29687,-0.29239,-0.0009000000000000119,-0.0035800000000000276,-0.0022400000000000198,-0.002906567101827954
19,C,20,-0.45816,3.9125,-0.51761,-0.44527,-0.05945,-0.012890000000000013,-0.03617000000000001,-0.010465265347084378
20,H,21,0.23659,0.9453,0.26512,0.21524,0.028530000000000028,0.021350000000000008,0.024940000000000018,0.017333856878219655
21,H,22,0.22155,0.9526,0.25452,0.20847,0.03297000000000003,0.013080000000000008,0.023025000000000018,0.010619524494946752
22,H,23,0.22537,0.9509,0.24679,0.21307,0.021420000000000022,0.012299999999999978,0.01686,0.009986250098459076
23,H,24,0.21834,0.9537,0.2282,0.21361,0.00985999999999998,0.004730000000000012,0.007294999999999996,0.0038402408915212717
24,H,25,0.23104,0.9477,0.24911,0.22026,0.018070000000000003,0.010779999999999984,0.014424999999999993,0.008752176915560073
25,H,26,0.23468,0.9464,0.24112,0.22972,0.006440000000000001,0.004959999999999992,0.005699999999999997,0.004026975649459921
26,H,27,0.22228,0.9524,0.22724,0.21878,0.004959999999999992,0.003500000000000003,0.004229999999999998,0.0028416158816753547
27,H,28,0.22951,0.9487,0.23213,0.22598,0.002620000000000011,0.0035300000000000054,0.0030750000000000083,0.002865972589232574
28,H,29,0.23282,0.947,0.23506,0.22952,0.002239999999999992,0.0032999999999999974,0.0027699999999999947,0.0026792378312939014
29,H,30,0.23278,0.9468,0.23482,0.22965,0.002040000000000014,0.003129999999999994,0.002585000000000004,0.0025412164884696673
30,H,31,0.23218,0.9471,0.23417,0.22846,0.0019899999999999918,0.003720000000000001,0.0028549999999999964,0.0030202317370949467
31,H,32,0.23139,0.948,0.23378,0.22718,0.0023899999999999755,0.004210000000000019,0.0032999999999999974,0.003418057960529511
32,H,33,0.24525,0.9418,0.27575,0.2089,0.0305,0.03634999999999999,0.033424999999999996,0.029512210656828297
33,H,34,0.21079,0.9563,0.21696,0.20034,0.006169999999999981,0.010450000000000015,0.008309999999999998,0.008484253132430706
34,H,35,0.20035,0.9617,0.20799,0.18631,0.007640000000000008,0.014039999999999997,0.010840000000000002,0.011398939136777697
35,H,36,0.20038,0.9616,0.20794,0.18646,0.007560000000000011,0.013920000000000016,0.010740000000000013,0.011301512306548842
36,H,37,0.22368,0.9526,0.30943,0.20086,0.08574999999999999,0.02281999999999998,0.054284999999999986,0.01852733554852328
37,H,38,0.22209,0.9528,0.30664,0.19933,0.08455000000000001,0.022760000000000002,0.05365500000000001,0.018478622133408864
