,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,H,1,0.23654,0.9449,0.26484,0.21144,0.02830000000000002,0.02510000000000001,0.026700000000000015,0.020416237141744394
1,C,2,-0.23983,3.9547,-0.06177,-0.39773,0.17806,0.15789999999999998,0.16798,0.12843521293551546
2,C,3,-0.04828,3.9095,-0.0187,-0.11698,0.029580000000000002,0.0687,0.04914,0.055880298471627066
3,N,4,-0.37929,3.4438,-0.18547,-0.38511,0.19382000000000002,0.005819999999999992,0.09982,0.004733964149998094
4,C,5,-0.2167,3.8586,-0.23598,-0.21019,-0.01927999999999999,-0.006510000000000016,-0.012895000000000004,-0.005295207322420569
5,C,6,-0.42075,3.921,-0.41028,-0.41863,0.010470000000000035,-0.0021200000000000108,0.004175000000000012,-0.001724399312370451
6,C,7,-0.42163,3.9243,-0.42633,-0.41801,-0.004699999999999982,-0.003620000000000012,-0.004159999999999997,-0.0029444931654627462
7,C,8,-0.38988,3.9255,-0.38904,-0.39162,0.0008400000000000074,0.0017400000000000193,0.0012900000000000134,0.0014153088695870767
8,C,9,-0.43266,3.9202,-0.4322,-0.43285,0.00046000000000001595,0.00019000000000002348,0.0003250000000000197,0.00015454522139170967
9,C,10,-0.01165,4.0157,-0.01258,-0.01134,-0.0009299999999999985,-0.00031000000000000125,-0.0006199999999999999,-0.00025215272963907513
10,C,11,-0.23871,3.9592,-0.2377,-0.23972,0.0010100000000000109,0.0010099999999999831,0.001009999999999997,0.0008215298610821309
11,C,12,-0.22833,3.958,-0.22758,-0.22917,0.0007500000000000007,0.0008400000000000074,0.000795000000000004,0.0006832525577316907
12,C,13,-0.24725,3.9575,-0.24638,-0.24829,0.0008700000000000097,0.0010400000000000131,0.0009550000000000114,0.0008459317381440012
13,C,14,-0.23049,3.9576,-0.2303,-0.23082,0.00018999999999999573,0.00032999999999999696,0.00025999999999999635,0.0002684206476803022
14,C,15,-0.23639,3.959,-0.23678,-0.23622,-0.00039000000000000146,-0.00016999999999997573,-0.0002799999999999886,-0.00013827730335044024
15,C,16,0.10921,3.899,0.09026,-0.14602,-0.018949999999999995,0.25523,0.11814000000000001,0.20760303608316413
16,C,17,-0.28118,3.963,-0.06158,-0.37891,0.2196,0.09773000000000004,0.158665,0.0794931815084733
17,C,18,0.32674,3.9927,0.30326,0.26312,-0.02348,0.06361999999999995,0.020069999999999977,0.05174824728915446
18,N,19,-0.46706,2.9866,-0.3312,-0.64114,0.13585999999999998,0.17408000000000007,0.15497000000000002,0.14159595863087107
19,C,20,-0.44288,3.9076,-0.49762,-0.42755,-0.05474000000000001,-0.01533000000000001,-0.03503500000000001,-0.012469359178603253
20,H,21,0.23817,0.9445,0.26702,0.21311,0.028849999999999987,0.02506,0.026954999999999993,0.020383701305661923
21,H,22,0.22351,0.9515,0.24543,0.20838,0.021920000000000023,0.015129999999999977,0.018525,0.01230667999819092
22,H,23,0.22247,0.952,0.2539,0.20821,0.031430000000000013,0.014259999999999995,0.022845000000000004,0.011599025563397404
23,H,24,0.22221,0.9522,0.24189,0.20954,0.019680000000000003,0.012669999999999987,0.016174999999999995,0.010305726079119566
24,H,25,0.21159,0.9569,0.22262,0.20581,0.011030000000000012,0.005780000000000007,0.00840500000000001,0.004701428313915646
25,H,26,0.20931,0.959,0.20976,0.2099,0.00045000000000000595,-0.0005900000000000072,-7.000000000000062e-05,-0.00047990358221630815
26,H,27,0.21254,0.9569,0.21776,0.20985,0.005220000000000002,0.002689999999999998,0.003955,0.002188034976545512
27,H,28,0.20573,0.9595,0.20882,0.203,0.0030900000000000094,0.0027299999999999824,0.002909999999999996,0.002220570812627961
28,H,29,0.21206,0.9567,0.21465,0.20953,0.002590000000000009,0.0025300000000000045,0.0025600000000000067,0.0020578916322156727
29,H,30,0.22668,0.95,0.22855,0.22524,0.0018700000000000105,0.0014399999999999968,0.0016550000000000037,0.0011712900989685998
30,H,31,0.21897,0.9537,0.21956,0.21856,0.0005900000000000072,0.0004099999999999937,0.0005000000000000004,0.00033349231984522193
31,H,32,0.22951,0.9486,0.23003,0.22895,0.0005200000000000204,0.0005600000000000049,0.0005400000000000127,0.00045550170515446046
32,H,33,0.23206,0.9471,0.23254,0.23152,0.0004800000000000082,0.0005399999999999849,0.0005099999999999966,0.0004392337871132136
33,H,34,0.23242,0.9468,0.23284,0.23195,0.0004200000000000037,0.0004699999999999982,0.00044500000000000095,0.0003822960739689173
34,H,35,0.2333,0.947,0.23328,0.23252,-2.0000000000020002e-05,0.0007800000000000029,0.00037999999999999146,0.0006344488036079953
35,H,36,0.23089,0.9482,0.23035,0.23131,-0.0005400000000000127,-0.00041999999999997595,-0.0004799999999999943,-0.0003416262788658228
36,H,37,0.24808,0.9399,0.27831,0.20677,0.030230000000000007,0.041309999999999986,0.035769999999999996,0.03360138471416176
37,H,38,0.22227,0.9531,0.31187,0.19696,0.08959999999999999,0.02531,0.05745499999999999,0.020587050281177306
38,H,39,0.22872,0.9495,0.30398,0.20462,0.07525999999999997,0.02410000000000001,0.04967999999999999,0.019602841239682867
