,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,C,1,-0.73897,3.847,-0.74259,-0.71919,-0.0036199999999999566,-0.01978000000000002,-0.011699999999999988,-0.01641126506149915
1,C,2,0.5374,3.9,0.5455,0.3392,0.008099999999999996,0.1982,0.10314999999999999,0.16444452655152317
2,O,3,-0.7068,1.8685,-0.59751,-0.87103,0.10929,0.16423,0.13676,0.13625996264155726
3,C,4,-0.24373,3.9861,-0.03672,-0.23628,0.20701,-0.007450000000000012,0.09978,-0.006181189317905397
4,C,5,0.10669,3.8974,0.07638,-0.13468,-0.03030999999999999,0.24136999999999997,0.10553,0.20026223700172122
5,N,6,-0.35805,3.477,-0.18818,-0.39202,0.16987,0.03397,0.10192,0.028184563909965904
6,C,7,-0.21743,3.8586,-0.23493,-0.2113,-0.017499999999999988,-0.006130000000000024,-0.011815000000000006,-0.005085998727350358
7,C,8,-0.41859,3.9208,-0.40982,-0.41718,0.00877,-0.0014100000000000223,0.003679999999999989,-0.0011698626762747294
8,C,9,-0.42201,3.9241,-0.42238,-0.42503,-0.00036999999999998145,0.0030200000000000227,0.0013250000000000206,0.002505663320815357
9,C,10,-0.39083,3.9251,-0.39064,-0.3917,0.00019000000000002348,0.0008699999999999819,0.0005300000000000027,0.0007218301619567214
10,C,11,-0.43462,3.9198,-0.43438,-0.43459,0.00024000000000001798,-3.0000000000030003e-05,0.00010499999999999399,-2.4890695239912357e-05
11,C,12,-0.01042,4.0159,-0.0107,-0.01003,-0.000279999999999999,-0.0003899999999999997,-0.00033499999999999936,-0.0003235790381185368
12,C,13,-0.24057,3.9587,-0.23952,-0.24381,0.0010499999999999954,0.003239999999999993,0.002144999999999994,0.0026881950859078403
13,C,14,-0.22783,3.9585,-0.22756,-0.22976,0.00026999999999999247,0.0019299999999999873,0.0010999999999999899,0.001601301393766083
14,C,15,-0.24796,3.9587,-0.2475,-0.24912,0.00046000000000001595,0.0011599999999999944,0.0008100000000000052,0.0009624402159423106
15,C,16,-0.2267,3.9588,-0.22821,-0.2252,-0.0015099999999999836,-0.0015000000000000013,-0.0015049999999999925,-0.0012445347619943743
16,C,17,-0.23909,3.9594,-0.23842,-0.24352,0.0006700000000000039,0.0044299999999999895,0.0025499999999999967,0.00367552599709004
17,C,18,-0.07153,3.9059,-0.02247,-0.08338,0.04905999999999999,0.01185,0.030454999999999996,0.009831824619755548
18,C,19,0.00134,4.0091,0.1568,-0.10203,0.15546,0.10336999999999999,0.129415,0.0857650388982389
19,C,20,-0.65258,3.8602,-0.673,-0.64299,-0.020419999999999994,-0.009590000000000098,-0.015005000000000046,-0.007956725578350775
20,C,21,-0.46023,3.9177,-0.51793,-0.44866,-0.05770000000000003,-0.01156999999999997,-0.034635,-0.00959951146418324
21,H,22,0.23845,0.9445,0.25116,0.219,0.012709999999999999,0.019449999999999995,0.016079999999999997,0.01613746741386037
22,H,23,0.24803,0.9391,0.26114,0.21253,0.013109999999999983,0.035500000000000004,0.024304999999999993,0.02945398936720017
23,H,24,0.2467,0.94,0.25921,0.2126,0.012509999999999993,0.03409999999999999,0.023304999999999992,0.02829242358933874
24,H,25,0.24258,0.9427,0.27038,0.20874,0.02780000000000002,0.03383999999999998,0.03082,0.028076704230593042
25,H,26,0.22392,0.9514,0.24361,0.21066,0.019689999999999985,0.013260000000000022,0.016475000000000004,0.011001687296030276
26,H,27,0.22214,0.9523,0.25179,0.20799,0.02965000000000001,0.014149999999999996,0.021900000000000003,0.011740111254813584
27,H,28,0.2227,0.9518,0.23984,0.20911,0.01713999999999999,0.013590000000000019,0.015365000000000004,0.011275484943669036
28,H,29,0.2121,0.9568,0.22131,0.20643,0.009209999999999996,0.005670000000000008,0.007440000000000002,0.004704341400338738
29,H,30,0.21421,0.957,0.21061,0.22034,-0.00360000000000002,-0.0061299999999999966,-0.004865000000000008,-0.005085998727350336
30,H,31,0.2077,0.9588,0.21344,0.20318,0.005739999999999995,0.004519999999999996,0.005129999999999996,0.003750198082809708
31,H,32,0.21268,0.9563,0.21577,0.20935,0.0030899999999999817,0.0033299999999999996,0.0032099999999999906,0.0027628671716275082
32,H,33,0.20573,0.9596,0.20758,0.20397,0.0018499999999999905,0.0017599999999999838,0.0018049999999999872,0.001460254120740051
33,H,34,0.21811,0.9541,0.21925,0.21715,0.0011400000000000021,0.0009599999999999886,0.0010499999999999954,0.0007965022476763894
34,H,35,0.22819,0.9493,0.22991,0.22657,0.0017199999999999993,0.0016200000000000103,0.0016700000000000048,0.0013440975429539316
35,H,36,0.23006,0.9484,0.23076,0.22894,0.0007000000000000062,0.0011199999999999821,0.0009099999999999941,0.0009292526222891171
36,H,37,0.23215,0.9472,0.23278,0.23115,0.0006299999999999917,0.0010000000000000009,0.0008149999999999963,0.0008296898413295828
37,H,38,0.23355,0.9467,0.23417,0.23234,0.0006199999999999817,0.0012100000000000166,0.0009149999999999991,0.001003924708008808
38,H,39,0.23364,0.9469,0.23448,0.23201,0.0008400000000000074,0.0016299999999999926,0.001235,0.0013523944413672128
39,H,40,0.22956,0.9487,0.23038,0.22832,0.0008200000000000152,0.0012399999999999911,0.0010300000000000031,0.0010288154032486745
40,H,41,0.23319,0.9473,0.26162,0.21361,0.02843000000000001,0.019580000000000014,0.024005000000000012,0.01624532709323323
41,H,42,0.22768,0.9499,0.25672,0.21117,0.02904000000000001,0.016509999999999997,0.022775000000000004,0.013698179280351398
42,H,43,0.22869,0.9487,0.24366,0.21952,0.014969999999999983,0.009170000000000011,0.012069999999999997,0.007608255844992278
43,H,44,0.22648,0.9507,0.2579,0.20847,0.03142000000000003,0.018009999999999998,0.024715000000000015,0.014942714042345772
44,H,45,0.22515,0.9525,0.30167,0.20373,0.07652,0.021419999999999995,0.04897,0.017771956401279643
45,H,46,0.2191,0.9557,0.30464,0.19542,0.08554000000000003,0.02367999999999998,0.054610000000000006,0.019647055442684486
