,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,H,1,0.23939,0.9435,0.26401,0.21697,0.02462000000000003,0.022419999999999995,0.023520000000000013,0.01850348098287868
1,C,2,-0.23163,3.9543,-0.07883,-0.36648,0.1528,0.13484999999999997,0.14382499999999998,0.1112932386503653
2,C,3,-0.0442,3.8983,-0.02349,-0.09892,0.020710000000000003,0.05471999999999999,0.037715,0.04516103833109373
3,N,4,-0.37698,3.4625,-0.21254,-0.3771,0.16443999999999998,0.00012000000000000899,0.08227999999999999,9.90373647611779e-05
4,C,5,0.10468,3.9594,0.09063,0.11574,-0.014049999999999993,-0.01106,-0.012554999999999997,-0.009127943785487879
5,C,6,-0.22424,3.9511,-0.18081,-0.24157,0.043429999999999996,0.017330000000000012,0.030380000000000004,0.014302646094259047
6,C,7,-0.28802,3.9494,-0.27449,-0.29245,0.013529999999999986,0.0044299999999999895,0.008979999999999988,0.0036561293824332016
7,C,8,0.2772,3.9301,0.32775,0.25667,0.050549999999999984,0.020529999999999993,0.03553999999999999,0.016943642487890244
8,O,9,-0.68301,1.9171,-0.65264,-0.69061,0.030370000000000008,0.00759999999999994,0.018984999999999974,0.006272366434874081
9,C,10,-0.27509,3.9513,-0.26179,-0.28047,0.013299999999999979,0.005379999999999996,0.009339999999999987,0.004440175186792473
10,C,11,-0.2236,3.9504,-0.18174,-0.24009,0.04185999999999998,0.016490000000000005,0.029174999999999993,0.013609384540930847
11,C,12,0.10176,3.8936,0.08386,-0.16766,-0.0179,0.26942,0.12576,0.2223553901162879
12,C,13,-0.259,3.9692,-0.07621,-0.36364,0.18279,0.10464000000000001,0.143715,0.08636058207174066
13,C,14,0.32349,3.9928,0.30488,0.26221,-0.018610000000000015,0.06128,0.021334999999999993,0.050575080938037725
14,N,15,-0.45404,2.9903,-0.34146,-0.62803,0.11258000000000001,0.17398999999999998,0.143285,0.14359592578996708
15,C,16,-0.44429,3.9052,-0.49015,-0.42991,-0.045859999999999956,-0.014380000000000004,-0.03011999999999998,-0.011867977543880266
16,H,17,0.24381,0.9417,0.2676,0.22206,0.023790000000000006,0.02174999999999999,0.02277,0.017950522362962143
17,H,18,0.24717,0.94,0.26033,0.24101,0.013160000000000005,0.006159999999999999,0.009660000000000002,0.005083918057740083
18,H,19,0.24575,0.9408,0.2581,0.24026,0.01235,0.005489999999999995,0.008919999999999997,0.004530959437823545
19,H,20,0.51599,0.7354,0.52298,0.51368,0.006990000000000052,0.0023099999999999232,0.0046499999999999875,0.0019064692716524684
20,H,21,0.2461,0.9406,0.25842,0.24092,0.01231999999999997,0.005180000000000018,0.008749999999999994,0.00427511291219054
21,H,22,0.24724,0.9399,0.26029,0.24133,0.013050000000000034,0.005909999999999999,0.009480000000000016,0.004877590214487645
22,H,23,0.25293,0.9372,0.27746,0.21326,0.024529999999999996,0.03966999999999998,0.03209999999999999,0.032740102167296926
23,H,24,0.2293,0.9495,0.29895,0.20637,0.06964999999999999,0.022930000000000006,0.04629,0.018924389783113664
24,H,25,0.22931,0.9495,0.29891,0.20643,0.0696,0.02288000000000001,0.04624,0.01888312421446318
