,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,C,1,-0.65294,3.8583,-0.66958,-0.64504,-0.016639999999999988,-0.007900000000000018,-0.012270000000000003,-0.0070435972549633494
1,C,2,0.01559,4.0082,0.14363,-0.07204,0.12804000000000001,0.08763000000000001,0.10783500000000001,0.07813043385473886
2,C,3,-0.06977,3.8941,-0.02999,-0.0764,0.039779999999999996,0.006629999999999997,0.023204999999999996,0.005911272126633782
3,N,4,-0.35164,3.4939,-0.20826,-0.37855,0.14338,0.02690999999999999,0.085145,0.023992810396337116
4,C,5,0.10195,3.9599,0.08591,0.11702,-0.01604,-0.01507,-0.015555,-0.013436330459784485
5,C,6,-0.22142,3.95,-0.18434,-0.24072,0.03708,0.019299999999999984,0.028189999999999993,0.01720777557225218
6,C,7,-0.27529,3.9512,-0.26447,-0.27959,0.010819999999999996,0.004300000000000026,0.007560000000000011,0.0038338567337142426
7,C,8,0.27962,3.93,0.32305,0.25799,0.043430000000000024,0.021629999999999983,0.03253,0.019285190965171745
8,O,9,-0.68226,1.9189,-0.65702,-0.69027,0.02523999999999993,0.008010000000000073,0.016625,0.007141672659779343
9,C,10,-0.28831,3.9493,-0.27714,-0.29181,0.011170000000000013,0.003500000000000003,0.007335000000000008,0.00312058106232553
10,C,11,-0.22106,3.9509,-0.18318,-0.24056,0.03788,0.01949999999999999,0.028689999999999993,0.017386094490099358
11,C,12,0.11923,3.8866,0.09351,-0.13001,-0.025720000000000007,0.24924,0.11176,0.222221035421147
12,C,13,-0.2561,3.9806,-0.0683,-0.24445,0.1878,-0.011649999999999994,0.088075,-0.010387076964597822
13,C,14,0.37305,3.8501,0.38128,0.14867,0.008230000000000015,0.22438,0.116305,0.20005599393274337
14,O,15,-0.68242,1.8911,-0.57452,-0.85372,0.1079,0.1713,0.1396,0.1527301531361037
15,C,16,-0.45859,3.912,-0.5063,-0.45063,-0.047709999999999975,-0.007960000000000023,-0.027835,-0.0070970929303175055
16,H,17,0.2306,0.9478,0.24335,0.22256,0.012750000000000011,0.008039999999999992,0.010395000000000001,0.007168420497456347
17,H,18,0.2296,0.9491,0.25545,0.21545,0.025850000000000012,0.014149999999999996,0.020000000000000004,0.012616063437687485
18,H,19,0.22916,0.9494,0.25469,0.21476,0.025530000000000025,0.014399999999999996,0.01996500000000001,0.012838962084996453
19,H,20,0.23949,0.9442,0.26309,0.22266,0.023599999999999982,0.01683000000000001,0.020214999999999997,0.015005536936839618
20,H,21,0.2479,0.9396,0.25918,0.24185,0.011280000000000012,0.00605,0.008665000000000006,0.005394147264876983
21,H,22,0.24632,0.9405,0.257,0.24111,0.010679999999999995,0.00521000000000002,0.007945000000000008,0.004645207809918874
22,H,23,0.51641,0.735,0.52236,0.51401,0.005950000000000011,0.0024000000000000687,0.00417500000000004,0.0021398270141661374
23,H,24,0.2461,0.9406,0.25678,0.24065,0.010679999999999995,0.00545000000000001,0.008065000000000003,0.004859190511335473
24,H,25,0.24809,0.9395,0.25953,0.24217,0.011439999999999978,0.005920000000000009,0.008679999999999993,0.005278239968276329
25,H,26,0.24663,0.9418,0.2703,0.21384,0.023669999999999997,0.032789999999999986,0.02822999999999999,0.029235386581044
26,H,27,0.13744,0.9846,0.16203,0.0911,0.02459,0.046340000000000006,0.035465,0.04131649326518999
27,H,28,0.22697,0.9509,0.29528,0.20557,0.06830999999999998,0.021400000000000002,0.04485499999999999,0.01908012420964751
28,H,29,0.22566,0.9516,0.29667,0.20436,0.07100999999999999,0.021299999999999986,0.04615499999999999,0.018990964750723913
