,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,C,1,-0.7363,3.8466,-0.73992,-0.71686,-0.0036200000000000676,-0.019439999999999902,-0.011529999999999985,-0.01609005248220218
1,C,2,0.5306,3.8999,0.5406,0.3325,0.010000000000000009,0.19809999999999994,0.10404999999999998,0.16396293193026068
2,O,3,-0.7001,1.8721,-0.59678,-0.86438,0.10331999999999997,0.1642800000000001,0.13380000000000003,0.13597087560577106
3,C,4,-0.2342,3.9865,-0.04096,-0.23205,0.19324,-0.0021499999999999853,0.095545,-0.0017795068331653615
4,C,5,0.10396,3.8994,0.07663,-0.14732,-0.027329999999999993,0.25128,0.111975,0.20797882652920704
5,N,6,-0.36256,3.4738,-0.19842,-0.39287,0.16413999999999998,0.030310000000000004,0.09722499999999999,0.02508690795964767
6,C,7,-0.21172,3.8569,-0.22921,-0.20368,-0.017490000000000006,-0.008039999999999992,-0.012764999999999999,-0.00665452787844167
7,C,8,-0.45213,3.9128,-0.44341,-0.45712,0.00871999999999995,0.00499000000000005,0.006855,0.004130111208137351
8,C,9,-0.00562,4.0157,-0.01894,0.00256,-0.013319999999999999,-0.00818,-0.01075,-0.006770402741996632
9,C,10,-0.23745,3.9578,-0.23121,-0.24084,0.0062399999999999956,0.003390000000000004,0.004815,0.002805827053223546
10,C,11,-0.19569,3.9578,-0.19322,-0.19842,0.00247,0.00273000000000001,0.002600000000000005,0.0022595598393216226
11,C,12,-0.18246,4.0097,-0.1747,-0.18675,0.007760000000000017,0.004289999999999988,0.006025000000000003,0.003550736890362527
12,C,13,0.72932,3.8903,0.72856,0.72964,-0.0007599999999999829,-0.00031999999999998696,-0.0005399999999999849,-0.0002648568309827425
13,O,14,-0.81759,1.7439,-0.81542,-0.81895,0.0021700000000000053,0.0013599999999999168,0.001764999999999961,0.0011256415316766328
14,O,15,-0.81772,1.7437,-0.81507,-0.81948,0.002650000000000041,0.0017599999999999838,0.0022050000000000125,0.0014567125704051298
15,C,16,-0.19556,3.958,-0.19393,-0.19717,0.0016300000000000203,0.0016100000000000003,0.0016200000000000103,0.0013325609308819778
16,C,17,-0.23507,3.9583,-0.23397,-0.23474,0.0010999999999999899,-0.00032999999999999696,0.00038499999999999646,-0.0002731336069509618
17,C,18,-0.06005,3.9032,-0.0093,-0.06913,0.05075,0.009079999999999998,0.029914999999999997,0.007515312579135624
18,C,19,-0.00697,4.0089,0.16027,-0.11174,0.16724,0.10477,0.136005,0.08671578181894708
19,C,20,-0.65165,3.8607,-0.67408,-0.64197,-0.02243000000000006,-0.009679999999999911,-0.016054999999999986,-0.008011919137228214
20,C,21,-0.45902,3.919,-0.51605,-0.44742,-0.057030000000000025,-0.0116,-0.03431500000000001,-0.009601060123124807
21,H,22,0.24714,0.9396,0.25953,0.21257,0.012389999999999984,0.03456999999999999,0.023479999999999987,0.02861281452210556
22,H,23,0.23847,0.9445,0.25062,0.21911,0.012150000000000022,0.01935999999999999,0.015755000000000005,0.016023838274456567
23,H,24,0.24736,0.9395,0.25973,0.21256,0.01237000000000002,0.0348,0.02358500000000001,0.02880318036937442
24,H,25,0.24163,0.9432,0.26869,0.20821,0.027059999999999973,0.033420000000000005,0.03023999999999999,0.027660985285761303
25,H,26,0.22707,0.9499,0.2479,0.21439,0.020830000000000015,0.012679999999999997,0.016755000000000006,0.010494951927691598
26,H,27,0.22951,0.9487,0.25591,0.21014,0.026400000000000035,0.01937,0.022885000000000016,0.016032115050424785
27,H,28,0.24052,0.9435,0.25838,0.23183,0.017859999999999987,0.008690000000000003,0.013274999999999995,0.007192518316375397
28,H,29,0.22942,0.9488,0.23925,0.22463,0.009829999999999978,0.0047900000000000165,0.007309999999999997,0.0039645756887731025
29,H,30,0.23166,0.9476,0.23443,0.22996,0.0027699999999999947,0.001700000000000007,0.002235000000000001,0.0014070519145958828
30,H,31,0.23809,0.9448,0.24019,0.23666,0.0020999999999999908,0.0014299999999999868,0.0017649999999999888,0.001183578963454168
31,H,32,0.23841,0.9447,0.24047,0.23719,0.0020599999999999785,0.0012199999999999989,0.0016399999999999887,0.0010097666681217461
32,H,33,0.23243,0.9475,0.23525,0.23116,0.002819999999999989,0.0012699999999999934,0.0020449999999999913,0.0010511505479627967
33,H,34,0.23397,0.947,0.26382,0.21441,0.029849999999999988,0.019560000000000022,0.024705000000000005,0.016189373793820815
34,H,35,0.2287,0.9487,0.24409,0.21961,0.015390000000000015,0.009089999999999987,0.012240000000000001,0.0075235893551038255
35,H,36,0.227,0.9505,0.25862,0.20992,0.03162000000000001,0.017080000000000012,0.02435000000000001,0.014136733353704467
36,H,37,0.22532,0.9511,0.25805,0.20781,0.03273000000000001,0.017509999999999998,0.025120000000000003,0.01449263472033753
37,H,38,0.22026,0.9548,0.30151,0.19742,0.08124999999999999,0.02284,0.052044999999999994,0.018904156311394017
38,H,39,0.22102,0.9546,0.30208,0.19861,0.08106000000000002,0.022409999999999985,0.051735,0.01854825494476093
