,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,H,1,0.22693,0.9495,0.25516,0.22545,0.028230000000000005,0.0014799999999999813,0.014854999999999993,0.0010959088432266296
1,C,2,-0.26603,3.956,-0.08067,-0.27088,0.18535999999999997,0.004850000000000021,0.095105,0.003591322898411651
2,C,3,-0.04636,3.9147,-0.02702,-0.0448,0.01934,-0.0015599999999999989,0.00889,-0.0011551471590767314
3,N,4,-0.39494,3.4129,-0.18946,-0.3972,0.20548000000000002,0.0022599999999999842,0.10387,0.001673482422764998
4,C,5,-0.20805,3.8681,-0.23086,-0.21452,-0.022809999999999997,0.006469999999999976,-0.00817000000000001,0.004790898794375917
5,C,6,-0.45328,3.9156,-0.43943,-0.43385,0.013850000000000029,-0.019430000000000003,-0.002789999999999987,-0.01438750596209033
6,C,7,-0.00339,4.0147,-0.0114,-0.18968,-0.00801,0.18628999999999998,0.08914,0.1379438232464131
7,C,8,-0.2382,3.9582,-0.22958,-0.27724,0.008619999999999989,0.03903999999999999,0.02382999999999999,0.028908298134843347
8,C,9,-0.19554,3.9579,-0.19515,-0.27878,0.00039000000000000146,0.08323999999999998,0.04181499999999999,0.06163746764201742
9,C,10,-0.18447,4.0093,-0.17473,-0.34283,0.009739999999999999,0.15836000000000003,0.08405000000000001,0.11726224622525087
10,C,11,0.72938,3.8904,0.72845,0.66788,-0.0009299999999999864,0.0615,0.030285000000000006,0.0455394553097558
11,O,12,-0.81829,1.7429,-0.81574,-0.90457,0.002549999999999941,0.08628000000000002,0.04441499999999998,0.06388852364432084
12,O,13,-0.81812,1.7432,-0.8156,-0.90454,0.0025199999999999667,0.08642000000000005,0.04447000000000001,0.06399219069705851
13,C,14,-0.19551,3.958,-0.19515,-0.28487,0.0003599999999999992,0.08936000000000002,0.04486000000000001,0.06616919880454925
14,C,15,-0.23783,3.9579,-0.22913,-0.27259,0.008700000000000013,0.034759999999999985,0.02173,0.025739048236863588
15,C,16,0.03652,3.9156,0.03151,0.03565,-0.005009999999999994,0.0008699999999999958,-0.002069999999999999,0.000644216684869713
16,C,17,-0.23228,3.9944,-0.01584,-0.23976,0.21644,0.007480000000000014,0.11196,0.005538782531983317
17,C,18,0.7188,3.8952,0.69829,0.71802,-0.020510000000000028,0.0007800000000000029,-0.009865000000000013,0.0005775735795383683
18,O,19,-0.84955,1.7008,-0.79035,-0.85221,0.05920000000000003,0.0026599999999999957,0.030930000000000013,0.0019696740020154506
19,O,20,-0.83764,1.7172,-0.79011,-0.8409,0.04753000000000007,0.0032599999999999296,0.025395,0.002413961370891068
20,C,21,-0.46368,3.9226,-0.52286,-0.46227,-0.05918000000000001,-0.0014099999999999668,-0.03029499999999999,-0.0010440753168577913
21,H,22,0.23048,0.9482,0.2592,0.22925,0.028719999999999996,0.0012299999999999811,0.014974999999999988,0.0009107891061951019
22,H,23,0.2214,0.9527,0.24677,0.21397,0.025369999999999976,0.00743000000000002,0.016399999999999998,0.005501758584577016
23,H,24,0.21942,0.9536,0.24599,0.21204,0.026569999999999983,0.007379999999999998,0.01697499999999999,0.0054647346371706935
24,H,25,0.22913,0.9491,0.23932,0.20744,0.010190000000000005,0.021689999999999987,0.015939999999999996,0.016060988384855326
25,H,26,0.22942,0.9489,0.23981,0.2094,0.010389999999999983,0.02002000000000001,0.015204999999999996,0.01482438854148474
26,H,27,0.23121,0.9478,0.23344,0.20637,0.0022300000000000098,0.02484,0.013535000000000005,0.018393497071452585
27,H,28,0.23788,0.9449,0.23978,0.21132,0.001899999999999985,0.02656,0.014229999999999993,0.019667120862229496
28,H,29,0.23781,0.9449,0.23972,0.211,0.001909999999999995,0.02681,0.014359999999999998,0.019852240599261023
29,H,30,0.23173,0.9475,0.23397,0.20691,0.0022400000000000198,0.02481999999999998,0.01353,0.018378687492490046
30,H,31,0.23428,0.9474,0.26387,0.23275,0.029590000000000005,0.0015299999999999758,0.01555999999999999,0.0011329327906329312
31,H,32,0.20947,0.9595,0.30338,0.20684,0.09391,0.0026299999999999935,0.04826999999999999,0.0019474596335716657
32,H,33,0.21927,0.9541,0.2944,0.21723,0.07513,0.0020399999999999863,0.038584999999999994,0.0015105770541772553
