code_name,dG_C4,dG_C5,C1=CNC=CC1_N_partial charges,C1=CNC=CC1_N_mulliken charges,C1=CNC=CC1_N_cm5 charges,C1=CNC=CC1_N_FUKUI+,C1=CNC=CC1_N_FUKUI-,C1=CNC=CC1_N_FUKUIrad,C1=CNC=CC1_N_s proportion,C1=CNC=CC1_N_p proportion,C1=CNC=CC1_N_d proportion,C1=CNC=CC1_N_Coordination numbers,C1=CNC=CC1_N_Dispersion coefficient C6,C1=CNC=CC1_N_Polarizability alpha,C1=CNC=CC1_N_FOD,C1=CNC=CC1_N_FOD s proportion,C1=CNC=CC1_N_FOD p proportion,HOMO-LUMO gap/eV,Dipole module/D,Total charge,HOMO,LUMO,Fermi-level/eV,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,TPSA,FractionCSP3,MolLogP,MolMR
A1a_reduced,-43.54808355,-134.6943374,0.003081212,0.088441984,0.099787571,-0.035915919,-0.016036035,-0.025975977,1.014012012,2.897048046,0,2.859975977,27.95161259,8.666084081,0.011190391,0.0,0.010987988,2.762251604,4.109593676,0.0,-9.240132735,-6.477904772,-7.859067553,11.60421438,11.60421438,0.035115741,-3.072042706,0.562462311,40.2,138.17,128.09,138.0793129,54,0.245913242,-0.365820611,0.365820611,0.245913242,2.3,3.2,3.9,2.234166297,3.605772891,504.2257214,16.04145188,14.80267548,4.802675481,8.830127019,7.242978527,2.348551336,1.489169559,1.489169559,0.792677368,0.792677368,0.415345789,0.415345789,-1.25,9805.755876,1.494888889,2.557605251,1.37283737,73.97093123,46.33,0.285714286,0.2048,38.7974
A1b_reduced,-43.05246348,-131.0621577,-0.029577896,-0.213655637,-0.488779742,-0.047060234,-0.11,-0.079,1.422150585,3.791090351,0,2.741,21.81695088,6.937264913,0.021005409,0.0,0.021090351,2.748524015,4.569306024,0.0,-9.122035659,-6.373476222,-7.747754434,11.83083003,11.83083003,0.090509259,-3.27262141,0.597544471,41.63636364,152.197,140.101,152.094963,60,0.245923637,-0.36582046,0.36582046,0.245923637,2.090909091,3.0,3.636363636,2.214065342,3.828104545,582.8485557,18.54145188,17.30267548,5.302675481,10.04145188,8.492978527,2.598551336,1.739169559,1.739169559,0.911079067,0.911079067,0.533747488,0.533747488,-1.25,28069.92041,1.57798256,2.779752066,1.832447573,83.14581434,46.33,0.375,0.5949,43.4144
A2a_reduced,-49.2154525,-130.6636975,0.00386795,0.08672,0.09739,-0.037,-0.017,-0.027,1.015,2.898,0,2.857,27.932,8.663,0.0115,0.0,0.011,2.68426269,6.186,0.0,-9.5037,-6.8194,-8.1615,8.739248394,8.739248394,0.189699074,-2.903703704,0.480619356,40.11111111,120.155,112.091,120.0687483,46,0.096530969,-0.35656937,0.35656937,0.096530969,2.222222222,3.111111111,3.777777778,2.126454421,3.534811136,451.4746027,13.59385813,12.39442719,4.394427191,7.546764616,6.144427191,2.144427191,1.295820393,1.295820393,0.690615295,0.690615295,0.367008497,0.367008497,-1.23,2755.88493,1.431973462,2.361300002,1.327987601,65.93604385,27.03,0.285714286,1.24308,35.216
A2b_reduced,-48.75267125,-126.8472424,-0.03424975,-0.21482,-0.48924,-0.052,-0.111,-0.082,1.421,3.793,0,2.742,21.905,6.951,0.0236,0.0,0.024,2.67838379,6.332,0.0,-9.3557,-6.6773,-8.0165,8.90463955,8.90463955,0.064074074,-3.104282407,0.503175679,41.7,134.182,124.102,134.0843983,52,0.096541607,-0.356306331,0.356306331,0.096541607,2.0,2.9,3.5,2.097201132,3.745469216,528.9315207,16.09385813,14.89442719,4.894427191,8.758089482,7.394427191,2.394427191,1.545820393,1.545820393,0.809016994,0.809016994,0.485410197,0.485410197,-1.23,7851.921038,1.502841176,2.57066468,1.382160574,75.11092696,27.03,0.375,1.63318,39.833
A5a_reduced,-35.17765,-140.867475,0.00596275,0.08134,0.09329,-0.065,-0.007,-0.036,1.012,2.907,0,2.861,27.884,8.655,0.0242,0.0,0.024,2.6435877,15.014,-1.0,-4.4985,-1.8549,-3.1767,10.79865882,10.79865882,0.001782407,-3.05787037,0.488885817,37.8,138.146,130.082,138.0560521,54,0.082128299,-0.545097139,0.545097139,0.082128299,2.2,3.0,3.6,2.105683114,3.588727736,462.5561595,14.46410162,12.76371018,4.763710176,7.919443416,6.329068684,2.329068684,1.471474473,1.471474473,0.782936041,0.782936041,0.41073223,0.41073223,-1.25,3783.912556,1.87319002,2.557605251,1.37283737,70.49922002,43.37,0.285714286,-0.5306,34.61
A5b_reduced,-34.448495,-137.7553888,-0.10097716,-0.2647,-0.52902,-0.046,-0.087,-0.067,1.441,3.824,0,2.738,23.219,7.157,0.0063,0.0,0.006,2.69395009,15.966,-1.0,-4.4884,-1.7945,-3.1415,11.02527447,11.02527447,0.123842593,-3.258449074,0.524912681,39.45454545,152.173,142.093,152.0717021,60,0.082128668,-0.545096957,0.545096957,0.082128668,2.0,2.818181818,3.363636364,2.070560113,3.801144466,540.2413996,16.96410162,15.26371018,5.263710176,9.130768282,7.579068684,2.579068684,1.721474473,1.721474473,0.901337741,0.901337741,0.52913393,0.52913393,-1.25,10746.20699,1.913755808,2.779752066,1.832447573,79.67410313,43.37,0.375,-0.1405,39.227
A3a_reduced,-46.15727171,-131.6128527,0.001290543,0.084863861,0.095608359,-0.027872491,-0.017127509,-0.022957497,1.014957497,2.900212514,0,2.859872491,27.99346517,8.672382526,0.011342503,0.0,0.011042503,2.457166819,4.842514653,0.0,-9.410676626,-6.953476973,-8.182126799,11.81254771,11.81254771,0.018217593,-3.296423375,0.542739019,43.6,137.182,126.094,137.084064,54,0.157062172,-0.35715893,0.35715893,0.157062172,2.1,3.0,3.7,2.223062892,3.658304298,537.4069328,16.96410162,15.85546189,4.855461886,9.130768282,7.874944538,2.374944538,1.51314114,1.51314114,0.805873969,0.805873969,0.421595789,0.421595789,-1.05,12638.11254,1.421253321,2.689062691,1.467165814,76.28483988,20.31,0.375,1.3085,40.284
A3b_reduced,-45.18602732,-128.2432712,-0.021350911,-0.202963182,-0.478890156,-0.052028388,-0.102,-0.077028388,1.424971612,3.778085165,0,2.741028388,21.66195239,6.912482602,0.02782207,0.0,0.028113553,2.449601371,5.191858111,0.0,-9.287672067,-6.838040796,-8.062832143,12.03916336,12.03916336,0.143842593,-3.421848545,0.568162651,44.72727273,151.209,138.105,151.099714,60,0.157072471,-0.356895894,0.356895894,0.157072471,1.909090909,2.818181818,3.454545455,2.200821908,3.876009381,616.8243021,19.46410162,18.35546189,5.355461886,10.34209315,9.124944538,2.624944538,1.76314114,1.76314114,0.924275668,0.924275668,0.539997488,0.539997488,-1.05,36141.89738,1.51322592,2.906758007,1.93423955,85.459723,20.31,0.444444444,1.6986,44.901
A4a_reduced,-48.16462131,-130.8688678,0.000124493,0.082478139,0.092629886,-0.02694498,-0.018703347,-0.023,1.015648327,2.902406694,0,2.859296653,28.02093534,8.676461714,0.012470335,0.0,0.012351673,2.330769541,5.953295075,0.0,-9.568878956,-7.238085877,-8.4035,11.02088105,11.02088105,0.081782407,-3.002314815,0.483059397,42.22222222,123.155,114.083,123.0684139,48,0.147300131,-0.357169555,0.357169555,0.147300131,2.333333333,3.222222222,3.888888889,2.105683114,3.588727736,460.0268345,14.46410162,13.35546189,4.355461886,7.919443416,6.624944538,2.124944538,1.286079067,1.286079067,0.680873969,0.680873969,0.362394939,0.362394939,-1.05,3783.912556,1.336587308,2.485264261,1.420257084,67.10995677,20.31,0.285714286,0.9184,35.667
A4b_reduced,-48.34120517,-125.567917,-0.017768325,-0.199414919,-0.475191526,-0.056788151,-0.103,-0.080394076,1.425211849,3.774394076,0,2.741,21.59494525,6.901758529,0.031794076,0.0,0.031394076,2.323135967,6.194392457,0.0,-9.432874055,-7.109688601,-8.271281328,11.24749669,11.24749669,0.043842593,-3.202893519,0.507710838,43.6,137.182,126.094,137.084064,54,0.147310432,-0.356906519,0.356906519,0.147310432,2.1,3.0,3.6,2.070560113,3.801144466,537.4069328,16.96410162,15.85546189,4.855461886,9.130768282,7.874944538,2.374944538,1.536079067,1.536079067,0.799275668,0.799275668,0.480796638,0.480796638,-1.05,10746.20699,1.421253321,2.689062691,1.467165814,76.28483988,20.31,0.375,1.3085,40.284
