Cofactor,dG_C5,N1_NBO-q,C2_NBO-q,C3_NBO-q,C5_NBO-q,C3_f-,C3sub_f-,C4H_f-,C4H_NBO-q,Set,dG_C5_pred
BMC_003,-130.6636975,-0.36861,0.10712,-0.2804,-0.23767,0.22363,-0.02274,0.08272,0.22491,Training,-131.1541956733762
BMC_004,-126.8472424,-0.35705,0.10688,-0.29084,-0.00496,0.22391,-0.02158,0.081285,0.22207,Training,-127.98699929090618
BMC_005,-140.867475,-0.39464,0.0381,-0.23373,-0.26507,0.2211,-0.02079,0.08531,0.213985,Training,-139.96640125256178
BMC_006,-137.7553888,-0.3854,0.04183,-0.24395,-0.03104,0.22176,-0.0197,0.08427,0.21077,Training,-137.01091747698226
BMC_007,-131.6128527,-0.35698,0.11019,-0.23959,-0.22151,0.21904,0.00767,0.083475,0.222855,Training,-131.69382525393002
BMC_008,-128.2432712,-0.34575,0.10811,-0.24452,0.00787,0.21414,0.01003,0.0813,0.22082,Training,-127.96977979855367
BMC_009,-130.8688678,-0.35059,0.12497,-0.24174,-0.21264,0.20818,0.01512,0.08077,0.228515,Training,-127.31471312893206
BMC_010,-125.567917,-0.33933,0.12198,-0.24521,0.01579,0.20172,0.01754,0.078675,0.226465,Training,-123.5852216147753
BMC_012,-128.5231382,-0.35208,0.1031,-0.26508,0.00112,0.22522,-0.00368,0.08348,0.219515,Training,-129.45088605914347
BMC_013,-135.0070946,-0.37957,0.08988,-0.24446,-0.2434,0.22953,-0.01644,0.08504,0.21983,Training,-135.08867985792955
BMC_014,-132.1550827,-0.36982,0.08982,-0.25097,-0.01302,0.2262,-0.01458,0.083335,0.217485,Training,-131.58715135907042
BMC_015,-131.5169297,-0.37005,0.10485,-0.27743,-0.24398,0.21678,-0.02204,0.082105,0.22493,Training,-131.12833418490172
BMC_017,-140.9289558,-0.39431,0.03814,-0.23592,-0.26888,0.21911,-0.02072,0.085365,0.21349,Training,-140.28708469456748
BMC_018,-137.7867638,-0.38916,0.04694,-0.25284,-0.03258,0.22739,-0.02017,0.08484,0.209615,Training,-137.93763522989343
BMC_019,-133.1344808,-0.36249,0.12102,-0.25724,-0.22506,0.229,0.00207,0.08372,0.22301,Training,-131.92634288017905
BMC_020,-128.9028692,-0.35408,0.10828,-0.24444,0.00233,0.2101,0.00974,0.08129,0.220575,Training,-128.2853885512869
BMC_021,-128.8471929,-0.3607,0.12147,-0.23638,-0.22553,0.19584,0.01577,0.08118,0.227425,Training,-128.15028267319337
BMC_022,-123.6353216,-0.34925,0.11913,-0.24027,0.00243,0.1897,0.01837,0.07888,0.22547,Training,-124.36738749251376
BMC_023,-133.1842389,-0.37166,0.10353,-0.25738,-0.23385,0.22415,-0.00622,0.085475,0.2218,Training,-133.15055710166698
BMC_024,-129.9416957,-0.36067,0.10288,-0.26374,-0.00468,0.21957,-0.00395,0.083385,0.21951,Training,-129.5848116498087
BMC_025,-134.4758378,-0.38016,0.09007,-0.24407,-0.24317,0.22894,-0.01649,0.085025,0.21999,Training,-134.97601035552282
BMC_026,-131.7221079,-0.37024,0.09011,-0.2507,-0.01281,0.22588,-0.01465,0.08331,0.21759,Training,-131.51237877393922
BMC_028,-128.1207745,-0.36534,0.10698,-0.2894,-0.01007,0.21888,-0.02123,0.08114,0.222255,Training,-127.99576988022791
BMC_029,-141.4348934,-0.39803,0.04927,-0.24904,-0.26225,0.23301,-0.02228,0.08683,0.211245,Training,-141.89003686751278
BMC_030,-138.3884581,-0.38929,0.05071,-0.25678,-0.03056,0.23186,-0.02105,0.08532,0.20875,Training,-138.52022204668322
BMC_031,-132.1570431,-0.36027,0.10694,-0.23546,-0.23006,0.21039,0.00775,0.083145,0.222475,Training,-131.96217930757544
BMC_032,-129.4574604,-0.35572,0.10647,-0.24477,0.00352,0.20917,0.00929,0.08089,0.22197,Training,-127.42010379566221
BMC_033,-127.1578868,-0.35897,0.12518,-0.24241,-0.21733,0.20423,0.01485,0.08081,0.22818,Training,-127.67253100391889
BMC_034,-123.0531269,-0.34743,0.12291,-0.24602,0.01058,0.1979,0.01729,0.07861,0.22624,Training,-123.87281708809125
BMC_035,-133.0679294,-0.3666,0.10051,-0.25265,-0.23786,0.21876,-0.00571,0.084965,0.221725,Training,-133.05699749701276
BMC_037,-134.1968375,-0.3751,0.0861,-0.23815,-0.24656,0.2231,-0.01594,0.08469,0.22023,Training,-134.6727362590779
BMC_038,-130.1276251,-0.36519,0.08625,-0.24497,-0.01644,0.21953,-0.01406,0.08309,0.21767,Training,-131.29765843818896
BMC_039,-129.2166825,-0.37542,0.10751,-0.28238,-0.23952,0.22261,-0.02283,0.08286,0.22474,Training,-131.40296438267413
BMC_040,-126.756695,-0.36551,0.10625,-0.28903,-0.00955,0.21926,-0.02126,0.08126,0.222345,Training,-127.95382579779182
BMC_041,-139.4694081,-0.40352,0.02152,-0.22615,-0.27297,0.21198,-0.02033,0.087415,0.213865,Training,-140.34579870695066
BMC_042,-136.1003039,-0.39116,0.03912,-0.24138,-0.04327,0.21396,-0.01867,0.0851,0.20937,Training,-138.06053598259612
BMC_043,-130.4932975,-0.36791,0.10459,-0.23187,-0.23577,0.20453,0.00789,0.083875,0.22207,Training,-132.34833198340817
BMC_044,-127.9363957,-0.35379,0.11488,-0.2546,-0.00496,0.21444,0.00555,0.082205,0.220275,Training,-128.65135703507272
BMC_045,-125.7873665,-0.35325,0.12309,-0.23879,-0.2199,0.20075,0.01523,0.08071,0.22802,Training,-127.63287736714847
BMC_047,-132.3395143,-0.37176,0.10758,-0.26071,-0.23363,0.22759,-0.0074,0.085245,0.22263,Training,-132.67430560115372
BMC_049,-129.4105786,-0.38255,0.07764,-0.21143,-0.23054,0.19266,-0.01474,0.07533,0.226975,Training,-129.49984520575035
BMC_050,-126.1294028,-0.37333,0.07774,-0.21674,-0.00325,0.19,-0.01335,0.074235,0.224675,Training,-126.06131867084137
BMC_051,-125.8520276,-0.37884,0.10015,-0.25158,-0.22784,0.18769,-0.02,0.073565,0.231175,Training,-126.28105893214257
