Cofactor,LUMO,dG_C4,dG_C5,N1_NBO-q,Nsub_NBO-q,C2_NBO-q,C3_NBO-q,C3sub_NBO-q,C4_NBO-q,C5_NBO-q,C6_NBO-q,N1_f+,Nsub_f+,C2_f+,C3_f+,C4_f+,C5_f+,C6_f+,N1_f-,Nsub_f-,C2_f-,C3_f-,C3sub_f-,C4_f-,C5_f-,C6_f-,C4H_f-,C4H_f+,C4H_NBO-q,Set
A1a,-0.0101,-43.54808355,-134.6943374,-0.37334,-0.42368,0.08853,-0.24103,0.61756,-0.47157,-0.24122,-0.0456,0.00664,-0.00327,0.26171,0.07348,-0.0159,0.1496,0.05907,0.19333,-0.0209,-0.01853,0.2297,-0.01633,-0.06053,0.17746,0.02771,0.08503,0.02343,0.220155,Training
A1b,-0.0425,-43.05246348,-131.0621577,-0.36235,-0.42299,0.08923,-0.25018,0.61671,-0.46695,-0.00889,-0.0613,0.01483,-0.00283,0.26521,0.06415,-0.01771,0.12602,0.04597,0.18305,-0.02021,-0.02335,0.22884,-0.01453,-0.06161,0.16051,0.03876,0.083375,0.023955,0.217495,Training
A2a,-0.0294,-49.2154525,-130.6636975,-0.36861,-0.42399,0.10712,-0.2804,0.32284,-0.44247,-0.23767,-0.04611,0.00663,-0.00363,0.26959,0.09645,-0.01548,0.16415,0.07137,0.19065,-0.02048,-0.01513,0.22363,-0.02274,-0.05477,0.1771,0.03083,0.08272,0.024555,0.22491,Training
A2b,-0.0306,-48.75267125,-126.8472424,-0.35705,-0.42266,0.10688,-0.29084,0.32282,-0.43808,-0.00496,-0.06255,0.01419,-0.00275,0.27279,0.08906,-0.01785,0.14206,0.06036,0.17889,-0.01991,-0.01977,0.22391,-0.02158,-0.05606,0.16005,0.04253,0.081285,0.025685,0.22207,Training
A5a,-0.0145,-35.17765,-140.867475,-0.39464,-0.4249,0.0381,-0.23373,0.71825,-0.46438,-0.26507,-0.04579,-0.00392,-0.00392,0.252,0.12303,-0.01654,0.15274,0.08037,0.20814,-0.02177,-0.00441,0.2211,-0.02079,-0.05948,0.18596,0.02023,0.08531,0.023605,0.213985,Training
A5b,-0.0109,-34.448495,-137.7553888,-0.3854,-0.42358,0.04183,-0.24395,0.71781,-0.45821,-0.03104,-0.06073,0.00243,-0.00315,0.25932,0.11577,-0.01869,0.12582,0.06619,0.20052,-0.02127,-0.01273,0.22176,-0.0197,-0.06102,0.16829,0.03011,0.08427,0.02394,0.21077,Training
A3a,-0.027,-46.15727171,-131.6128527,-0.35698,-0.42431,0.11019,-0.23959,0.52824,-0.46221,-0.22151,-0.0552,0.02678,-0.00344,0.25585,0.00146,-0.01092,0.13062,0.02606,0.17603,-0.01926,-0.02356,0.21904,0.00767,-0.05625,0.16393,0.03655,0.083475,0.0231,0.222855,Training
A3b,-0.0339,-45.18602732,-128.2432712,-0.34575,-0.42395,0.10811,-0.24452,0.52553,-0.45845,0.00787,-0.07093,0.03507,-0.00358,0.25481,-0.00486,-0.01224,0.1114,0.01545,0.16524,-0.01836,-0.02652,0.21414,0.01003,-0.0568,0.15052,0.04927,0.0813,0.02373,0.22082,Training
A4a,-0.0379,-48.16462131,-130.8688678,-0.35059,-0.4252,0.12497,-0.24174,0.3471,-0.47068,-0.21264,-0.05672,0.02758,-0.00405,0.24937,-0.00424,-0.01008,0.13937,0.02832,0.16951,-0.01824,-0.02289,0.20818,0.01512,-0.05182,0.15979,0.04092,0.08077,0.024835,0.228515,Training
A4b,-0.0346,-48.34120517,-125.567917,-0.33933,-0.42486,0.12198,-0.24521,0.34412,-0.46737,0.01579,-0.0729,0.03566,-0.00431,0.24733,-0.01054,-0.01148,0.11902,0.017,0.15794,-0.01757,-0.02547,0.20172,0.01754,-0.0525,0.14827,0.05479,0.078675,0.02588,0.226465,Training
A6b,-0.0265,-45.18983083,-128.5231382,-0.35208,-0.42337,0.1031,-0.26508,0.73683,-0.45198,0.00112,-0.06749,0.02452,-0.00299,0.2647,0.03681,-0.01472,0.12405,0.03307,0.17226,-0.01944,-0.02515,0.22522,-0.00368,-0.05841,0.15469,0.04744,0.08348,0.02423,0.219515,Training
B1a,-0.0336,-42.80717265,-135.0070946,-0.37957,-0.21659,0.08988,-0.24446,0.6185,-0.47069,-0.2434,-0.04711,0.00597,-0.00572,0.25057,0.07287,-0.01584,0.14846,0.05829,0.19397,-0.02037,-0.02148,0.22953,-0.01644,-0.06071,0.17754,0.02624,0.08504,0.023675,0.21983,Training
B1b,-0.0307,-41.82549869,-132.1550827,-0.36982,-0.21608,0.08982,-0.25097,0.61788,-0.46648,-0.01302,-0.06207,0.01403,-0.00571,0.25438,0.06499,-0.0175,0.12366,0.0443,0.18495,-0.01962,-0.02609,0.2262,-0.01458,-0.06163,0.16266,0.03746,0.083335,0.024065,0.217485,Training
B2a,-0.0134,-48.65990573,-131.5169297,-0.37005,-0.21565,0.10485,-0.27743,0.32345,-0.44214,-0.24398,-0.0454,0.00658,-0.00592,0.27045,0.09793,-0.01506,0.15756,0.06478,0.19342,-0.01921,-0.01585,0.21678,-0.02204,-0.05459,0.18242,0.03012,0.082105,0.024415,0.22493,Training
B2b,-0.0096,-48.0339392,-128.1304803,-0.36756,-0.22329,0.10294,-0.2827,0.32361,-0.43684,-0.0192,-0.05614,0.01155,-0.00695,0.27502,0.09213,-0.01726,0.13449,0.04804,0.18109,-0.01824,-0.021,0.20972,-0.02006,-0.05648,0.17313,0.04075,0.08151,0.025175,0.22132,Training
B5a,-0.047,-35.06559222,-140.9289558,-0.39431,-0.21552,0.03814,-0.23592,0.71845,-0.46296,-0.26888,-0.04546,-0.00436,-0.00517,0.24806,0.12251,-0.01665,0.15232,0.07753,0.20927,-0.02049,-0.00651,0.21911,-0.02072,-0.05982,0.18759,0.0184,0.085365,0.023915,0.21349,Validation
B5b,-0.0426,-33.75448034,-137.7867638,-0.38916,-0.21593,0.04694,-0.25284,0.71817,-0.45637,-0.03258,-0.06164,0.00094,-0.00539,0.2409,0.1141,-0.01903,0.13101,0.07092,0.19897,-0.02088,-0.01674,0.22739,-0.02017,-0.06201,0.16613,0.02694,0.08484,0.024705,0.209615,Validation
B3a,-0.0483,-44.88259916,-133.1344808,-0.36249,-0.2176,0.12102,-0.25724,0.53864,-0.46399,-0.22506,-0.05519,0.02635,-0.00628,0.25557,0.00187,-0.0112,0.12531,0.02332,0.1749,-0.0184,-0.02443,0.229,0.00207,-0.05892,0.15936,0.03213,0.08372,0.022425,0.22301,Validation
B3b,-0.0454,-44.81693054,-128.9028692,-0.35408,-0.21711,0.10828,-0.24444,0.52774,-0.45802,0.00233,-0.07113,0.03355,-0.00628,0.24736,-0.00463,-0.01192,0.10885,0.01377,0.16725,-0.01797,-0.0287,0.2101,0.00974,-0.05689,0.15456,0.04835,0.08129,0.023515,0.220575,Validation
B4a,-0.0379,-48.59091236,-128.8471929,-0.3607,-0.21874,0.12147,-0.23638,0.35005,-0.46946,-0.22553,-0.05121,0.0236,-0.00759,0.2494,-0.00371,-0.00956,0.13438,0.02212,0.17202,-0.01702,-0.02367,0.19584,0.01577,-0.05226,0.17339,0.03937,0.08118,0.02409,0.227425,Training
B4b,-0.0348,-49.55232986,-123.6353216,-0.34925,-0.21855,0.11913,-0.24027,0.34676,-0.46609,0.00243,-0.06584,0.03151,-0.00775,0.24724,-0.00956,-0.01096,0.11648,0.01195,0.15963,-0.01582,-0.02599,0.1897,0.01837,-0.05276,0.16016,0.0533,0.07888,0.02514,0.22547,Training
B6a,-0.0298,-44.48140509,-133.1842389,-0.37166,-0.21717,0.10353,-0.25738,0.7402,-0.45596,-0.23385,-0.05269,0.01492,-0.00602,0.25429,0.04604,-0.01294,0.14144,0.04299,0.18585,-0.01955,-0.02419,0.22415,-0.00622,-0.05761,0.17295,0.03414,0.085475,0.023545,0.2218,Validation
B6b,-0.0266,-44.04990888,-129.9416957,-0.36067,-0.21673,0.10288,-0.26374,0.73863,-0.45178,-0.00468,-0.06776,0.02329,-0.00611,0.25633,0.03775,-0.01442,0.11997,0.03054,0.1749,-0.01878,-0.02735,0.21957,-0.00395,-0.05845,0.15888,0.04689,0.083385,0.024005,0.21951,Training
D1a,-0.0332,-43.42723581,-134.4758378,-0.38016,-0.2162,0.09007,-0.24407,0.61858,-0.47102,-0.24317,-0.04727,0.0061,-0.00575,0.24986,0.07329,-0.01594,0.14785,0.05815,0.19453,-0.02022,-0.02161,0.22894,-0.01649,-0.06079,0.17738,0.02613,0.085025,0.02369,0.21999,Training
D1b,-0.0293,-33.97419582,-131.7221079,-0.37024,-0.21577,0.09011,-0.2507,0.61801,-0.46665,-0.01281,-0.06215,0.01427,-0.00578,0.25418,0.06491,-0.01754,0.12297,0.04371,0.18527,-0.01965,-0.02619,0.22588,-0.01465,-0.06167,0.16234,0.03724,0.08331,0.02408,0.21759,Training
D2a,-0.0139,-48.64712527,-131.3903008,-0.37548,-0.21651,0.10802,-0.2826,0.32393,-0.442,-0.23998,-0.04789,0.00571,-0.00615,0.25804,0.0974,-0.01553,0.16267,0.0704,0.19176,-0.01984,-0.01816,0.22206,-0.02278,-0.05494,0.17772,0.02928,0.082675,0.024845,0.224755,Training
D2b,-0.0458,-47.83309612,-128.1207745,-0.36534,-0.21592,0.10698,-0.2894,0.32401,-0.43802,-0.01007,-0.06312,0.01345,-0.00625,0.26329,0.09139,-0.01758,0.13753,0.05653,0.18134,-0.01926,-0.02218,0.21888,-0.02123,-0.05607,0.1633,0.04171,0.08114,0.025665,0.222255,Training
