N1,Nsub,C2,C3,C3sub,C4,C4H1,C4H2,C5,C5sub,C6,Cofactor
9,8,18,14,15,13,40,41,11,12,10,A1a_reduced
9,8,18,14,15,13,41,40,11,12,10,A1b_reduced
4,5,6,7,8,10,19,20,2,1,3,A2a_reduced
2,9,6,5,10,4,11,12,7,14,8,A2b_reduced
3,9,6,5,10,4,12,11,7,14,8,A5a_reduced
4,5,6,7,8,11,20,21,2,1,3,A5b_reduced
2,10,8,6,11,4,12,13,5,9,7,A3a_reduced
4,5,6,7,8,10,16,17,2,1,3,A3b_reduced
3,9,6,5,10,4,12,13,7,15,8,A4a_reduced
7,8,6,5,3,12,24,25,10,11,9,A4b_reduced
2,4,7,9,13,8,22,21,11,24,10,A6a_reduced
2,4,11,9,14,6,19,20,7,12,8,A6b_reduced
4,5,9,10,11,13,26,25,2,1,3,B1a_reduced
5,4,13,10,11,9,27,28,7,8,6,B1b_reduced
4,5,9,10,11,14,27,26,2,1,3,B2a_reduced
5,4,14,10,11,9,28,29,7,8,6,B2b_reduced
4,5,9,10,11,14,30,29,2,1,3,B5a_reduced
5,4,14,10,11,9,29,28,7,8,6,B5b_reduced
2,3,6,9,12,8,21,20,10,23,7,B3a_reduced
5,4,13,10,11,9,27,28,7,8,6,B3b_reduced
4,5,9,10,11,15,30,31,2,1,3,B4a_reduced
5,4,15,10,11,9,29,30,7,8,6,B4b_reduced
2,8,11,13,17,14,34,35,16,39,12,B6a_reduced
9,8,18,14,15,13,41,40,11,12,10,B6b_reduced
4,5,13,14,15,17,37,38,2,1,3,D1a_reduced
9,8,17,14,15,13,39,40,11,12,10,D1b_reduced
4,5,13,14,15,18,38,39,2,1,3,D2a_reduced
2,7,10,12,16,13,35,34,15,39,11,D2b_reduced
4,5,13,14,15,17,39,38,2,1,3,D5a_reduced
4,5,10,11,12,15,30,29,2,1,3,D5b_reduced
4,5,13,14,15,19,43,42,2,1,3,D3a_reduced
9,8,17,14,15,13,40,39,11,12,10,D3b_reduced
4,5,10,11,12,14,27,26,2,1,3,D4a_reduced
