Cofactor Name,Reactant G kcal,Corrected G kcal/mol,barrier
BMC_001,-690992.9966058878,-690970.7706587554,22.225947132334113
BMC_005,-703193.5937275,-703174.1286775001,19.465049999882467
BMC_006,-727843.4835849999,-727821.8637,21.619884999934584
BMC_008,-705545.849799826,-705519.2266975,26.623102326062508
BMC_016,-741610.0661528045,-741584.2870937537,25.77905905083753
BMC_019,-754836.4910726406,-754814.1532393129,22.337833327706903
BMC_024,-826702.7330120311,-826677.958487318,24.774524713051505
BMC_030,-900372.7404284223,-900350.3030000001,22.437428422272205
BMC_031,-853424.6099228817,-853398.5131045212,26.096818360500038
BMC_035,-900639.553204002,-900615.897866704,23.655337297939695
BMC_038,-836797.6383824409,-836774.0735456327,23.56483680824749
BMC_044,-826699.15714,-826672.200995,26.95614500006195
BMC_047,-849263.8632431258,-849241.0385575,22.82468562584836
BMC_049,-811283.6118762883,-811259.0344258118,24.577450476470403
BMC_050,-835934.1591441114,-835907.0817865893,27.077357522095554
BMC_051,-763308.2807224999,-763281.6260286929,26.654693807009608
BMC_052,-787958.410285,-787929.3917988822,29.018486117827706
BMC_055,-801185.3968192688,-801159.9598507256,25.436968543217517
BMC_056,-825835.048225,-825808.0205457176,27.0276792824734
BMC_061,-858500.672655,-858476.0813222013,24.5913327987073
BMC_062,-883151.5577275,-883124.5937038994,26.96402360056527
BMC_065,-870701.9009387481,-870680.2424625101,21.65847623802256
BMC_066,-895351.6461575,-895328.8854775,22.76067999994848
BMC_069,-823751.1558649999,-823720.4955874999,30.660277499933727
BMC_073,-835931.2884159426,-835907.9688202752,23.31959566741716
BMC_080,-850483.04366,-850457.0529887949,25.990671205101535
BMC_083,-873048.601844762,-873023.7350238101,24.866820951923728
BMC_092,-875132.8999481893,-875107.3867384847,25.513209704542533
BMC_093,-825830.8201299999,-825804.445500088,26.374629911850207
BMC_110,-1003311.0705746503,-1003286.511792751,24.558781899278983
BMC_115,-968562.7371472998,-968537.1584669765,25.57868032332044
BMC_116,-993213.5418164218,-993187.3979467413,26.143869680468924
BMC_118,-968560.6836047047,-968533.1862045919,27.49740011279937
BMC_120,-1040428.5310927711,-1040402.5634666847,25.967626086436212
