code_name,dG_C5,C1=CNC=CC1_N_Dispersion coefficient C6,HOMO-LUMO gap/eV,Dipole module/D,LUMO,MinEStateIndex,SPS,NumValenceElectrons,BalabanJ,Chi4n,Kappa1,Kappa3,FractionCSP3,Set
BMC_001,-134.6943374,27.95161259,2.762251604,4.109593676,-6.477904772,-3.072042706,40.2,54,3.605772891,0.415345789,1.494888889,1.37283737,0.285714286,Training
BMC_002,-131.0621577,21.81695088,2.748524015,4.569306024,-6.373476222,-3.27262141,41.63636364,60,3.828104545,0.533747488,1.57798256,1.832447573,0.375,Training
BMC_003,-130.6636975,27.932,2.68426269,6.186,-6.8194,-2.903703704,40.11111111,46,3.534811136,0.367008497,1.431973462,1.327987601,0.285714286,Training
BMC_004,-126.8472424,21.905,2.67838379,6.332,-6.6773,-3.104282407,41.7,52,3.745469216,0.485410197,1.502841176,1.382160574,0.375,Validation
BMC_005,-140.867475,27.884,2.6435877,15.014,-1.8549,-3.05787037,37.8,54,3.588727736,0.41073223,1.87319002,1.37283737,0.285714286,Training
BMC_006,-137.7553888,23.219,2.69395009,15.966,-1.7945,-3.258449074,39.45454545,60,3.801144466,0.52913393,1.913755808,1.832447573,0.375,Training
BMC_007,-131.6128527,27.99346517,2.457166819,4.842514653,-6.953476973,-3.296423375,43.6,54,3.658304298,0.421595789,1.421253321,1.467165814,0.375,Training
BMC_008,-128.2432712,21.66195239,2.449601371,5.191858111,-6.838040796,-3.421848545,44.72727273,60,3.876009381,0.539997488,1.51322592,1.93423955,0.444444444,Training
BMC_009,-130.8688678,28.02093534,2.330769541,5.953295075,-7.238085877,-3.002314815,42.22222222,48,3.588727736,0.362394939,1.336587308,1.420257084,0.285714286,Training
BMC_010,-125.567917,21.59494525,2.323135967,6.194392457,-7.109688601,-3.202893519,43.6,54,3.801144466,0.480796638,1.421253321,1.467165814,0.375,Training
BMC_012,-128.5231382,21.67264947,2.546039625,4.067410643,-6.693862828,-3.337008102,41.66666667,66,3.743823783,0.580164966,1.811717452,1.87319002,0.444444444,Training
