code_name,SMILES
A1a_pyridinium,[H]C1C=[N+](C)C=C(C(N)=O)C1
A1b_pyridinium,CC1C=[N+](C)C=C(C(N)=O)C1
A2a_pyridinium,[H]C1C=[N+](C)C=C(C#N)C1
A2b_pyridinium,CC1C=[N+](C)C=C(C#N)C1
A5a_pyridinium,[H]C1C=[N+](C)C=C(C(=O)[O-])C1
A5b_pyridinium,CC1C=[N+](C)C=C(C(=O)[O-])C1
A3a_pyridinium,[H]C1C=[N+](C)C=C(C(C)=O)C1
A3b_pyridinium,CC(=O)C1=C[N+](C)=CC(C)C1
A4a_pyridinium,[H]C1C=[N+](C)C=C(C=O)C1
A4b_pyridinium,CC1C=[N+](C)C=C(C=O)C1
A6a_pyridinium,[H]C1C=[N+](C)C=C(C(=O)OC)C1
A6b_pyridinium,COC(=O)C1=C[N+](C)=CC(C)C1
B1a_pyridinium,[H]C1C=[N+](CCCC)C=C(C(N)=O)C1
B1b_pyridinium,CCCC[N+]1=CC(C)CC(C(N)=O)=C1
B2a_pyridinium,[H]C1C=[N+](CCCC)C=C(C#N)C1
B2b_pyridinium,CCCC[N+]1=CC(C)CC(C#N)=C1
B5a_pyridinium,[H]C1C=[N+](CCCC)C=C(C(=O)[O-])C1
B5b_pyridinium,CCCC[N+]1=CC(C)CC(C(=O)[O-])=C1
B3a_pyridinium,[H]C1C=[N+](CCCC)C=C(C(C)=O)C1
B3b_pyridinium,CCCC[N+]1=CC(C)CC(C(C)=O)=C1
B4a_pyridinium,[H]C1C=[N+](CCCC)C=C(C=O)C1
B4b_pyridinium,CCCC[N+]1=CC(C)CC(C=O)=C1
B6a_pyridinium,[H]C1C=[N+](CCCC)C=C(C(=O)OC)C1
B6b_pyridinium,CCCC[N+]1=CC(C)CC(C(=O)OC)=C1
D1a_pyridinium,[H]C1C=[N+](CCCCCCCC)C=C(C(N)=O)C1
D1b_pyridinium,CCCCCCCC[N+]1=CC(C)CC(C(N)=O)=C1
D2a_pyridinium,[H]C1C=[N+](CCCCCCCC)C=C(C#N)C1
D2b_pyridinium,CCCCCCCC[N+]1=CC(C)CC(C#N)=C1
D5a_pyridinium,[H]C1C=[N+](CCCCCCCC)C=C(C(=O)[O-])C1
D5b_pyridinium,CCCCCCCC[N+]1=CC(C)CC(C(=O)[O-])=C1
D3a_pyridinium,[H]C1C=[N+](CCCCCCCC)C=C(C(C)=O)C1
D3b_pyridinium,CCCCCCCC[N+]1=CC(C)CC(C(C)=O)=C1
D4a_pyridinium,[H]C1C=[N+](CCCCCCCC)C=C(C=O)C1
D4b_pyridinium,CCCCCCCC[N+]1=CC(C)CC(C=O)=C1
D6a_pyridinium,[H]C1C=[N+](CCCCCCCC)C=C(C(=O)OC)C1
D6b_pyridinium,CCCCCCCC[N+]1=CC(C)CC(C(=O)OC)=C1
C1a_pyridinium,[H]C1C=[N+](CCCCO)C=C(C(N)=O)C1
C1b_pyridinium,CC1C=[N+](CCCCO)C=C(C(N)=O)C1
C2a_pyridinium,[H]C1C=[N+](CCCCO)C=C(C#N)C1
C2b_pyridinium,CC1C=[N+](CCCCO)C=C(C#N)C1
C5a_pyridinium,[H]C1C=[N+](CCCCO)C=C(C(=O)[O-])C1
C5b_pyridinium,CC1C=[N+](CCCCO)C=C(C(=O)[O-])C1
C3a_pyridinium,[H]C1C=[N+](CCCCO)C=C(C(C)=O)C1
C3b_pyridinium,CC(=O)C1=C[N+](CCCCO)=CC(C)C1
C4a_pyridinium,[H]C1C=[N+](CCCCO)C=C(C=O)C1
C4b_pyridinium,CC1C=[N+](CCCCO)C=C(C=O)C1
C6a_pyridinium,[H]C1C=[N+](CCCCO)C=C(C(=O)OC)C1
C6b_pyridinium,COC(=O)C1=C[N+](CCCCO)=CC(C)C1
E1a_pyridinium,[H]C1C=[N+](c2ccccc2)C=C(C(N)=O)C1
E1b_pyridinium,CC1C=[N+](c2ccccc2)C=C(C(N)=O)C1
E2a_pyridinium,[H]C1C=[N+](c2ccccc2)C=C(C#N)C1
E2b_pyridinium,CC1C=[N+](c2ccccc2)C=C(C#N)C1
E5a_pyridinium,[H]C1C=[N+](c2ccccc2)C=C(C(=O)[O-])C1
E5b_pyridinium,CC1C=[N+](c2ccccc2)C=C(C(=O)[O-])C1
E3a_pyridinium,[H]C1C=[N+](c2ccccc2)C=C(C(C)=O)C1
E3b_pyridinium,CC(=O)C1=C[N+](c2ccccc2)=CC(C)C1
E4a_pyridinium,[H]C1C=[N+](c2ccccc2)C=C(C=O)C1
E4b_pyridinium,CC1C=[N+](c2ccccc2)C=C(C=O)C1
E6a_pyridinium,[H]C1C=[N+](c2ccccc2)C=C(C(=O)OC)C1
E6b_pyridinium,COC(=O)C1=C[N+](c2ccccc2)=CC(C)C1
J1a_pyridinium,[H]C1C=[N+](c2ccc(O)cc2)C=C(C(N)=O)C1
J1b_pyridinium,CC1C=[N+](c2ccc(O)cc2)C=C(C(N)=O)C1
J2a_pyridinium,[H]C1C=[N+](c2ccc(O)cc2)C=C(C#N)C1
J2b_pyridinium,CC1C=[N+](c2ccc(O)cc2)C=C(C#N)C1
J5a_pyridinium,[H]C1C=[N+](c2ccc(O)cc2)C=C(C(=O)[O-])C1
J5b_pyridinium,CC1C=[N+](c2ccc(O)cc2)C=C(C(=O)[O-])C1
J3a_pyridinium,[H]C1C=[N+](c2ccc(O)cc2)C=C(C(C)=O)C1
J3b_pyridinium,CC(=O)C1=C[N+](c2ccc(O)cc2)=CC(C)C1
J4a_pyridinium,[H]C1C=[N+](c2ccc(O)cc2)C=C(C=O)C1
J4b_pyridinium,CC1C=[N+](c2ccc(O)cc2)C=C(C=O)C1
J6a_pyridinium,[H]C1C=[N+](c2ccc(O)cc2)C=C(C(=O)OC)C1
J6b_pyridinium,COC(=O)C1=C[N+](c2ccc(O)cc2)=CC(C)C1
F1a_pyridinium,[H]C1C=[N+](Cc2ccccc2)C=C(C(N)=O)C1
F1b_pyridinium,CC1C=[N+](Cc2ccccc2)C=C(C(N)=O)C1
F2a_pyridinium,[H]C1C=[N+](Cc2ccccc2)C=C(C#N)C1
F2b_pyridinium,CC1C=[N+](Cc2ccccc2)C=C(C#N)C1
F5a_pyridinium,[H]C1C=[N+](Cc2ccccc2)C=C(C(=O)[O-])C1
F5b_pyridinium,CC1C=[N+](Cc2ccccc2)C=C(C(=O)[O-])C1
F3a_pyridinium,[H]C1C=[N+](Cc2ccccc2)C=C(C(C)=O)C1
F3b_pyridinium,CC(=O)C1=C[N+](Cc2ccccc2)=CC(C)C1
F4a_pyridinium,[H]C1C=[N+](Cc2ccccc2)C=C(C=O)C1
F4b_pyridinium,CC1C=[N+](Cc2ccccc2)C=C(C=O)C1
F6a_pyridinium,[H]C1C=[N+](Cc2ccccc2)C=C(C(=O)OC)C1
F6b_pyridinium,COC(=O)C1=C[N+](Cc2ccccc2)=CC(C)C1
G1a_pyridinium,[H]C1C=[N+](CCc2ccccc2)C=C(C(N)=O)C1
G1b_pyridinium,CC1C=[N+](CCc2ccccc2)C=C(C(N)=O)C1
G2a_pyridinium,[H]C1C=[N+](CCc2ccccc2)C=C(C#N)C1
G2b_pyridinium,CC1C=[N+](CCc2ccccc2)C=C(C#N)C1
G5a_pyridinium,[H]C1C=[N+](CCc2ccccc2)C=C(C(=O)[O-])C1
G5b_pyridinium,CC1C=[N+](CCc2ccccc2)C=C(C(=O)[O-])C1
G3a_pyridinium,[H]C1C=[N+](CCc2ccccc2)C=C(C(C)=O)C1
G3b_pyridinium,CC(=O)C1=C[N+](CCc2ccccc2)=CC(C)C1
G4a_pyridinium,[H]C1C=[N+](CCc2ccccc2)C=C(C=O)C1
G4b_pyridinium,CC1C=[N+](CCc2ccccc2)C=C(C=O)C1
G6a_pyridinium,[H]C1C=[N+](CCc2ccccc2)C=C(C(=O)OC)C1
G6b_pyridinium,COC(=O)C1=C[N+](CCc2ccccc2)=CC(C)C1
H1a_pyridinium,[H]C1C=[N+](CCCc2ccccc2)C=C(C(N)=O)C1
H1b_pyridinium,CC1C=[N+](CCCc2ccccc2)C=C(C(N)=O)C1
H2a_pyridinium,[H]C1C=[N+](CCCc2ccccc2)C=C(C#N)C1
H2b_pyridinium,CC1C=[N+](CCCc2ccccc2)C=C(C#N)C1
H5a_pyridinium,[H]C1C=[N+](CCCc2ccccc2)C=C(C(=O)[O-])C1
H5b_pyridinium,CC1C=[N+](CCCc2ccccc2)C=C(C(=O)[O-])C1
H3a_pyridinium,[H]C1C=[N+](CCCc2ccccc2)C=C(C(C)=O)C1
H3b_pyridinium,CC(=O)C1=C[N+](CCCc2ccccc2)=CC(C)C1
H4a_pyridinium,[H]C1C=[N+](CCCc2ccccc2)C=C(C=O)C1
H4b_pyridinium,CC1C=[N+](CCCc2ccccc2)C=C(C=O)C1
H6a_pyridinium,[H]C1C=[N+](CCCc2ccccc2)C=C(C(=O)OC)C1
H6b_pyridinium,COC(=O)C1=C[N+](CCCc2ccccc2)=CC(C)C1
K1a_pyridinium,[H]C1C=[N+](CCc2ccc(C(=O)[O-])cc2)C=C(C(N)=O)C1
K1b_pyridinium,CC1C=[N+](CCc2ccc(C(=O)[O-])cc2)C=C(C(N)=O)C1
K2a_pyridinium,[H]C1C=[N+](CCc2ccc(C(=O)[O-])cc2)C=C(C#N)C1
K2b_pyridinium,CC1C=[N+](CCc2ccc(C(=O)[O-])cc2)C=C(C#N)C1
